figshare_file_id,name,source_url,expected_size_bytes,local_path,local_size_bytes,local_mtime,present_complete
49718502,S1.mat,https://ndownloader.figshare.com/files/49718502,3409766611,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/S1.mat,3409766611,1786383860.4008465,1
49718661,S2.mat,https://ndownloader.figshare.com/files/49718661,3592962799,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/S2.mat,3592962799,1786383860.4008465,1
49719249,S3.mat,https://ndownloader.figshare.com/files/49719249,3546182822,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/S3.mat,3546182822,1786383860.4008465,1
49719288,S4.mat,https://ndownloader.figshare.com/files/49719288,3230941226,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/S4.mat,3230941226,1786383860.4008465,1
49720080,S5.mat,https://ndownloader.figshare.com/files/49720080,3472753268,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/S5.mat,3472753268,1786383860.4008465,1
49720824,S6.mat,https://ndownloader.figshare.com/files/49720824,3313931680,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/S6.mat,3313931680,1786383860.4008465,1
49721490,S7.mat,https://ndownloader.figshare.com/files/49721490,3441489132,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/S7.mat,3441489132,1786383860.4008465,1
49721532,S8.mat,https://ndownloader.figshare.com/files/49721532,3304673267,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/S8.mat,3304673267,1786383860.4008465,1
49721652,S9.mat,https://ndownloader.figshare.com/files/49721652,3507092212,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/S9.mat,3507092212,1786383860.4008465,1
49721724,S10.mat,https://ndownloader.figshare.com/files/49721724,3465765033,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/S10.mat,3465765033,1786383860.4008465,1
49721979,S11.mat,https://ndownloader.figshare.com/files/49721979,3334954181,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/S11.mat,3334954181,1786383860.4008465,1
49723263,S12.mat,https://ndownloader.figshare.com/files/49723263,3545375481,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/S12.mat,3545375481,1786383860.4008465,1
49723317,S13.mat,https://ndownloader.figshare.com/files/49723317,3569940887,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/S13.mat,3569940887,1786383860.4008465,1
49723386,S14.mat,https://ndownloader.figshare.com/files/49723386,3336173099,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/S14.mat,3336173099,1786383860.4008465,1
49724028,S15.mat,https://ndownloader.figshare.com/files/49724028,3851001313,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/S15.mat,3851001313,1786383860.4008465,1
49724517,ChannelPosition.locs,https://ndownloader.figshare.com/files/49724517,1420,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/ChannelPosition.locs,1420,1786383860.4008465,1
49724541,HDCA.m,https://ndownloader.figshare.com/files/49724541,2656,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/HDCA.m,2656,1786383860.4008465,1
49724538,Figure5.m,https://ndownloader.figshare.com/files/49724538,8196,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/Figure5.m,8196,1786383860.4008465,1
49724535,bp2_30_par.m,https://ndownloader.figshare.com/files/49724535,390,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/bp2_30_par.m,390,1786383860.4008465,1
49724532,fld.m,https://ndownloader.figshare.com/files/49724532,1185,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/fld.m,1185,1786383860.4008465,1
49724529,Figure4.m,https://ndownloader.figshare.com/files/49724529,1573,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/Figure4.m,1573,1786383860.4008465,1
49724526,Trigger.txt,https://ndownloader.figshare.com/files/49724526,410,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/Trigger.txt,410,1786383860.4008465,1
49724523,SampleByTrigger.m,https://ndownloader.figshare.com/files/49724523,820,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/SampleByTrigger.m,820,1786383860.4008465,1
49724520,Table1.m,https://ndownloader.figshare.com/files/49724520,1891,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/Table1.m,1891,1786383860.4008465,1
49724544,SUB_mean.m,https://ndownloader.figshare.com/files/49724544,283,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/SUB_mean.m,283,1786383860.4008465,1
49724547,Figure6.m,https://ndownloader.figshare.com/files/49724547,3250,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/Figure6.m,3250,1786383860.4008465,1
49724550,Subject.txt,https://ndownloader.figshare.com/files/49724550,154,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/Subject.txt,154,1786383860.4008465,1
49724553,aucFun.m,https://ndownloader.figshare.com/files/49724553,1061,/projects/EEG-foundation-model/Longitudinal_ERP_Brainprint/files/aucFun.m,1061,1786383860.4008465,1
