source/target,s1,s2,s3,s4,s5,s6,s7,s8,s9
s1,1.00,0.15,0.42,0.29,0.48,0.10,0.10,0.23,0.29
s2,0.15,1.00,0.28,0.28,0.35,0.09,0.51,0.29,0.03
s3,0.42,0.28,1.00,0.39,0.41,0.14,0.16,0.13,0.19
s4,0.29,0.28,0.39,1.00,0.54,0.27,-0.01,0.15,0.20
s5,0.48,0.35,0.41,0.54,1.00,0.41,-0.13,0.35,0.31
s6,0.10,0.09,0.14,0.27,0.41,1.00,-0.14,0.21,-0.02
s7,0.10,0.51,0.16,-0.01,-0.13,-0.14,1.00,0.25,-0.23
s8,0.23,0.29,0.13,0.15,0.35,0.21,0.25,1.00,0.06
s9,0.29,0.03,0.19,0.20,0.31,-0.02,-0.23,0.06,1.00
