source/target,s1,s2,s3,s4,s5,s6,s7,s8,s9
s1,59.22,24.47,31.91,28.72,26.60,30.14,29.43,25.18,23.40
s2,28.37,45.39,23.76,26.95,27.66,23.76,22.34,27.30,26.24
s3,26.95,24.47,60.99,26.60,25.89,26.95,25.89,25.18,39.01
s4,25.53,27.30,25.89,29.08,28.37,24.82,25.89,23.05,24.11
s5,34.40,25.89,40.07,26.24,31.21,26.24,37.23,24.82,31.56
s6,26.24,21.99,32.98,24.82,21.99,32.27,28.72,31.56,28.37
s7,40.07,24.47,35.11,29.43,25.89,28.72,48.23,25.89,28.37
s8,28.37,28.01,32.62,24.11,28.01,25.18,26.24,41.84,26.95
s9,26.95,25.53,24.82,23.40,24.82,24.82,25.89,21.99,39.36
Mean,32.90,27.50,34.24,26.60,26.71,26.99,29.98,27.42,29.71
