amplitude_error,artifact_type_recovery,artifact_type_status,between_context_separation,channel_covariance_topography_error,duration_distribution_error,energy_distance,exact_copy_rate,fold,method,mmd,near_copy_rate,nearest_training_artifact_distance,seed,severity_recovery_correlation,severity_recovery_mae,temporal_autocorrelation_distance,welch_band_power_error,within_context_diversity
0.9439111351966858,1.0,single_registered_ocular_class,0.5787574648857117,0.9950104676638454,0.12998199462890625,5.916069030761719,1.0,0,Empirical-Resample,0.04013538360595703,1.0,9.515345595900726e-07,20260950,0.37059990746010896,0.9439111351966858,4.547090489300899,0.9213061576010659,4.240443229675293
0.8689562678337097,1.0,single_registered_ocular_class,1.5814059972763062,1.681325320380921,0.16422653198242188,4.7362823486328125,0.0,0,Conditional-Gaussian,0.013886570930480957,0.0,30.87582015991211,20260950,0.7965273537821509,0.8689562678337097,2.148049479990732,7.376264564692974,3.22924542427063
1.4158694744110107,1.0,single_registered_ocular_class,0.1302575170993805,1.3183133708715644,0.6910667419433594,151.898193359375,0.0,0,Conditional-WGAN-GP,0.6309718489646912,0.0,32.1111946105957,20260950,0.7759214224809848,1.4158694744110107,192.70588498702273,6.211828229948878,0.12763957679271698
1.0203152894973755,1.0,single_registered_ocular_class,0.39478662610054016,1.3639587304595744,0.183013916015625,7.152305603027344,0.0,0,Conditional-Artifact-Diffusion,0.06101250648498535,0.0,23.95602035522461,20260950,0.921887757902142,1.0203152894973755,4.9184349603019655,3.3841274240985513,0.9632430672645569
1.3080401420593262,1.0,single_registered_ocular_class,0.6501665711402893,1.042522194649776,0.11903572082519531,6.9507293701171875,1.0,0,Empirical-Resample,0.06287097930908203,1.0,9.904263151838677e-07,20260951,0.3922249876355504,1.3080401420593262,3.9279923050198704,0.9549799346132204,3.508091688156128
1.116551160812378,1.0,single_registered_ocular_class,2.091214656829834,2.355020528093955,0.12558937072753906,4.92694091796875,0.0,0,Conditional-Gaussian,0.019257307052612305,0.0,33.54636001586914,20260951,0.8477098085720093,1.116551160812378,2.362989987595938,7.3848354909569025,2.927058696746826
1.483051061630249,1.0,single_registered_ocular_class,0.4076049327850342,2.541111522832358,0.6749382019042969,97.3669204711914,0.0,0,Conditional-WGAN-GP,0.4903962016105652,0.0,22.098369598388672,20260951,0.9213304735429652,1.483051061630249,192.45592178963125,6.1352219842374325,0.12109449505805969
1.1488707065582275,1.0,single_registered_ocular_class,1.2145347595214844,2.197668263088593,0.15218353271484375,5.3365478515625,0.0,0,Conditional-Artifact-Diffusion,0.033800721168518066,0.0,31.40903091430664,20260951,0.9478116821639992,1.1488707065582275,19.87938679358922,3.146141292527318,2.3836982250213623
0.3231194317340851,1.0,single_registered_ocular_class,0.15734483301639557,0.9573902754628971,0.12184333801269531,6.949871063232422,1.0,1,Empirical-Resample,0.04959607124328613,1.0,8.929584964789683e-07,20260950,0.6140830842854744,0.3231194317340851,1.6640057390904985,1.0207072537159547,1.0533167123794556
1.1417031288146973,1.0,single_registered_ocular_class,1.1538468599319458,2.775519922521904,0.12543678283691406,8.702102661132812,0.0,1,Conditional-Gaussian,0.03518486022949219,0.0,28.777969360351562,20260950,0.6691464816525242,1.1417031288146973,1.9677126861643046,7.343140918761492,7.284529209136963
