method,context_condition,artifact_correlation,artifact_rmse,artifact_rrmse,clean_output_rms_ratio,correlation,fold,observation_change_ratio,rrmse_spectral,rrmse_temporal,seed,severity,snr_improvement,artifact_attenuation_db,covariance_distortion,heldout_eog_remaining_ratio,low_eog_observation_retention,output_input_rms,psd_distortion,query_eog_inference_reads
Diffusion-Augmentation,correct,0.32206642524068746,1.290989554089719,1.7283818860129412,1.5175920497343933,0.8383361717987974,2.0,0.2548497690503744,0.6311941151892335,0.9469961147931155,20260950.50027632,1.2221399091309093,-2.5763720199492157,-0.0037949335006826363,0.2901057801642264,1.1068070767041944,0.6937985018528476,0.9549042782584035,0.48725665398058,0.0
Diffusion-Augmentation,mean_wrong_support,0.31525491208463147,1.2964069969365635,1.7268268864562075,1.5240990856823007,0.8386464554436656,2.0,0.24669706392623186,0.6334407453385279,0.9532173024828849,20260950.50027632,1.2221399091309093,-2.6181404026868402,-0.007616069039991066,0.27621687073232426,1.1044297391741358,0.705927557667049,0.9494168157374662,0.48480113280698195,0.0
Diffusion-Augmentation,population_context,0.3137263002025188,1.2974606871613503,1.733461933999419,1.5251289251601727,0.8381014870238531,2.0,0.24852318914477353,0.6342594683441523,0.9546588571419067,20260950.50027632,1.2221399091309093,-2.640607003741547,-0.026017809973169857,0.27733947591044894,1.1069548867723036,0.7042152799297134,0.9498729386268909,0.48682584798135,0.0
Diffusion-Augmentation,registered_shuffled_support,0.322547999430587,1.2939844210654274,1.7397419695575707,1.5175205509827985,0.8374598588099488,2.0,0.2588961637400732,0.6317440899456256,0.9490239019619175,20260950.50027632,1.2221399091309093,-2.614099982980969,-0.014664342514558726,0.2911341567889003,1.1087110870841623,0.687829708973716,0.9555143907277812,0.48969502786445335,0.0
Gaussian-Augmentation,correct,0.20402879397270465,1.4085686008367915,2.040710696182367,1.5415162915361555,0.8428870363683332,2.0,0.1907567980035486,0.7187324419403338,0.9421656648271453,20260950.50027632,1.2221399091309093,-2.8952886446153103,-1.0493780731991416,0.22061665078773668,1.266220069185403,0.7532933867773416,0.975671828552246,0.4421222032755137,0.0
Gaussian-Augmentation,mean_wrong_support,0.19562493366489775,1.4144524073654232,2.03736233095235,1.5454050779286157,0.8426410876136303,2.0,0.1829878479934319,0.7184814365645216,0.945235705771912,20260950.50027632,1.2221399091309093,-2.887247649849485,-1.0584500601755222,0.21760526863920343,1.2655563534024397,0.7626393935507514,0.9772929950214172,0.44040148170598564,0.0
Gaussian-Augmentation,population_context,0.19527769715980384,1.4150292941907974,2.0401616817431694,1.5456781638659327,0.8425129944960201,2.0,0.18363907430897192,0.7187816998308214,0.9456595727442326,20260950.50027632,1.2221399091309093,-2.895008670088954,-1.0642718951493775,0.2180104818169921,1.2667609735544665,0.7618370314309821,0.9773934677067875,0.4406576379276585,0.0
Gaussian-Augmentation,registered_shuffled_support,0.20089291845971677,1.4094127104557301,2.0441855300130967,1.54180527965946,0.8427629351103154,2.0,0.19119300468589354,0.7192850373448922,0.9426644877020077,20260950.50027632,1.2221399091309093,-2.91012291847557,-1.0612779621368154,0.22131201775789736,1.2676825441720996,0.7537034775993249,0.975721637790879,0.442787121835128,0.0
No-Augmentation,correct,-0.001976485737722564,1.264242064667613,1.1724120825514708,1.6259739270723983,0.850306883516364,2.0,0.045912021391728834,0.606089397592461,0.9568186668969311,20260950.50027632,1.2221399091309093,-0.8341517760411467,-0.4200402330091881,0.050835803900604715,1.109805249659847,0.9260580939651096,1.00297917660539,0.19426579543499983,0.0
No-Augmentation,mean_wrong_support,-0.0023023598782649793,1.2631113598147554,1.164060672764429,1.625667347161214,0.8505066157296874,2.0,0.04186202367241912,0.6059628813199816,0.9558269220039219,20260950.50027632,1.2221399091309093,-0.7817746512875304,-0.4113729673275781,0.05039979502522474,1.108727413882968,0.9327950052404744,1.0025139281680646,0.19396729397397902,0.0
