between_context_separation,fold,method,seed,within_context_diversity
0.5787574648857117,0,Empirical-Resample,20260950,4.240443229675293
1.5814059972763062,0,Conditional-Gaussian,20260950,3.22924542427063
0.1302575170993805,0,Conditional-WGAN-GP,20260950,0.12763957679271698
0.39478662610054016,0,Conditional-Artifact-Diffusion,20260950,0.9632430672645569
0.6501665711402893,0,Empirical-Resample,20260951,3.508091688156128
2.091214656829834,0,Conditional-Gaussian,20260951,2.927058696746826
0.4076049327850342,0,Conditional-WGAN-GP,20260951,0.12109449505805969
1.2145347595214844,0,Conditional-Artifact-Diffusion,20260951,2.3836982250213623
0.15734483301639557,1,Empirical-Resample,20260950,1.0533167123794556
1.1538468599319458,1,Conditional-Gaussian,20260950,7.284529209136963
0.14196471869945526,1,Conditional-WGAN-GP,20260950,0.16166463494300842
0.07936917990446091,1,Conditional-Artifact-Diffusion,20260950,0.3280189037322998
0.13652834296226501,1,Empirical-Resample,20260951,0.9429444670677185
1.8274201154708862,1,Conditional-Gaussian,20260951,5.064173698425293
0.19243545830249786,1,Conditional-WGAN-GP,20260951,0.22416475415229797
0.0896129384636879,1,Conditional-Artifact-Diffusion,20260951,0.3689878284931183
0.17919842898845673,2,Empirical-Resample,20260950,1.2389154434204102
2.3509268760681152,2,Conditional-Gaussian,20260950,16.7757625579834
0.39104217290878296,2,Conditional-WGAN-GP,20260950,0.53275465965271
0.1816548854112625,2,Conditional-Artifact-Diffusion,20260950,0.6645958423614502
0.1722828447818756,2,Empirical-Resample,20260951,1.1757837533950806
1.5421209335327148,2,Conditional-Gaussian,20260951,9.07414722442627
0.3239904046058655,2,Conditional-WGAN-GP,20260951,0.4003864824771881
0.12197671085596085,2,Conditional-Artifact-Diffusion,20260951,0.46275562047958374
1.226118803024292,3,Empirical-Resample,20260950,8.504941940307617
2.333395004272461,3,Conditional-Gaussian,20260950,5.636797904968262
0.8766072988510132,3,Conditional-WGAN-GP,20260950,0.1625310629606247
0.8857633471488953,3,Conditional-Artifact-Diffusion,20260950,2.234934091567993
1.7292065620422363,3,Empirical-Resample,20260951,10.93873405456543
5.617785930633545,3,Conditional-Gaussian,20260951,9.128217697143555
8.581412315368652,3,Conditional-WGAN-GP,20260951,0.4399474263191223
5.960049152374268,3,Conditional-Artifact-Diffusion,20260951,6.3202104568481445
1.3504754304885864,4,Empirical-Resample,20260950,7.5714569091796875
1.7701112031936646,4,Conditional-Gaussian,20260950,4.238719940185547
0.24678125977516174,4,Conditional-WGAN-GP,20260950,0.33700504899024963
1.4223527908325195,4,Conditional-Artifact-Diffusion,20260950,6.592298984527588
3.0549683570861816,4,Empirical-Resample,20260951,18.302034378051758
4.564904689788818,4,Conditional-Gaussian,20260951,5.9280548095703125
1.5959523916244507,4,Conditional-WGAN-GP,20260951,0.6025968194007874
3.7080440521240234,4,Conditional-Artifact-Diffusion,20260951,18.102710723876953
