method,severity_stratum,rrmse_temporal,rrmse_spectral,correlation,snr_improvement,artifact_rrmse,artifact_correlation,clean_output_rms_ratio
Diffusion-Augmentation,mild,0.282049378682605,0.37439889052290365,0.9482739027415099,-7.524946401042653,3.09404552578121,0.19654135170130677,0.9633317465336637
Diffusion-Augmentation,medium,0.39661776948126964,0.5136587276097544,0.9084263759788853,-0.939040409510009,1.2236978601526756,0.35591671439635625,1.0222354819859203
Diffusion-Augmentation,severe,1.6253220937108037,0.9521365509182341,0.6900868315473284,0.7012935150529764,0.9523142920213391,0.4202373718704548,2.0582636808967782
Gaussian-Augmentation,mild,0.2458060204976259,0.5133094000816826,0.9644992004510102,-7.121736399963961,3.9324465658437764,0.10632134071358475,0.9930870900543173
Gaussian-Augmentation,medium,0.4208754309704646,0.6329382919081314,0.9061855161523297,-1.868555564849341,1.492948211520609,0.18058099769063837,1.0632996089632933
Gaussian-Augmentation,severe,1.6658042470293657,0.9700936546836126,0.6816240326837327,-0.19555782628599555,1.0974918085762035,0.29047655458523997,2.0867169493696216
No-Augmentation,mild,0.1631013934981095,0.2771144252421387,0.9807476488675129,-2.009935979433489,1.4771860409505606,-0.0011802118013628212,1.0197384327485108
No-Augmentation,medium,0.40099736945210596,0.5005807631392645,0.9149708021406177,-0.4761907513925395,1.0794916912335801,-0.002077447309052126,1.1077541643327105
No-Augmentation,severe,1.7637789608836612,0.9934422448487453,0.6839863569206863,-0.1841670140572798,1.026594754857059,-0.005023988583643235,2.2290184590369244
Real-Artifact-Augmentation,mild,0.2693979745825643,0.40445367759287165,0.9569362377088695,-7.315641095568105,3.1266291841450595,0.2028166893323747,0.9055471021751605
Real-Artifact-Augmentation,medium,0.36720689128282097,0.5176542022706003,0.9176077830377233,-0.5032343875034931,1.1691522718997498,0.4182080563229009,0.9550944905053796
Real-Artifact-Augmentation,severe,1.485523430148845,0.8713048988649512,0.716785092715681,1.8663748864788956,0.8420801734456254,0.5718488720557441,1.9124655300775504
WGAN-Augmentation,mild,1.045690263791584,0.43706855024917907,0.758036528180913,-16.339216146035234,9.335427471711096,0.00029546501914587593,1.5676022141350423
WGAN-Augmentation,medium,1.0101188951797655,0.5777833263569583,0.7522095995627882,-7.683101372009303,2.9252132158063406,0.016114620367537646,1.5172749833378485
WGAN-Augmentation,severe,2.233657563087797,0.998074187467252,0.602978235423546,-2.905330847500146,1.5445344072544942,0.035336779416511276,2.622770107610277
