panel,method,comparator,metric,participant_mean_utility,positive_count,participants,bootstrap_low,bootstrap_high
paired,Diffusion-Augmentation,No-Augmentation,rrmse_temporal,0.009822552103815545,6,15,-0.015889310483839805,0.039149888864974745
paired,Diffusion-Augmentation,No-Augmentation,rrmse_spectral,-0.0251047175967725,2,15,-0.03595366487211039,-0.015592049738601522
paired,Diffusion-Augmentation,No-Augmentation,correlation,-0.01197071171756665,1,15,-0.017283940991057917,-0.0067525872196532374
paired,Diffusion-Augmentation,No-Augmentation,snr_improvement,-1.7422202439080692,0,15,-2.1635163496987153,-1.355472478641502
paired,Diffusion-Augmentation,No-Augmentation,artifact_rrmse,-0.5559698034614703,0,15,-0.6564267105056475,-0.4542091540287301
paired,Diffusion-Augmentation,Real-Artifact-Augmentation,rrmse_temporal,-0.04984193507517558,1,15,-0.0734021485675541,-0.0244938170030745
paired,Diffusion-Augmentation,Real-Artifact-Augmentation,rrmse_spectral,-0.012522619021934767,3,15,-0.023032904714353222,-0.003801741941071079
paired,Diffusion-Augmentation,Real-Artifact-Augmentation,correlation,-0.012806467160127928,2,15,-0.018515772207423904,-0.007117813319797919
paired,Diffusion-Augmentation,Real-Artifact-Augmentation,snr_improvement,-0.5361674666949922,2,15,-0.8191017808812225,-0.27976910617657513
paired,Diffusion-Augmentation,Real-Artifact-Augmentation,artifact_rrmse,-0.034109427007357314,8,15,-0.1089020606045644,0.036358634216491076
paired,Diffusion-Augmentation,Gaussian-Augmentation,rrmse_temporal,-0.00483044996597023,11,15,-0.0449132308528352,0.02147901021488862
paired,Diffusion-Augmentation,Gaussian-Augmentation,rrmse_spectral,0.08753832675110026,14,15,0.05907005880689647,0.10657923873011614
paired,Diffusion-Augmentation,Gaussian-Augmentation,correlation,-0.004550864569535884,6,15,-0.011139716414618712,0.0012347935960012968
paired,Diffusion-Augmentation,Gaussian-Augmentation,snr_improvement,0.3189166246660943,11,15,-0.013657462368510447,0.6457156264015659
paired,Diffusion-Augmentation,Gaussian-Augmentation,artifact_rrmse,0.3123288101694257,13,15,0.143426002532935,0.5191189723218317
paired,Diffusion-Augmentation,WGAN-Augmentation,rrmse_temporal,0.6604555571208679,15,15,0.43254082326140086,0.9162810158623105
paired,Diffusion-Augmentation,WGAN-Augmentation,rrmse_spectral,0.055962423194854845,15,15,0.04158548315196781,0.06996948755343618
paired,Diffusion-Augmentation,WGAN-Augmentation,correlation,0.14299525781702344,15,15,0.1101696878926245,0.17831241293547279
paired,Diffusion-Augmentation,WGAN-Augmentation,snr_improvement,6.340589922289587,15,15,5.199985473514409,7.516682371269148
paired,Diffusion-Augmentation,WGAN-Augmentation,artifact_rrmse,2.812663825823435,15,15,1.8534188139756615,3.8799192331862855
natural,Diffusion-Augmentation,No-Augmentation,artifact_attenuation_db,0.4162452995085055,12,15,0.10276343257489991,0.7259279481973023
natural,Diffusion-Augmentation,No-Augmentation,low_eog_observation_retention,-0.23225959211226205,0,15,-0.26482801459052646,-0.20191039871714123
natural,Diffusion-Augmentation,No-Augmentation,psd_distortion,-0.29299085854558016,0,15,-0.32439658114879566,-0.26231390676866856
natural,Diffusion-Augmentation,No-Augmentation,covariance_distortion,-0.23926997626362168,0,15,-0.2754058607783355,-0.20450576569738435
natural,Diffusion-Augmentation,Real-Artifact-Augmentation,artifact_attenuation_db,-1.5839697725336408,0,15,-1.9444009424936033,-1.2084568959985973
natural,Diffusion-Augmentation,Real-Artifact-Augmentation,low_eog_observation_retention,-0.0744109140887091,0,15,-0.1063458573788957,-0.049833371688697906
natural,Diffusion-Augmentation,Real-Artifact-Augmentation,psd_distortion,-0.014290768932078046,4,15,-0.034506806343915106,0.008582471736152942
natural,Diffusion-Augmentation,Real-Artifact-Augmentation,covariance_distortion,-0.04715765503818043,2,15,-0.08549705046922758,-0.01646893760524827
natural,Diffusion-Augmentation,Gaussian-Augmentation,artifact_attenuation_db,1.045583139698459,14,15,0.7007634997774134,1.4340093332522166
natural,Diffusion-Augmentation,Gaussian-Augmentation,low_eog_observation_retention,-0.05949488492449398,2,15,-0.08964652217119692,-0.03547009166441863
natural,Diffusion-Augmentation,Gaussian-Augmentation,psd_distortion,-0.04513445070506628,2,15,-0.06283093777000776,-0.02757225568496298
natural,Diffusion-Augmentation,Gaussian-Augmentation,covariance_distortion,-0.06948912937648975,2,15,-0.10100137395222843,-0.03976337426920734
natural,Diffusion-Augmentation,WGAN-Augmentation,artifact_attenuation_db,4.65779287945365,15,15,3.5067906092189385,5.9759408773051375
natural,Diffusion-Augmentation,WGAN-Augmentation,low_eog_observation_retention,1.078700367668734,15,15,0.603481494490447,1.61964590194555
natural,Diffusion-Augmentation,WGAN-Augmentation,psd_distortion,-0.11184921605049471,0,15,-0.1324625700164147,-0.09211843982806654
natural,Diffusion-Augmentation,WGAN-Augmentation,covariance_distortion,0.011821626804389218,9,15,-0.038341897985627184,0.058129689531751065
