erp_amplitude_uv,erp_nontarget_epochs,erp_peak_latency_seconds,erp_split_half_reliability,erp_status,erp_target_epochs,erp_topography_norm,motion_coherence,participant,session,ssvep_epochs,ssvep_phase_consistency,ssvep_snr_db,ssvep_status,status,task
2.8251242637634277,240,0.0703125,0.5242951481687702,success,60,24.891101837158203,0.007361894939094782,sub-02,ses-02,,,,,success,ERP
,,,,,,,0.005763629917055368,sub-02,ses-02,60,0.3969264606952728,4.258310468387717,success,success,SSVEP
-3.0322649478912354,240,0.234375,0.3088373404590891,success,60,31.14406394958496,0.06108454242348671,sub-02,ses-03,,,,,success,ERP
,,,,,,,0.06964369863271713,sub-02,ses-03,60,0.2607331675996804,2.9337104873833746,success,success,SSVEP
5.5463762283325195,240,0.546875,0.10642891121847277,success,60,55.095672607421875,0.2662490904331207,sub-02,ses-04,,,,,success,ERP
,,,,,,,0.22874386608600616,sub-02,ses-04,60,0.3351081924141203,1.8035630505994054,success,success,SSVEP
4.357992172241211,240,0.5078125,0.4038025752151314,success,60,41.762840270996094,0.005832953844219446,sub-03,ses-02,,,,,success,ERP
,,,,,,,0.004409382119774818,sub-03,ses-02,60,0.16797943921505737,0.3142621811348089,success,success,SSVEP
2.8942999839782715,240,0.2734375,0.36482531537396096,success,60,22.85015869140625,0.12722399830818176,sub-03,ses-03,,,,,success,ERP
,,,,,,,0.13786758482456207,sub-03,ses-03,60,0.2913740542396916,1.0976279292661302,success,success,SSVEP
-4.69718599319458,240,0.09375,0.30934135055412176,success,60,34.575443267822266,0.17003804445266724,sub-03,ses-04,,,,,success,ERP
,,,,,,,0.16197970509529114,sub-03,ses-04,60,0.38237275912014296,-0.3359358248755322,success,success,SSVEP
-2.4166862964630127,240,0.375,0.6734037088489995,success,60,27.174034118652344,0.01414673775434494,sub-05,ses-02,,,,,success,ERP
,,,,,,,0.00722670229151845,sub-05,ses-02,60,0.18282980239340915,3.5088159140147233,success,success,SSVEP
-2.941965103149414,240,0.4140625,0.4513133622294556,success,60,36.405887603759766,0.15817423164844513,sub-05,ses-03,,,,,success,ERP
,,,,,,,0.15179793536663055,sub-05,ses-03,60,0.17991881962797646,2.6557180560337925,success,success,SSVEP
-3.9545228481292725,240,0.296875,0.6393276649372578,success,60,36.25274658203125,0.21784330904483795,sub-05,ses-04,,,,,success,ERP
,,,,,,,0.16588039696216583,sub-05,ses-04,60,0.2268344340852273,2.150863418650407,success,success,SSVEP
-4.902613639831543,240,0.21875,0.7390339397785759,success,60,56.11201095581055,0.002973878523334861,sub-06,ses-02,,,,,success,ERP
