participant,protocol,query_session,query_start,status,support_end,support_session,support_start,task,wrong_donor_1,wrong_donor_2,wrong_donor_3
sub-02,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,ERP,sub-07,sub-09,sub-11
sub-02,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,ERP,sub-07,sub-09,sub-11
sub-02,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,ERP,sub-19,sub-21,sub-23
sub-02,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,ERP,sub-19,sub-21,sub-23
sub-02,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,ERP,sub-09,sub-11,sub-12
sub-02,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-11,sub-12,sub-14
sub-02,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-11,sub-12,sub-14
sub-02,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,SSVEP,sub-15,sub-17,sub-18
sub-02,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,SSVEP,sub-09,sub-11,sub-12
sub-02,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,SSVEP,sub-11,sub-14,sub-15
sub-03,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,ERP,sub-09,sub-11,sub-12
sub-03,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,ERP,sub-09,sub-11,sub-12
sub-03,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,ERP,sub-21,sub-23,sub-24
sub-03,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,ERP,sub-21,sub-23,sub-24
sub-03,S2_MOTION_XSPEED,ses-04,0.0,eligible,60.0,ses-03,0.0,ERP,sub-11,sub-12,sub-14
sub-03,S0_STATIC_XSESSION,ses-03,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-12,sub-14,sub-15
sub-03,S0_STATIC_XSESSION,ses-04,0.0,eligible,60.0,ses-02,0.0,SSVEP,sub-12,sub-14,sub-15
sub-03,S1_MOTION_WITHIN_SESSION,ses-03,65.0,eligible,60.0,ses-03,0.0,SSVEP,sub-17,sub-18,sub-19
sub-03,S1_MOTION_WITHIN_SESSION,ses-04,65.0,eligible,60.0,ses-04,0.0,SSVEP,sub-11,sub-12,sub-14
