array_task,job_id,recovery_of,scientific_setting_changed,stage,status
,939022,,False,r0-preflight,accepted
,939026,,False,r1-forensic,failed
,939035,939026,False,r1-forensic,recovery
14,939249,,False,r10-natural-infer,accepted
0,939250,,False,r10-natural-infer,accepted
1,939251,,False,r10-natural-infer,accepted
2,939252,,False,r10-natural-infer,accepted
3,939253,,False,r10-natural-infer,accepted
4,939254,,False,r10-natural-infer,accepted
5,939255,,False,r10-natural-infer,accepted
6,939256,,False,r10-natural-infer,accepted
7,939257,,False,r10-natural-infer,accepted
8,939258,,False,r10-natural-infer,accepted
9,939259,,False,r10-natural-infer,accepted
10,939260,,False,r10-natural-infer,accepted
11,939261,,False,r10-natural-infer,accepted
12,939262,,False,r10-natural-infer,accepted
13,939263,,False,r10-natural-infer,accepted
,939032,,False,r11-freeze,superseded
,939264,939032,False,r11-freeze,recovery
14,939265,,False,r12-natural-eval,accepted
0,939267,,False,r12-natural-eval,accepted
1,939268,,False,r12-natural-eval,accepted
2,939269,,False,r12-natural-eval,accepted
3,939270,,False,r12-natural-eval,accepted
4,939271,,False,r12-natural-eval,accepted
5,939272,,False,r12-natural-eval,accepted
6,939273,,False,r12-natural-eval,accepted
7,939274,,False,r12-natural-eval,accepted
8,939275,,False,r12-natural-eval,accepted
9,939276,,False,r12-natural-eval,accepted
10,939277,,False,r12-natural-eval,accepted
11,939278,,False,r12-natural-eval,accepted
12,939279,,False,r12-natural-eval,accepted
13,939280,,False,r12-natural-eval,accepted
,939033,,False,r13-aggregate,superseded
,939266,939033,False,r13-aggregate,recovery
,939281,,False,r14-ledger,accepted
,939282,,False,r15-tests,accepted
,939291,,False,r15-tests,accepted
,939283,,False,r16-clean,accepted
,939292,,False,r16-clean,accepted
,939293,,False,r17-package,accepted
,939036,,False,r2-prepare,accepted
,939037,,False,r3-sanity,failed
,939042,939037,False,r3-sanity,recovery
11,939043,,False,r4-rounda,accepted
0,939046,,False,r4-rounda,accepted
1,939047,,False,r4-rounda,accepted
2,939048,,False,r4-rounda,accepted
3,939049,,False,r4-rounda,accepted
4,939050,,False,r4-rounda,accepted
5,939051,,False,r4-rounda,accepted
6,939052,,False,r4-rounda,accepted
7,939053,,False,r4-rounda,accepted
8,939054,,False,r4-rounda,accepted
9,939055,,False,r4-rounda,accepted
10,939056,,False,r4-rounda,accepted
1,939044,,False,r5-rounda-eval,failed
0,939112,,False,r5-rounda-eval,accepted
1,939116,939044,False,r5-rounda-eval,recovery
,939117,,False,r7-select,accepted
29,939124,,False,r8-all,accepted
0,939125,,False,r8-all,accepted
1,939126,,False,r8-all,accepted
2,939127,,False,r8-all,failed
3,939128,,False,r8-all,accepted
4,939129,,False,r8-all,accepted
5,939130,,False,r8-all,accepted
6,939133,,False,r8-all,accepted
7,939135,,False,r8-all,accepted
8,939136,,False,r8-all,accepted
9,939137,,False,r8-all,accepted
10,939138,,False,r8-all,accepted
11,939147,,False,r8-all,accepted
12,939148,,False,r8-all,accepted
13,939149,,False,r8-all,accepted
14,939150,,False,r8-all,accepted
15,939151,,False,r8-all,accepted
16,939153,,False,r8-all,accepted
17,939154,,False,r8-all,accepted
18,939155,,False,r8-all,accepted
19,939156,,False,r8-all,accepted
20,939157,,False,r8-all,accepted
21,939158,,False,r8-all,accepted
22,939159,,False,r8-all,accepted
23,939160,,False,r8-all,accepted
24,939161,,False,r8-all,accepted
25,939162,,False,r8-all,accepted
26,939164,,False,r8-all,accepted
27,939165,,False,r8-all,accepted
28,939166,,False,r8-all,accepted
2,939169,939127,False,r8-all,recovery
58,939170,,False,r8-all,accepted
30,939171,,False,r8-all,accepted
31,939172,,False,r8-all,accepted
32,939173,,False,r8-all,accepted
33,939174,,False,r8-all,accepted
34,939175,,False,r8-all,accepted
35,939176,,False,r8-all,accepted
36,939178,,False,r8-all,accepted
37,939180,,False,r8-all,accepted
38,939181,,False,r8-all,accepted
39,939182,,False,r8-all,accepted
40,939183,,False,r8-all,accepted
41,939185,,False,r8-all,accepted
42,939186,,False,r8-all,accepted
43,939189,,False,r8-all,accepted
44,939190,,False,r8-all,accepted
45,939191,,False,r8-all,accepted
46,939195,,False,r8-all,accepted
47,939196,,False,r8-all,accepted
48,939197,,False,r8-all,accepted
49,939198,,False,r8-all,accepted
50,939202,,False,r8-all,accepted
51,939204,,False,r8-all,accepted
52,939205,,False,r8-all,accepted
53,939206,,False,r8-all,accepted
54,939207,,False,r8-all,accepted
55,939208,,False,r8-all,accepted
56,939210,,False,r8-all,accepted
57,939211,,False,r8-all,accepted
59,939215,,False,r8-all,accepted
14,939234,,False,r9-paired-eval,accepted
0,939235,,False,r9-paired-eval,accepted
