adapter_parameters,best_criterion,fold,model,path,population_checkpoint,seed,sha256,support_checkpoint,updates
107342,joint,0,support_adapter_det,/projects/EEG-foundation-model/derived/denoiseNet/pa_sc_cdm_v29/checkpoints/selected/support_adapter_det/fold_0/seed_20260905/best_joint.pt,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_0/seed_20260901/best_joint.pt,20260905,767aa2bb15956e00ad279a4c379f2a3c032807f8015e0d393805dfa6d5543291,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_0/seed_20260825/best_joint.pt,3000
107342,joint,0,support_adapter_det,/projects/EEG-foundation-model/derived/denoiseNet/pa_sc_cdm_v29/checkpoints/selected/support_adapter_det/fold_0/seed_20260906/best_joint.pt,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_0/seed_20260902/best_joint.pt,20260906,b79b234917e66ea9ed893b586c246e904426240b7caed46f0256ec6e42533eab,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_0/seed_20260826/best_joint.pt,3000
107342,joint,0,support_adapter_det,/projects/EEG-foundation-model/derived/denoiseNet/pa_sc_cdm_v29/checkpoints/selected/support_adapter_det/fold_0/seed_20260907/best_joint.pt,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_0/seed_20260903/best_joint.pt,20260907,ea0f47153f258c9ebf6035a3574014d1065153564e653a976c73b28d16365e45,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_0/seed_20260827/best_joint.pt,3000
107342,joint,1,support_adapter_det,/projects/EEG-foundation-model/derived/denoiseNet/pa_sc_cdm_v29/checkpoints/selected/support_adapter_det/fold_1/seed_20260905/best_joint.pt,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_1/seed_20260901/best_joint.pt,20260905,92aa49b01552c178fb9c76c7cff3ddf07877d606e62bd81d754852def96c708c,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_1/seed_20260825/best_joint.pt,3000
107342,joint,1,support_adapter_det,/projects/EEG-foundation-model/derived/denoiseNet/pa_sc_cdm_v29/checkpoints/selected/support_adapter_det/fold_1/seed_20260906/best_joint.pt,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_1/seed_20260902/best_joint.pt,20260906,d05aba72297b05354ed8a6aafea5587c0eb7a62a35235bb3a662bd8d2e79e60b,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_1/seed_20260826/best_joint.pt,3000
107342,joint,1,support_adapter_det,/projects/EEG-foundation-model/derived/denoiseNet/pa_sc_cdm_v29/checkpoints/selected/support_adapter_det/fold_1/seed_20260907/best_joint.pt,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_1/seed_20260903/best_joint.pt,20260907,7dbd24c05235d4a0f95bbd8686df3ef926838b1214745109e0335f3685748435,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_1/seed_20260827/best_joint.pt,3000
107342,joint,2,support_adapter_det,/projects/EEG-foundation-model/derived/denoiseNet/pa_sc_cdm_v29/checkpoints/selected/support_adapter_det/fold_2/seed_20260905/best_joint.pt,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_2/seed_20260901/best_joint.pt,20260905,374bc884ac95a7fd59a519628cdbd4abe8a7062a1093baf22343e56bb569a3b9,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_2/seed_20260825/best_joint.pt,3000
107342,joint,2,support_adapter_det,/projects/EEG-foundation-model/derived/denoiseNet/pa_sc_cdm_v29/checkpoints/selected/support_adapter_det/fold_2/seed_20260906/best_joint.pt,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_2/seed_20260902/best_joint.pt,20260906,f7702a97ba4c2556505efabbdee4a15c3da802133b84f42553a23d6f9dfc27e2,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_2/seed_20260826/best_joint.pt,3000
107342,joint,2,support_adapter_det,/projects/EEG-foundation-model/derived/denoiseNet/pa_sc_cdm_v29/checkpoints/selected/support_adapter_det/fold_2/seed_20260907/best_joint.pt,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_2/seed_20260903/best_joint.pt,20260907,75119a049c1153b931cda92f4332140bbd36dbfc285e490e3447ee3b73381010,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_2/seed_20260827/best_joint.pt,3000
107342,joint,3,support_adapter_det,/projects/EEG-foundation-model/derived/denoiseNet/pa_sc_cdm_v29/checkpoints/selected/support_adapter_det/fold_3/seed_20260905/best_joint.pt,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_3/seed_20260901/best_joint.pt,20260905,da69eebb616dbd1afe85d2c904218e17578bae0b63d9eea8899f99217629e59d,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_3/seed_20260825/best_joint.pt,3000
