fold,panel,seconds_per_window,seed
4,paired,0.03041096528371175,20260906
3,paired,0.05663201709588369,20260907
1,paired,0.03539616738756498,20260906
2,paired,0.02599913254380226,20260905
0,paired,0.10257400944828987,20260905
4,paired,0.026607838769753773,20260907
3,paired,0.027025559296210606,20260906
1,paired,0.029994348684946697,20260907
0,paired,0.030569149802128475,20260907
2,paired,0.04252112656831741,20260906
4,paired,0.03444061055779457,20260905
1,paired,0.02627188836534818,20260905
3,paired,0.031323915968338646,20260905
0,paired,0.03526884441574415,20260906
2,paired,0.03590663770834605,20260907
2,natural,0.02101819437962991,20260906
0,natural,0.024322476100038598,20260907
1,natural,0.020893965054441382,20260905
4,natural,0.0285745268618619,20260905
3,natural,0.028016690302778174,20260905
2,natural,0.0337408643077921,20260907
0,natural,0.028592995471424527,20260906
1,natural,0.03378195067246755,20260906
3,natural,0.021413555299794232,20260907
4,natural,0.02382899268909737,20260906
2,natural,0.0240587807363934,20260905
0,natural,0.034305473168691,20260905
1,natural,0.028231593193831266,20260907
3,natural,0.024426833898932847,20260906
4,natural,0.02074749712590818,20260907
