contrast,effect,first,metric,panel,participant,second
CDM_MATCH_POP_ADAPTER,0.0001547091596512118,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-02,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.0001864722791455331,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-03,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00023422239519277355,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-05,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.000193961261860498,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-06,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00015802783716933888,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-07,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00015944369021525517,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-09,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00022652467703487833,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-11,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00023691157900257442,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-12,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00022873472738432765,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-14,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.0001892729406015592,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-15,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00022610488806640294,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-17,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.0002519549868884585,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-18,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00014790577195833432,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-19,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.0001142115211981709,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-21,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,8.373130822292296e-05,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-23,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.0001307829919660053,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-02,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00011369784840864483,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-03,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.0001104655020753853,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-05,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00014201505694672045,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-06,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00012757453485390258,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-07,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00019646364153691476,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-09,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00016830145237745064,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-11,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00018550109650405933,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-12,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00014202018181547205,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-14,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00021434286058757968,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-15,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00019654661761547843,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-17,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.0002048313221894027,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-18,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00018558241693727995,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-19,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00010261994975735433,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-21,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,0.00010698262849473394,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-23,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,2.971246613969747e-06,PA_SC_CDM_MATCH,correlation,paired,sub-02,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,1.4595727662713998e-05,PA_SC_CDM_MATCH,correlation,paired,sub-03,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,2.637699556851114e-05,PA_SC_CDM_MATCH,correlation,paired,sub-05,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,1.944534143605292e-05,PA_SC_CDM_MATCH,correlation,paired,sub-06,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,1.1839121580203837e-05,PA_SC_CDM_MATCH,correlation,paired,sub-07,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,-3.1361748374925114e-05,PA_SC_CDM_MATCH,correlation,paired,sub-09,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,1.5139468570235515e-05,PA_SC_CDM_MATCH,correlation,paired,sub-11,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,3.428335536970195e-05,PA_SC_CDM_MATCH,correlation,paired,sub-12,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,3.3855283816164317e-05,PA_SC_CDM_MATCH,correlation,paired,sub-14,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,7.354567203576856e-06,PA_SC_CDM_MATCH,correlation,paired,sub-15,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,1.3084856071876594e-05,PA_SC_CDM_MATCH,correlation,paired,sub-17,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,2.631753683091098e-05,PA_SC_CDM_MATCH,correlation,paired,sub-18,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,7.9332385212183e-06,PA_SC_CDM_MATCH,correlation,paired,sub-19,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,1.5759219725852702e-05,PA_SC_CDM_MATCH,correlation,paired,sub-21,POP_ADAPTER_CDM
CDM_MATCH_POP_ADAPTER,1.2779453148481501e-05,PA_SC_CDM_MATCH,correlation,paired,sub-23,POP_ADAPTER_CDM
CDM_MATCH_WRONG,1.2468505095064586e-07,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-02,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,-2.0234823550069336e-07,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-03,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,-5.538592328657721e-07,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-05,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,1.3809513075835333e-06,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-06,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,2.268789106585345e-08,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-07,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,6.430124663836523e-07,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-09,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,9.007463943611071e-07,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-11,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,1.6706286298795447e-07,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-12,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,3.1665810492631508e-06,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-14,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,4.736383174552827e-08,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-15,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,-3.8686291869982625e-07,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-17,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,1.3310977374225708e-06,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-18,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,2.931575787679108e-07,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-19,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,-6.510246445268209e-07,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-21,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,5.44158562376662e-07,PA_SC_CDM_MATCH,rrmse_temporal,paired,sub-23,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,1.2671883831139041e-06,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-02,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,-2.796195346377317e-07,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-03,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,1.2121442220514034e-06,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-05,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,3.483551250182959e-06,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-06,PA_SC_CDM_WRONG
CDM_MATCH_WRONG,4.2311148695795e-08,PA_SC_CDM_MATCH,rrmse_spectral,paired,sub-07,PA_SC_CDM_WRONG
