checkpoint,fold,query_disjoint,seed,sha256,support_encoder
/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_0/seed_20260825/best_joint.pt,0,True,20260901,51ad7a595c0ac54505f925bee8c05cb4adc88d4251197a5f3ebd50a5eec1cc99,V25 DeepSets frozen
/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_0/seed_20260826/best_joint.pt,0,True,20260902,28d583fa128087c245a7fc9f795b61b8a2d0076ef0e4303d2f20fed0af6c8eaa,V25 DeepSets frozen
/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_0/seed_20260827/best_joint.pt,0,True,20260903,bf1f1ce83bcd909d7df30227105a2b3e141c01e3cdf30d2fc5fba3e49663d4d6,V25 DeepSets frozen
/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_1/seed_20260825/best_joint.pt,1,True,20260901,14edb758767e6d7919c6a318dfe5a2e179a2edc0be006d3e9265ba5c8852141a,V25 DeepSets frozen
/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_1/seed_20260826/best_joint.pt,1,True,20260902,37e0b8f0a1ae0231d438c2cd9fc9253bce483fc41d14c8d4fb6a16e85d5f00b5,V25 DeepSets frozen
/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_1/seed_20260827/best_joint.pt,1,True,20260903,9a9852a436d6eb425bb8e80682e1aeee3ee7dc16e820cd4f2afa3ee67822cab3,V25 DeepSets frozen
/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_2/seed_20260825/best_joint.pt,2,True,20260901,b3e1effd1692b19786b2e715da8e3fb413d2ec79d9ab067dc5a529d331976ccf,V25 DeepSets frozen
/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_2/seed_20260826/best_joint.pt,2,True,20260902,bc765549ac7e34867ade794997a9cab9a1ed4a32926ecc442689204f96e93722,V25 DeepSets frozen
/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_2/seed_20260827/best_joint.pt,2,True,20260903,6a9ea87444761fc1b742a5dfe0f5b43ae348f0e853daabd7581b414969835e61,V25 DeepSets frozen
/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_3/seed_20260825/best_joint.pt,3,True,20260901,41bba29262e9cb4b365b5c007249d5a9db9e7ea1f3745c003d4c05c60b79f4d9,V25 DeepSets frozen
/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_3/seed_20260826/best_joint.pt,3,True,20260902,3124cca9dc51d48faa17e541edb8d8e748d8c5a307ae076142391c63b97240ea,V25 DeepSets frozen
/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_3/seed_20260827/best_joint.pt,3,True,20260903,3a95835e1fe5db42537058d7996f3ca511f0cd653dba28f4207fe392a4eeee37,V25 DeepSets frozen
/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_4/seed_20260825/best_joint.pt,4,True,20260901,ec2ea7d6d21eed26560545e5faf92c6f82c3f1ddfcb8e979957d883e99522a98,V25 DeepSets frozen
/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_4/seed_20260826/best_joint.pt,4,True,20260902,283c284486ec9b43a423a2d7261bc1dc91899698f26d852d66ee177ad8e0e8df,V25 DeepSets frozen
/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_4/seed_20260827/best_joint.pt,4,True,20260903,f72e7be7a16f4c88a4c787798c744d99fe9d452e433246cd2ca2d751ecfe771e,V25 DeepSets frozen
