cells,clean_rrmse,lambda_y,low_eog_observation_retention,method,panel,remaining_ratio
15,0.7082853300562015,0.5,,CALIB_ENERGY_DET_MATCH,paired,
15,0.7190455502181269,0.5,,CALIB_ENERGY_DET_WRONG,paired,
15,0.7080763226191469,0.5,,CALIB_ENERGY_SDEDIT_MATCH,paired,
15,0.7179804488835443,0.5,,CALIB_ENERGY_SDEDIT_WRONG,paired,
15,0.7173122530374207,0.5,,POP_ENERGY_DET,paired,
15,0.7168897111571116,0.5,,POP_ENERGY_SDEDIT,paired,
15,0.708633630500238,2,,CALIB_ENERGY_DET_MATCH,paired,
15,0.7185860624407119,2,,CALIB_ENERGY_DET_WRONG,paired,
15,0.708590879586619,2,,CALIB_ENERGY_SDEDIT_MATCH,paired,
15,0.7179309307759266,2,,CALIB_ENERGY_SDEDIT_WRONG,paired,
15,0.7179760443949312,2,,POP_ENERGY_DET,paired,
15,0.7177586872648843,2,,POP_ENERGY_SDEDIT,paired,
15,0.718329941949115,8,,CALIB_ENERGY_DET_MATCH,paired,
15,0.726927626919375,8,,CALIB_ENERGY_DET_WRONG,paired,
15,0.7183654155151291,8,,CALIB_ENERGY_SDEDIT_MATCH,paired,
15,0.7267139500223695,8,,CALIB_ENERGY_SDEDIT_WRONG,paired,
15,0.7276968680008901,8,,POP_ENERGY_DET,paired,
15,0.7275246793620075,8,,POP_ENERGY_SDEDIT,paired,
15,,0.5,0.8412106158206167,CALIB_ENERGY_DET_MATCH,natural,0.9649577619507909
15,,0.5,0.8384334066185046,CALIB_ENERGY_DET_WRONG,natural,0.9862872672991618
15,,0.5,0.8408624652467551,CALIB_ENERGY_SDEDIT_MATCH,natural,0.9716865933189791
15,,0.5,0.8372707063935295,CALIB_ENERGY_SDEDIT_WRONG,natural,0.9883909864351155
15,,0.5,0.8494027507408545,POP_ENERGY_DET,natural,0.9637692887956898
15,,0.5,0.8498931921982956,POP_ENERGY_SDEDIT,natural,0.9754040249726839
15,,2,0.8840741203622504,CALIB_ENERGY_DET_MATCH,natural,0.977848414104018
15,,2,0.883021225796579,CALIB_ENERGY_DET_WRONG,natural,0.9924951490014792
15,,2,0.8837909342851263,CALIB_ENERGY_SDEDIT_MATCH,natural,0.9833668345585466
15,,2,0.8821179495702381,CALIB_ENERGY_SDEDIT_WRONG,natural,0.9942463344790868
15,,2,0.8922358144581369,POP_ENERGY_DET,natural,0.974564488335616
15,,2,0.8925110372592624,POP_ENERGY_SDEDIT,natural,0.9839928803137605
15,,8,0.9281030076063163,CALIB_ENERGY_DET_MATCH,natural,1.0193482858232328
15,,8,0.9287193134941643,CALIB_ENERGY_DET_WRONG,natural,1.0264877586108114
15,,8,0.9279064194861957,CALIB_ENERGY_SDEDIT_MATCH,natural,1.0232184736472039
15,,8,0.9281331753405945,CALIB_ENERGY_SDEDIT_WRONG,natural,1.027861323186921
15,,8,0.9357504956985495,POP_ENERGY_DET,natural,1.014332925900817
15,,8,0.9358115041938112,POP_ENERGY_SDEDIT,natural,1.0207397933635445
