fold,panel,seconds,seconds_per_window,seed,windows
0,paired,7.6929590702056885,0.040067495157321296,20260901,192
0,paired,5.496021270751953,0.028625110785166424,20260902,192
0,paired,6.930102109909058,0.03609428182244301,20260903,192
1,paired,7.031605005264282,0.03662294273575147,20260901,192
1,paired,4.994802236557007,0.026014594982067745,20260902,192
1,paired,5.025160551071167,0.026172711203495663,20260903,192
2,paired,4.996474504470825,0.02602330471078555,20260901,192
2,paired,5.2160325050354,0.027166835963726044,20260902,192
2,paired,5.508590459823608,0.028690575311581295,20260903,192
3,paired,7.285109758377075,0.037943279991547264,20260901,192
3,paired,5.030441761016846,0.02620021750529607,20260902,192
3,paired,5.09339451789856,0.026528096447388332,20260903,192
4,paired,5.045398712158203,0.026278118292490642,20260901,192
4,paired,5.034361124038696,0.02622063085436821,20260902,192
4,paired,6.869907379150391,0.035780767599741616,20260903,192
0,natural,8.864899158477783,0.020520599903883757,20260901,432
0,natural,8.76980185508728,0.020300467257146484,20260902,432
0,natural,8.748128890991211,0.02025029835877595,20260903,432
1,natural,9.162007331848145,0.02120835030520404,20260901,432
1,natural,9.104930400848389,0.02107622777974164,20260902,432
1,natural,8.880330801010132,0.020556321298634564,20260903,432
2,natural,7.770284414291382,0.017986769477526348,20260901,432
2,natural,12.287368535995483,0.028442982722211768,20260902,432
2,natural,9.419321537017822,0.021803985039393108,20260903,432
3,natural,9.066306591033936,0.020986820812578553,20260901,432
3,natural,8.944012880325317,0.02070373351927157,20260902,432
3,natural,9.030532598495483,0.02090401064466547,20260903,432
4,natural,8.9142746925354,0.020634895121609723,20260901,432
4,natural,8.830615758895874,0.020441240182629338,20260902,432
4,natural,8.782659530639648,0.020330230394999187,20260903,432
