contrast,effect,first,metric,panel,participant,second
CDM_MATCH_POP,-5.69622438888473e-05,SUPPORT_CLEAN_CDM_MATCH,rrmse_temporal,paired,sub-02,POP_CLEAN_CDM
CDM_MATCH_POP,0.001973317912656536,SUPPORT_CLEAN_CDM_MATCH,rrmse_temporal,paired,sub-03,POP_CLEAN_CDM
CDM_MATCH_POP,0.0015451903454959393,SUPPORT_CLEAN_CDM_MATCH,rrmse_temporal,paired,sub-05,POP_CLEAN_CDM
CDM_MATCH_POP,-0.0004396990751467378,SUPPORT_CLEAN_CDM_MATCH,rrmse_temporal,paired,sub-06,POP_CLEAN_CDM
CDM_MATCH_POP,-0.0005519731563426999,SUPPORT_CLEAN_CDM_MATCH,rrmse_temporal,paired,sub-07,POP_CLEAN_CDM
CDM_MATCH_POP,-0.0015748997123630204,SUPPORT_CLEAN_CDM_MATCH,rrmse_temporal,paired,sub-09,POP_CLEAN_CDM
CDM_MATCH_POP,-0.0002447841820033547,SUPPORT_CLEAN_CDM_MATCH,rrmse_temporal,paired,sub-11,POP_CLEAN_CDM
CDM_MATCH_POP,-0.00551142220110612,SUPPORT_CLEAN_CDM_MATCH,rrmse_temporal,paired,sub-12,POP_CLEAN_CDM
CDM_MATCH_POP,0.0005260803612432974,SUPPORT_CLEAN_CDM_MATCH,rrmse_temporal,paired,sub-14,POP_CLEAN_CDM
CDM_MATCH_POP,-0.00014763909566684053,SUPPORT_CLEAN_CDM_MATCH,rrmse_temporal,paired,sub-15,POP_CLEAN_CDM
CDM_MATCH_POP,0.0031542915742254762,SUPPORT_CLEAN_CDM_MATCH,rrmse_temporal,paired,sub-17,POP_CLEAN_CDM
CDM_MATCH_POP,0.0032355111763022193,SUPPORT_CLEAN_CDM_MATCH,rrmse_temporal,paired,sub-18,POP_CLEAN_CDM
CDM_MATCH_POP,-0.001805548425341752,SUPPORT_CLEAN_CDM_MATCH,rrmse_temporal,paired,sub-19,POP_CLEAN_CDM
CDM_MATCH_POP,-0.0012012157529512346,SUPPORT_CLEAN_CDM_MATCH,rrmse_temporal,paired,sub-21,POP_CLEAN_CDM
CDM_MATCH_POP,0.0007413564808164408,SUPPORT_CLEAN_CDM_MATCH,rrmse_temporal,paired,sub-23,POP_CLEAN_CDM
CDM_MATCH_POP,0.0003838967859337572,SUPPORT_CLEAN_CDM_MATCH,rrmse_spectral,paired,sub-02,POP_CLEAN_CDM
CDM_MATCH_POP,-0.00037873734315985175,SUPPORT_CLEAN_CDM_MATCH,rrmse_spectral,paired,sub-03,POP_CLEAN_CDM
CDM_MATCH_POP,-0.001862258208581269,SUPPORT_CLEAN_CDM_MATCH,rrmse_spectral,paired,sub-05,POP_CLEAN_CDM
CDM_MATCH_POP,0.0003125995281152427,SUPPORT_CLEAN_CDM_MATCH,rrmse_spectral,paired,sub-06,POP_CLEAN_CDM
CDM_MATCH_POP,-0.004222931208522629,SUPPORT_CLEAN_CDM_MATCH,rrmse_spectral,paired,sub-07,POP_CLEAN_CDM
CDM_MATCH_POP,-0.00020153275378798075,SUPPORT_CLEAN_CDM_MATCH,rrmse_spectral,paired,sub-09,POP_CLEAN_CDM
CDM_MATCH_POP,-0.0005068493243892136,SUPPORT_CLEAN_CDM_MATCH,rrmse_spectral,paired,sub-11,POP_CLEAN_CDM
CDM_MATCH_POP,-0.004069588725425066,SUPPORT_CLEAN_CDM_MATCH,rrmse_spectral,paired,sub-12,POP_CLEAN_CDM
CDM_MATCH_POP,0.00039648096751065953,SUPPORT_CLEAN_CDM_MATCH,rrmse_spectral,paired,sub-14,POP_CLEAN_CDM
CDM_MATCH_POP,-0.00028647264493081304,SUPPORT_CLEAN_CDM_MATCH,rrmse_spectral,paired,sub-15,POP_CLEAN_CDM
CDM_MATCH_POP,0.00372675814999196,SUPPORT_CLEAN_CDM_MATCH,rrmse_spectral,paired,sub-17,POP_CLEAN_CDM
CDM_MATCH_POP,-0.0006132327211235689,SUPPORT_CLEAN_CDM_MATCH,rrmse_spectral,paired,sub-18,POP_CLEAN_CDM
CDM_MATCH_POP,-0.0046912962698715255,SUPPORT_CLEAN_CDM_MATCH,rrmse_spectral,paired,sub-19,POP_CLEAN_CDM
CDM_MATCH_POP,6.39363525312131e-05,SUPPORT_CLEAN_CDM_MATCH,rrmse_spectral,paired,sub-21,POP_CLEAN_CDM
CDM_MATCH_POP,0.0014653324508840937,SUPPORT_CLEAN_CDM_MATCH,rrmse_spectral,paired,sub-23,POP_CLEAN_CDM
CDM_MATCH_POP,-8.238909746682843e-05,SUPPORT_CLEAN_CDM_MATCH,correlation,paired,sub-02,POP_CLEAN_CDM
CDM_MATCH_POP,-0.0006534265620368185,SUPPORT_CLEAN_CDM_MATCH,correlation,paired,sub-03,POP_CLEAN_CDM
