contains_event,contains_query_EOG,contains_query_operator,participant,path,session,sha256,shape,task
0,0,0,sub-02,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-02/ses-02_ERP.npz,ses-02,30c0c34e55cb0012ab7ac5e853c699294e54070582724c2a3bcee9e188275d93,"(46, 38845)",ERP
0,0,0,sub-02,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-02/ses-02_SSVEP.npz,ses-02,8ceebee4163e2ccc9ead9eb47a1b0f58201fdb504a9ae0f83408fd414f0912f7,"(46, 23395)",SSVEP
0,0,0,sub-02,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-02/ses-03_ERP.npz,ses-03,9d3f5ace17f93ded64e1a50e2d7087c8dab29e75342986c56896efef2412ff23,"(46, 38432)",ERP
0,0,0,sub-02,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-02/ses-03_SSVEP.npz,ses-03,205b1c94ba24ff50841f239ff268b541fb97e90fd14beae2553b20c41138302a,"(46, 23304)",SSVEP
0,0,0,sub-02,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-02/ses-04_ERP.npz,ses-04,fc696052509eee8f422828b17526abfaee02cfdf5e9bb8e471f4010e93b24cb8,"(46, 39057)",ERP
0,0,0,sub-02,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-02/ses-04_SSVEP.npz,ses-04,a9e24dbb82cd09b0de0989ec8d5a6d1ae332b87d99798c38676c6c5ce540967a,"(46, 24500)",SSVEP
0,0,0,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-03/ses-02_ERP.npz,ses-02,2162f04d5035eec1ade89f6cc107264650e4523566021d6d4bb7cd5f2a1047d0,"(46, 38843)",ERP
0,0,0,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-03/ses-02_SSVEP.npz,ses-02,6ee3f5604cca38070b8d961e87150687702cdfb3171062898ba411cf8bbc6ca2,"(46, 24091)",SSVEP
0,0,0,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-03/ses-03_ERP.npz,ses-03,2bba9364aef191ba45271a2b46d69f3517c7c0d1765f01308f73af0ba77b51f5,"(46, 38337)",ERP
0,0,0,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-03/ses-03_SSVEP.npz,ses-03,bc49f3865ca1a19fa1e249611ddca8bb32b4f2a1ee6997e355b2a241ab318841,"(46, 24351)",SSVEP
0,0,0,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-03/ses-04_ERP.npz,ses-04,28ad5a6e89504718db469f403cd8734bf4a733a7e0cce2c07799c537867c3df5,"(46, 42522)",ERP
0,0,0,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-03/ses-04_SSVEP.npz,ses-04,289e54ebcc31ecb7d9d72c39e8dc0791f5663df9ff998205701bf3c11fbb3f3f,"(46, 23682)",SSVEP
0,0,0,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-05/ses-02_ERP.npz,ses-02,fe413542f1cf7fefe1cbcdf703ef2bfa31487e8d84a60cfb0232597b63aa0ed3,"(46, 40892)",ERP
0,0,0,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-05/ses-02_SSVEP.npz,ses-02,e874e49922e7c4d7c6fd951cb19c3eb7b07e464fcb3457546e63a5cc2f7981bf,"(46, 29603)",SSVEP
0,0,0,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-05/ses-03_ERP.npz,ses-03,60b0a1b2ab3bcd244b6370479bd62fb3f7bbcc566a8bcda600273b82db2ce685,"(46, 37871)",ERP
0,0,0,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-05/ses-03_SSVEP.npz,ses-03,4a839669ba6e3aec393efe2cfbf8307f801aa32caeaf99ad85efa574fdae9ee7,"(46, 27325)",SSVEP
0,0,0,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-05/ses-04_ERP.npz,ses-04,f7927ad09c6543ab4c0dd8d6592b9be6302a0d18ba212462d3d717af0e0644c2,"(46, 37806)",ERP
0,0,0,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-05/ses-04_SSVEP.npz,ses-04,3f099c8b8a7a100d7f4844ab659afe5a74d3e31ceaef581d37609de449b70cb2,"(46, 24225)",SSVEP
0,0,0,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-06/ses-02_ERP.npz,ses-02,c8b3b5b5cddb15f3ca503d771403a992a777b05a0c304ebee04105a451e56100,"(46, 37551)",ERP
0,0,0,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-06/ses-02_SSVEP.npz,ses-02,9371e6ff653e7011a8807597546047901594d6e56f62f41749ef58a88467b512,"(46, 23785)",SSVEP
0,0,0,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/inference_bundles/sub-06/ses-03_ERP.npz,ses-03,28bb7204625acc9e11a7aaf869309994e4ee9bb2bff4d21f26817d3bf7f6717a,"(46, 38059)",ERP
