PSD_distortion,covariance_distortion,finite,method,off_span_ratio,output_input_RMS,outside_mask_max,participant,preservation,session,task
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-02,1.0,ses-02,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-02,1.0,ses-02,ERP
0.01302255852767603,0.00952356549797306,1,MATCH,5.253993060213888e-16,0.9972120922633639,0.0,sub-02,0.9915528184319653,ses-02,SSVEP
0.017365449207316037,0.01276022501309454,1,POP,4.229326453230305e-16,0.9966567365211935,0.0,sub-02,0.9885823667743134,ses-02,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-02,1.0,ses-03,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-02,1.0,ses-03,ERP
0.03626290776339643,0.053221622774435186,1,MATCH,6.376175753623385e-16,0.9840821810821824,0.0,sub-02,0.9647682621759333,ses-03,SSVEP
0.03612199445140587,0.05350273406061288,1,POP,5.881515532560397e-16,0.983944866852545,0.0,sub-02,0.9646095004366608,ses-03,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-02,1.0,ses-04,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-02,1.0,ses-04,ERP
0.011803619514323132,0.09712686007025423,1,MATCH,7.651073628697004e-16,0.9555036660482573,0.0,sub-02,0.9427139313470777,ses-04,SSVEP
0.008581402609744304,0.053196748987308695,1,POP,8.253865914356896e-16,0.9927070465997064,0.0,sub-02,0.9592742310663006,ses-04,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-03,1.0,ses-02,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-03,1.0,ses-02,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-03,1.0,ses-02,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-03,1.0,ses-02,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-03,1.0,ses-03,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-03,1.0,ses-03,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-03,1.0,ses-03,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-03,1.0,ses-03,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-03,1.0,ses-04,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-03,1.0,ses-04,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-03,1.0,ses-04,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-03,1.0,ses-04,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-05,1.0,ses-02,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-05,1.0,ses-02,ERP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-05,1.0,ses-02,SSVEP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-05,1.0,ses-02,SSVEP
0.0,0.0,1,MATCH,0.0,1.0,0.0,sub-05,1.0,ses-03,ERP
0.0,0.0,1,POP,0.0,1.0,0.0,sub-05,1.0,ses-03,ERP
