KKT_residual,coefficient_max_difference,correction_max_difference,participant,session,task
4.263256414560601e-14,7.771561172376096e-16,6.217248937900877e-15,sub-02,ses-02,SSVEP
8.185452315956354e-12,1.2079226507921703e-13,7.958078640513122e-13,sub-02,ses-03,SSVEP
3.410605131648481e-13,6.661338147750939e-16,7.105427357601002e-15,sub-02,ses-04,SSVEP
4.547473508864641e-13,7.216449660063518e-16,1.2434497875801753e-14,sub-06,ses-04,SSVEP
4.547473508864641e-12,2.4868995751603507e-14,5.684341886080801e-13,sub-09,ses-03,ERP
