EEG_EOG_coherence_reduction,blink_saccade_locked,frontal_residual_topography,heldout_EOG_prediction_remaining_ratio,participant,session,task
0.0,NOT_SUPPORTED,120.15822109108153,1.0,sub-17,ses-02,ERP
0.0,NOT_SUPPORTED,71.69977421400257,1.0,sub-17,ses-02,SSVEP
0.0,NOT_SUPPORTED,122.71787064264805,1.0,sub-17,ses-03,ERP
0.0,NOT_SUPPORTED,64.60685194288467,1.0,sub-17,ses-03,SSVEP
0.0,NOT_SUPPORTED,107.20636179187288,1.0,sub-17,ses-04,ERP
0.0,NOT_SUPPORTED,69.22859636110189,1.0,sub-17,ses-04,SSVEP
-0.005262351755899841,NOT_SUPPORTED,107.95974009630118,1.0198864687963156,sub-18,ses-02,ERP
0.0,NOT_SUPPORTED,90.00811352331145,1.0,sub-18,ses-02,SSVEP
0.0,NOT_SUPPORTED,106.22766563289068,1.0,sub-18,ses-03,ERP
0.0001463176464069349,NOT_SUPPORTED,88.05829859499995,0.9992688399791405,sub-18,ses-03,SSVEP
0.0,NOT_SUPPORTED,113.39844413464925,1.0,sub-18,ses-04,ERP
-0.015465574818572109,NOT_SUPPORTED,100.24537494335999,1.22811838458862,sub-18,ses-04,SSVEP
0.0029117350618604043,NOT_SUPPORTED,76.83313820606207,0.9907704114304904,sub-19,ses-02,ERP
-0.0011342036525117671,NOT_SUPPORTED,120.52436796752627,1.0069729822061766,sub-19,ses-02,SSVEP
0.001787552533014436,NOT_SUPPORTED,79.43314187268446,0.9963365196205427,sub-19,ses-03,ERP
0.0011437460163028629,NOT_SUPPORTED,119.67970420011868,1.3807937606771932,sub-19,ses-03,SSVEP
0.003915430190230648,NOT_SUPPORTED,76.54402385595787,0.9807027528172424,sub-19,ses-04,ERP
-5.568523748222809e-06,NOT_SUPPORTED,598.0635107640958,1.1783895818707002,sub-19,ses-04,SSVEP
0.0,NOT_SUPPORTED,74.50179121215882,1.0,sub-21,ses-02,ERP
0.0,NOT_SUPPORTED,95.93344854173192,1.0,sub-21,ses-02,SSVEP
0.0,NOT_SUPPORTED,114.72084864961556,1.0,sub-21,ses-03,ERP
0.0,NOT_SUPPORTED,115.40487658703526,1.0,sub-21,ses-03,SSVEP
0.0,NOT_SUPPORTED,98.98391558773254,1.0,sub-21,ses-04,ERP
0.0,NOT_SUPPORTED,87.54454123115951,1.0,sub-21,ses-04,SSVEP
0.0,NOT_SUPPORTED,81.23944007716625,1.0,sub-23,ses-02,ERP
0.0,NOT_SUPPORTED,85.28905616408746,1.0,sub-23,ses-02,SSVEP
0.0,NOT_SUPPORTED,76.20796286563503,1.0,sub-23,ses-03,ERP
0.0,NOT_SUPPORTED,102.68487318977431,1.0,sub-23,ses-03,SSVEP
0.0,NOT_SUPPORTED,105.66464060177238,1.0,sub-23,ses-04,ERP
0.0,NOT_SUPPORTED,105.28261535557267,1.0,sub-23,ses-04,SSVEP
