channels,donor_fallback_count,donors,operator_family,participant,path,rank,regressors,session,sha256,task
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-03/ses-04_ERP.npz,4,4,ses-04,fcc6f3fc10538d59545022e888949d07d84f560789fef972e0a428389da920cc,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-03/ses-04_SSVEP.npz,4,4,ses-04,9b306fde8e446ab04eb03728c23c181a996f6357a68bb8470da390790c98e039,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-05/ses-02_ERP.npz,4,4,ses-02,0a709e6d44bf2e1d8ce93747d8d970b8bd4441ac1b0b41b8f07e8a8921336e71,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-05/ses-02_SSVEP.npz,4,4,ses-02,f6af70629ea3fad26172d570e05f97e4d9437d0a36aa9e9c8b7970cc6df0cdce,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-05/ses-03_ERP.npz,4,4,ses-03,7f7fe36c1d71caaad1ed162c9bc139e0536af50e02441af74316dac437eb1163,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-05/ses-03_SSVEP.npz,4,4,ses-03,6524e0d2d338b2b4686923d2cca3b5a763bfe17d18b218c205b941c9d9c68fc2,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-05/ses-04_ERP.npz,4,4,ses-04,7029ec62694df18c606b1e51164ffdabaaab68145cd4f072541a9e03f328aef2,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-05/ses-04_SSVEP.npz,4,4,ses-04,27d7f6cff7da901a03a0fbe4c45e445928c601b68171d7e6e132d5e46a2c0234,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-06/ses-02_ERP.npz,4,4,ses-02,a6873d323ae9fdfed69fa9f84eabb64787819f400f5cd0d588dd5c9980d59ebb,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-06/ses-02_SSVEP.npz,4,4,ses-02,652ff4e92bc4389ef3c96357a7de18c34324f650e9b0f8f4995f8a34ee78be85,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-06/ses-03_ERP.npz,4,4,ses-03,83b25dc8e33f9900da25f22edf5d1190e1d98a2c12f9062a592cd7ea8f65e649,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-06/ses-03_SSVEP.npz,4,4,ses-03,ef1796b2f94a9f5d3c96870b070c93bc41037c1c65071b5b9a84e7cbe429dc08,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-06/ses-04_ERP.npz,4,4,ses-04,6daf598d11df6612bad86a857cc9fc2f37a60fcb954e2c7471fd84c7fe1b3fc6,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-06/ses-04_SSVEP.npz,4,4,ses-04,6d4555e3eb3d9588929d112868efe8da0a8ab13d384c4d65bd56eed3f7a32708,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-07,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-07/ses-02_ERP.npz,4,4,ses-02,05ee425a2738d306682c67ed2db0b7510e5b4b74f8fe3b3947a0d961a08bad73,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-07,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-07/ses-02_SSVEP.npz,4,4,ses-02,ce23248e61ed612ed2b1eb1615b8c60813ccb80f9dca75aa735fbdcc5a4a0a3d,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-07,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-07/ses-03_ERP.npz,4,4,ses-03,1db9ca5220602b095e06654dbaf5bd2c1bff711e64eeb7421f6cf2f35113f3ab,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-07,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-07/ses-03_SSVEP.npz,4,4,ses-03,8347509eda4dbdb74cac2cc656b857115001ceedc0b10fd1bee6ddb109d2d431,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-07,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-07/ses-04_ERP.npz,4,4,ses-04,3c47b93f49e59c0e6a497b46ddf209a8c9617d3232f4f7e568a8511c2256ab2f,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-07,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-07/ses-04_SSVEP.npz,4,4,ses-04,b90da6b3ffb489f0a003e97c155ba5a5594c70499b3be4069cebd268897561d9,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-09,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-09/ses-02_ERP.npz,4,4,ses-02,cbaad02094c858fe62831758609794292be9706a80d91746bca4a2b8c7acbba9,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-09,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-09/ses-02_SSVEP.npz,4,4,ses-02,293183c6165543a73342e1fe327dffef447c696ff51f5aadd494c8168b18d0cb,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-09,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-09/ses-03_ERP.npz,4,4,ses-03,f3f3b4f7676d2adcf1d6c12f0463716dabf779090fedbcf8e05b7020c2f5b628,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-09,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-09/ses-03_SSVEP.npz,4,4,ses-03,f54abf56fc6619890fba07979c229bd65249b386391444d7204774118c8275f3,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-09,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-09/ses-04_ERP.npz,4,4,ses-04,ee37119c8baa77fc400085faf32197e5743e25aaabc5604d91e438b68039c82a,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-09,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-09/ses-04_SSVEP.npz,4,4,ses-04,e4c0f0ea247f38f33b4a5ecb59e471e5b7247e7452a51acb73e1bab16e8dea67,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-11,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-11/ses-02_ERP.npz,4,4,ses-02,e861b158e94c8b717c63276b226380a3e54a3d22b141090d45b902123399bc1b,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-11,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-11/ses-02_SSVEP.npz,4,4,ses-02,836d3874fe77c8816e982f0577d7ac74cde211a84a9eaa81220bcdbd79c286f0,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-11,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-11/ses-03_ERP.npz,4,4,ses-03,4dddb30169c5b35e61b510f3dc465407cac1c554acfd606a299b49d571d660ee,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-11,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-11/ses-03_SSVEP.npz,4,4,ses-03,e43a01893bf691abe578d59395cae568402ddea132e810a40b43710822435e50,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-11,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-11/ses-04_ERP.npz,4,4,ses-04,8a42d87839d97a0889fd2320f1668268f9612e893a920b7dd37fc18313ba6ad0,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-11,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-11/ses-04_SSVEP.npz,4,4,ses-04,aa2823f0bd593a6b915c1b962ade5541fd148fec9aaadf825e7b94e912aa2832,SSVEP
