MATCH,POP,U_P,U_W,WRONG_mean,participant,primary_exchangeable
1.0235501720887283,1.015149583568642,-0.008400588520086405,-0.0020733445617306945,1.0214768275269976,sub-02,
1.0,1.0,0.0,0.0,1.0,sub-03,
1.0,1.0,0.0,0.0,1.0,sub-05,
1.0001264879953178,1.0004550983156726,0.0003286103203548052,0.0002176875923354249,1.0003441755876532,sub-06,
1.0,1.0,0.0,0.0,1.0,sub-07,
2.589218462925766,1.7823961208845431,-0.8068223420412228,-1.2892798693146195,1.2999385936111465,sub-09,
1.0028394877731426,0.9997762722136869,-0.0030632155594556565,-0.0027307376489660307,1.0001087501241765,sub-11,
1.0,1.0,0.0,0.0,1.0,sub-12,
1.016360721757409,0.9933830388814013,-0.022977682876007766,-0.019716060598309215,0.9966446611590999,sub-14,
1.0022524098356653,1.0000317201761573,-0.002220689659508057,-0.0020396502472030953,1.0002127595884622,sub-15,
1.0,1.0,0.0,0.0,1.0,sub-17,
1.0412122822273462,1.0054174408522807,-0.0357948413750655,-0.037736402431061356,1.0034758797962848,sub-18,
1.088994334770391,1.074452754667254,-0.014541580103136997,-0.06166186660306883,1.0273324681673222,sub-19,
1.0,1.0,0.0,0.0,1.0,sub-21,
1.0,1.0,0.0,0.0,1.0,sub-23,
,,0.0,0.0,,sub-24,0
