AUROC,FPR_low,TAR_FAR5,detection_delay,mask_prevalence,participant,session,task
1.0,0.0,0.0,NOT_SUPPORTED,0.0,sub-02,ses-02,ERP
0.8114285714285714,0.02857142857142857,0.08571428571428572,NOT_SUPPORTED,0.03761487497328489,sub-02,ses-02,SSVEP
0.7907253269916765,0.0,0.0,NOT_SUPPORTED,0.0,sub-02,ses-03,ERP
0.6514285714285715,1.0,1.0,NOT_SUPPORTED,0.9963954685890835,sub-02,ses-03,SSVEP
0.8871014076414824,0.0,0.0,NOT_SUPPORTED,0.0,sub-02,ses-04,ERP
0.5157048940832725,0.4594594594594595,0.32432432432432434,NOT_SUPPORTED,0.3216326530612245,sub-02,ses-04,SSVEP
0.9123067776456599,0.0,0.0,NOT_SUPPORTED,0.0,sub-03,ses-02,ERP
0.8935185185185185,0.0,0.0,NOT_SUPPORTED,0.0,sub-03,ses-02,SSVEP
0.8938763376932224,0.0,0.0,NOT_SUPPORTED,0.0,sub-03,ses-03,ERP
0.8845872899926954,0.0,0.0,NOT_SUPPORTED,0.0,sub-03,ses-03,SSVEP
0.811279296875,0.0,0.0,NOT_SUPPORTED,0.0,sub-03,ses-04,ERP
0.808641975308642,0.0,0.0,NOT_SUPPORTED,0.0,sub-03,ses-04,SSVEP
1.0,0.0,0.0,NOT_SUPPORTED,0.0,sub-05,ses-02,ERP
0.9940740740740741,0.0,0.0,NOT_SUPPORTED,0.0,sub-05,ses-02,SSVEP
0.9996922129886119,0.0,0.0,NOT_SUPPORTED,0.0,sub-05,ses-03,ERP
1.0,0.0,0.0,NOT_SUPPORTED,0.0,sub-05,ses-03,SSVEP
0.9609110495537089,0.0,0.0,NOT_SUPPORTED,0.0,sub-05,ses-04,ERP
0.9744338933528123,0.0,0.0,NOT_SUPPORTED,0.0,sub-05,ses-04,SSVEP
0.9636479591836735,0.0,0.0,NOT_SUPPORTED,0.0,sub-06,ses-02,ERP
0.9830246913580247,0.0,0.0,NOT_SUPPORTED,0.0,sub-06,ses-02,SSVEP
0.9833795013850416,0.0,0.0,NOT_SUPPORTED,0.0,sub-06,ses-03,ERP
0.9985390796201608,0.0,0.0,NOT_SUPPORTED,0.0,sub-06,ses-03,SSVEP
0.8871014076414824,0.0,0.0,NOT_SUPPORTED,0.0,sub-06,ses-04,ERP
