masked_samples,participant,path,prevalence,samples,session,sha256,task
0,sub-02,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-02/ses-02_ERP.npz,0.0,38845,ses-02,18202cff6ec12f48013abe5daad32d762abbbb7abd2beff88099b1fc0ce93769,ERP
880,sub-02,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-02/ses-02_SSVEP.npz,0.03761487497328489,23395,ses-02,0ace27d288055960f7bacfb3e7f1b5572e5e030c434b76f2663e60fc8d7c8d41,SSVEP
0,sub-02,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-02/ses-03_ERP.npz,0.0,38432,ses-03,7ee31ab843dba794e9c6672ddebe0b5703d8cf1236052b2be41c459e10c04116,ERP
23220,sub-02,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-02/ses-03_SSVEP.npz,0.9963954685890835,23304,ses-03,adab87c73a8ad0687280b4a47d515adf5c15120b72ea7ef595ae1c345392d046,SSVEP
0,sub-02,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-02/ses-04_ERP.npz,0.0,39057,ses-04,5a603a7c6935dd74fe129a8a0f64570bd0b1c235c09624f7f9f69fda14211214,ERP
7880,sub-02,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-02/ses-04_SSVEP.npz,0.3216326530612245,24500,ses-04,87d5438c1efb1fa1069d2aecbf1e6ed7b30faf07c48bc4aacfc2697cc3e3132c,SSVEP
0,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-03/ses-02_ERP.npz,0.0,38843,ses-02,9d128bbc4c0163c0d8fde120e9c6273645dc46993521531b5c6c7b766844d4d9,ERP
0,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-03/ses-02_SSVEP.npz,0.0,24091,ses-02,6f70c189a4b5bdc127aeee5a71761e103da8fdca88d7e6d79c4b0dcce9793942,SSVEP
0,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-03/ses-03_ERP.npz,0.0,38337,ses-03,f4b24c8805cfe57241aaaec5a314f8967db34131e8311afad39e5c40bb11ab1b,ERP
0,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-03/ses-03_SSVEP.npz,0.0,24351,ses-03,d933c0d86c6e6375fa796fa45a512c5ebdd2e22de7f2789bff38fb1c3203a77f,SSVEP
0,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-03/ses-04_ERP.npz,0.0,42522,ses-04,a5497f0c0184e51be054661961d3726a3bf82da9a861ed30d9ca0be5026aee5c,ERP
0,sub-03,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-03/ses-04_SSVEP.npz,0.0,23682,ses-04,c714b9c488e0676ffe47a29cdcab892a444a5999c7533cafdb10278d5a33e7c4,SSVEP
0,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-05/ses-02_ERP.npz,0.0,40892,ses-02,de1c2f8c5b25b33b3e7a76f6f6effa11d38fec5748bdd7218e2c025360ddecce,ERP
0,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-05/ses-02_SSVEP.npz,0.0,29603,ses-02,3b53bf4f11f34f903343f4f2a5cd07f0304972a76c0311ed2d3096e7d7ab8de2,SSVEP
0,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-05/ses-03_ERP.npz,0.0,37871,ses-03,1ce0f50ca33ae0da64c46b2bcfca2b83f6840d6b716bfa11623597b2d1948479,ERP
0,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-05/ses-03_SSVEP.npz,0.0,27325,ses-03,c19e25ba827e5d17c9138404b56212260a9c68986e8945bf2016125e7f08ec50,SSVEP
0,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-05/ses-04_ERP.npz,0.0,37806,ses-04,bb5f7815f514274645f4813c2cfb9e212ffc611f2becef188f2b7285a2927f0c,ERP
0,sub-05,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-05/ses-04_SSVEP.npz,0.0,24225,ses-04,b9bb0a67ef23ec1584e93f7426d0cbdd988ce700d5defd614cdb25c5f3cabc72,SSVEP
0,sub-06,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/masks/sub-06/ses-02_ERP.npz,0.0,37551,ses-02,bc23d49f16601ad58cd460944fb2c805f0efd450bb7b70e36e05c3ba88eb3b2e,ERP
