recipient,risk,support_owner
sub-02,1.0235501720887283,sub-02
sub-02,1.0103228370439088,sub-03
sub-02,1.004403649655854,sub-05
sub-02,1.0083812247798432,sub-06
sub-02,1.0735979946144363,sub-07
sub-02,1.0017500657819334,sub-09
sub-02,1.0065475677191316,sub-11
sub-02,1.0017876616438106,sub-12
sub-02,1.0041003957678765,sub-14
sub-02,1.0084412250471337,sub-15
sub-02,1.1308441442133201,sub-17
sub-02,1.0176369073743374,sub-18
sub-02,1.0431450755970462,sub-19
sub-02,1.0046603290011973,sub-21
sub-02,1.0021089310584053,sub-23
sub-02,1.0044244036067331,sub-24
sub-03,1.0,sub-02
sub-03,1.0,sub-03
sub-03,1.0,sub-05
sub-03,1.0,sub-06
sub-03,1.0,sub-07
sub-03,1.0,sub-09
sub-03,1.0,sub-11
sub-03,1.0,sub-12
sub-03,1.0,sub-14
sub-03,1.0,sub-15
sub-03,1.0,sub-17
sub-03,1.0,sub-18
sub-03,1.0,sub-19
sub-03,1.0,sub-21
sub-03,1.0,sub-23
sub-03,1.0,sub-24
sub-05,1.0,sub-02
sub-05,1.0,sub-03
sub-05,1.0,sub-05
sub-05,1.0,sub-06
sub-05,1.0,sub-07
sub-05,1.0,sub-09
sub-05,1.0,sub-11
sub-05,1.0,sub-12
sub-05,1.0,sub-14
sub-05,1.0,sub-15
sub-05,1.0,sub-17
sub-05,1.0,sub-18
sub-05,1.0,sub-19
sub-05,1.0,sub-21
sub-05,1.0,sub-23
sub-05,1.0,sub-24
sub-06,1.000835644203852,sub-02
sub-06,0.9998056449791808,sub-03
sub-06,0.99980675899464,sub-05
sub-06,1.0001264879953178,sub-06
sub-06,1.0027594122851766,sub-07
sub-06,0.9997655264890721,sub-09
sub-06,1.0001859190079032,sub-11
sub-06,0.9999361841797996,sub-12
sub-06,0.9997753014007369,sub-14
sub-06,0.9998974804353966,sub-15
sub-06,1.002354007713318,sub-17
sub-06,0.9998354431681213,sub-18
sub-06,1.0010890693278829,sub-19
sub-06,0.9994911143624692,sub-21
sub-06,0.9998500486650062,sub-23
sub-06,0.9997750786022439,sub-24
sub-07,1.0,sub-02
sub-07,1.0,sub-03
sub-07,1.0,sub-05
sub-07,1.0,sub-06
sub-07,1.0,sub-07
sub-07,1.0,sub-09
sub-07,1.0,sub-11
sub-07,1.0,sub-12
sub-07,1.0,sub-14
sub-07,1.0,sub-15
sub-07,1.0,sub-17
sub-07,1.0,sub-18
sub-07,1.0,sub-19
sub-07,1.0,sub-21
sub-07,1.0,sub-23
sub-07,1.0,sub-24
sub-09,1.109598967867512,sub-02
sub-09,1.0205764399975572,sub-03
sub-09,1.0708509171944187,sub-05
sub-09,1.2133126184418397,sub-06
sub-09,1.0795296979926072,sub-07
sub-09,2.589218462925766,sub-09
sub-09,1.1008377753038228,sub-11
sub-09,1.0087103799589376,sub-12
sub-09,1.0287802084580413,sub-14
sub-09,1.2657155023047053,sub-15
sub-09,1.0345898795095927,sub-17
sub-09,2.7046593460354655,sub-18
sub-09,2.298244803206048,sub-19
sub-09,1.3196707847297713,sub-21
sub-09,1.0108338392083585,sub-23
sub-09,1.2331677439585222,sub-24
sub-11,0.9999471426576505,sub-02
sub-11,1.0000812768953626,sub-03
sub-11,0.9999869228754359,sub-05
sub-11,0.9997366371412981,sub-06
sub-11,0.9998476246113892,sub-07
sub-11,0.9999377727290482,sub-09
sub-11,1.0028394877731426,sub-11
sub-11,1.0002117195128557,sub-12
sub-11,0.999997442108371,sub-14
sub-11,0.9996746206598459,sub-15
sub-11,1.0025205137255804,sub-17
sub-11,0.9999377870860802,sub-18
sub-11,1.0003691193359026,sub-19
sub-11,0.9998070217555661,sub-21
sub-11,0.9996999953497419,sub-23
sub-11,0.9998756554185211,sub-24
sub-12,1.0,sub-02
sub-12,1.0,sub-03
sub-12,1.0,sub-05
sub-12,1.0,sub-06
sub-12,1.0,sub-07
sub-12,1.0,sub-09
sub-12,1.0,sub-11
sub-12,1.0,sub-12
sub-12,1.0,sub-14
sub-12,1.0,sub-15
sub-12,1.0,sub-17
sub-12,1.0,sub-18
sub-12,1.0,sub-19
sub-12,1.0,sub-21
sub-12,1.0,sub-23
sub-12,1.0,sub-24
sub-14,0.9949174043960494,sub-02
sub-14,1.0089933319509785,sub-03
sub-14,0.990483446467251,sub-05
sub-14,0.9944726427006709,sub-06
sub-14,0.9996683220018967,sub-07
sub-14,0.999409778092698,sub-09
sub-14,1.0066612871099196,sub-11
sub-14,0.9916039353971486,sub-12
sub-14,1.016360721757409,sub-14
sub-14,0.992621848409172,sub-15
sub-14,1.0001635376432114,sub-17
sub-14,0.9894689413125091,sub-18
sub-14,1.0000541447454716,sub-19
sub-14,0.9970843131452618,sub-21
sub-14,0.9914353722479907,sub-23
sub-14,0.9926316117662677,sub-24
sub-15,1.0002408737269217,sub-02
sub-15,1.000113197644038,sub-03
sub-15,1.0001301628961232,sub-05
sub-15,1.0000988749806567,sub-06
sub-15,1.0003859642962292,sub-07
sub-15,1.0000064595524223,sub-09
sub-15,1.0011324384544262,sub-11
sub-15,1.0003405279254043,sub-12
sub-15,1.0001229716893882,sub-14
sub-15,1.0022524098356653,sub-15
sub-15,1.000145462776266,sub-17
sub-15,1.000042820370172,sub-18
sub-15,1.0001104053833845,sub-19
sub-15,1.0002537367556443,sub-21
sub-15,1.000035709699707,sub-23
sub-15,1.0000317876761544,sub-24
sub-17,1.0,sub-02
sub-17,1.0,sub-03
sub-17,1.0,sub-05
sub-17,1.0,sub-06
sub-17,1.0,sub-07
sub-17,1.0,sub-09
sub-17,1.0,sub-11
sub-17,1.0,sub-12
sub-17,1.0,sub-14
sub-17,1.0,sub-15
sub-17,1.0,sub-17
sub-17,1.0,sub-18
sub-17,1.0,sub-19
sub-17,1.0,sub-21
sub-17,1.0,sub-23
sub-17,1.0,sub-24
sub-18,1.0014621322747668,sub-02
sub-18,0.9999744795566323,sub-03
sub-18,0.9996020383214996,sub-05
sub-18,1.0044076495574559,sub-06
sub-18,0.999673875309814,sub-07
sub-18,1.0282743588351109,sub-09
sub-18,1.0006109817864184,sub-11
sub-18,0.9957453684999983,sub-12
sub-18,1.0003567312944575,sub-14
sub-18,0.999404214497787,sub-15
sub-18,1.0015823022324368,sub-17
sub-18,1.0412122822273462,sub-18
sub-18,1.0173005102336719,sub-19
sub-18,1.000138034378613,sub-21
sub-18,1.0002495677020615,sub-23
sub-18,1.0033559524635476,sub-24
sub-19,1.110670017765666,sub-02
sub-19,1.0183316753473328,sub-03
sub-19,1.000162512201378,sub-05
sub-19,1.0018635036017813,sub-06
sub-19,1.0461875652421229,sub-07
sub-19,1.0668292001231117,sub-09
sub-19,1.027667383799721,sub-11
sub-19,0.9987506496081733,sub-12
sub-19,0.9950406656543738,sub-14
sub-19,1.0021878920890248,sub-15
sub-19,1.0660961109347813,sub-17
sub-19,1.0861429161938732,sub-18
sub-19,1.088994334770391,sub-19
sub-19,0.9939880810308528,sub-21
sub-19,0.9906150727217374,sub-23
sub-19,1.005453776195901,sub-24
sub-21,1.0,sub-02
sub-21,1.0,sub-03
sub-21,1.0,sub-05
sub-21,1.0,sub-06
sub-21,1.0,sub-07
sub-21,1.0,sub-09
sub-21,1.0,sub-11
sub-21,1.0,sub-12
sub-21,1.0,sub-14
sub-21,1.0,sub-15
sub-21,1.0,sub-17
sub-21,1.0,sub-18
sub-21,1.0,sub-19
sub-21,1.0,sub-21
