AUROC,FPR_low,TAR_FAR5,mask_prevalence,participant
0.7760647952622625,0.24800514800514797,0.235006435006435,0.2259404994372655,sub-02
0.8673683660056231,0.0,0.0,0.0,sub-03
0.9881852049948678,0.0,0.0,0.0,sub-05
0.9309590612639075,0.0,0.004629629629629629,0.0016702856188408218,sub-06
0.9011654714583724,0.0,0.0,0.0,sub-07
0.6857876861047713,0.09656684815486993,0.1977633259393695,0.14232674591917055,sub-09
0.732102159843107,0.007407407407407408,0.012398373983739839,0.012541415139631229,sub-11
0.9577495834935282,0.0,0.0,0.0,sub-12
0.8055441556201837,0.07602339181286549,0.05263157894736842,0.06993807749561785,sub-14
0.9046457158539191,0.0,0.004273504273504273,0.002842046790424886,sub-15
0.9908360934891921,0.0,0.0,0.0,sub-17
0.8851132966100795,0.009259259259259259,0.021379525593008736,0.010642088620761303,sub-18
0.6995461711221838,0.4191950406232576,0.4178118495545455,0.42953830207173965,sub-19
0.8186804547424448,0.0,0.0,0.0,sub-21
0.9150286938124416,0.0,0.0,0.0,sub-23
