participant,session,eligible,query_windows,population_owners,H_P_airm,H_W_airm,H_P_logeuclidean,H_W_logeuclidean,H_P_psd,H_W_psd,support_reliability,query_opened_evaluator_only
1,01T,1,330,2;3;4;5;6;7;8;9,0.16050629586806142,0.3273594328060846,0.1627317323710552,0.32784455791098316,-0.15870381970110414,0.3827691253997391,0.9651193461383312,1
1,02T,0,,,,,,,,,,
1,03T,1,249,2;3;4;5;6;7;8;9,0.10756537723207255,0.29490575433579097,0.10864968582443874,0.29309410605925984,-0.006056258232680717,0.6091272824580565,0.9895137225623574,1
2,01T,1,328,1;3;4;5;6;7;8;9,0.41482759432192107,0.4458051900403289,0.4170367563952042,0.4462944738086304,0.3342948832183037,0.7922121940659583,0.9737551092595574,1
2,02T,1,330,3;4;5;6;7;8;9,0.4312079841810351,0.5001878914646366,0.43961231238288845,0.5071300476671463,0.41078094961341893,0.7552128610864903,0.9746706780199131,1
2,03T,1,246,1;3;4;5;6;7;8;9,0.7877134944426731,0.8159588020721774,0.7867211761566542,0.8135756364374989,0.49052308104516484,0.9067258587166014,0.968970760612752,1
3,01T,1,331,1;2;4;5;6;7;8;9,0.13276445261455772,0.31492947228604734,0.1340600480260603,0.3142403343058242,0.9869394705112198,1.118389722098322,0.9856564265571367,1
3,02T,1,330,2;4;5;6;7;8;9,0.1317461285260122,0.41044891411650486,0.13714028393668326,0.4143857523382102,1.2038794142893985,1.324052981312279,0.992078733990648,1
3,03T,1,246,1;2;4;5;6;7;8;9,-0.20039522783517544,0.09013199940687588,-0.1930723095575144,0.09563014927732483,1.0547963738128712,1.213484346122598,0.9773194427690646,1
4,01T,1,326,1;2;3;5;6;7;8;9,-0.1613656852124137,0.11359236309480347,-0.15624120105174044,0.11764864467461103,0.039859850130127494,0.5943809000320075,0.984597103733905,1
4,02T,1,385,2;3;5;6;7;8;9,0.07457454626326993,0.40240794984161915,0.07402392949340302,0.39902118267087155,0.14540404021339162,0.6584581791906862,0.9850140057827415,1
4,03T,1,249,1;2;3;5;6;7;8;9,-0.034634910931730184,0.20033314395843826,-0.030198008284696626,0.2012895547959775,-0.09039879803039402,0.40210345057795244,0.9951128677422506,1
5,01T,1,330,1;2;3;4;6;7;8;9,0.2871812484844536,0.33215971912727127,0.2869590352178093,0.3300893181007555,0.4833763209459736,0.8213837650824373,0.9699088170665908,1
5,02T,1,385,2;3;4;6;7;8;9,0.32767037779873937,0.489082180333334,0.32665906888755936,0.48556064310072566,-0.21482945598713446,0.5944995531264565,0.9707897009643265,1
5,03T,1,245,1;2;3;4;6;7;8;9,0.06939748953539956,0.34200191094318,0.06455044817970274,0.3371407062881532,0.08981286951862388,0.5685254871018288,0.9934538033901904,1
6,01T,1,330,1;2;3;4;5;7;8;9,0.3306999393368888,0.34927956938195426,0.3311417966591048,0.34887618064181003,0.3457969623097541,0.5166990705215775,0.9869051232402676,1
6,02T,1,330,2;3;4;5;7;8;9,0.6582587536185014,0.6888587381059874,0.6588175904275434,0.687582167474773,1.1023463927376336,1.240876477195051,0.9921658815754106,1
6,03T,1,250,1;2;3;4;5;7;8;9,0.607217041408429,0.6704584691478808,0.6082345479385142,0.669985368040772,1.3093767775265175,1.3961665298772907,0.9879804263179965,1
7,01T,1,330,1;2;3;4;5;6;8;9,0.40192814874027144,0.45089271346155285,0.40372614721669725,0.4511159047655791,0.7455219730642806,0.8529274931149529,0.9911869428580428,1
7,02T,1,326,2;3;4;5;6;8;9,0.2700602619012558,0.30864929018945236,0.27662309762815107,0.3138016133319982,0.8142274094196322,0.9266863640427481,0.9044118976261867,1
7,03T,1,247,1;2;3;4;5;6;8;9,0.5512539005671185,0.6154304886160898,0.5546709313200608,0.6166747144874338,1.3310847553048144,1.373652904231462,0.974416585756704,1
8,01T,1,440,1;2;3;4;5;6;7;9,0.13997691175021204,0.296766930298951,0.14190023889968803,0.2971171008557524,0.3642575137417059,0.7162393043500501,0.9872129540173689,1
8,02T,1,330,2;3;4;5;6;7;9,0.1556789566471945,0.39240691764242086,0.16334190641384405,0.398022747218989,0.5632821822506682,0.892478432728636,0.9911252320244487,1
8,03T,1,252,1;2;3;4;5;6;7;9,0.055981625447361544,0.27543456458774707,0.06383000259505181,0.28288663338566644,-0.08794080800704562,0.3890127475184001,0.9891060979064198,1
9,01T,1,330,1;2;3;4;5;6;7;8,0.07787103755214575,0.2051913441009185,0.08256508630023529,0.20811398773144996,0.4594042714591704,0.809858294271654,0.9939480243461487,1
9,02T,1,330,2;3;4;5;6;7;8,0.14074426550326885,0.3440831147948343,0.14539787324656153,0.3447166830296704,0.32055436084827915,0.7089277695884274,0.9892832618957459,1
9,03T,1,244,1;2;3;4;5;6;7;8,0.011816881439789761,0.20048100800938312,0.013335316191408486,0.19921665143606399,1.2354005429053838,1.276008331045596,0.9290069677409589,1
