participant,U_O_DET2,U_OW_DET2,U_O_DIFF25-K1,U_OW_DIFF25-K1,U_O_DIFF25-K8,U_OW_DIFF25-K8,DeltaO_K8
1,-0.0030792311665568395,-0.001670465006769123,0.0029125239947578596,0.005731766292666696,0.0025089293754190223,0.00510317582492581,0.005588160541975862
2,0.005652381664179806,0.006942243760103689,0.00407806006162989,0.00518575646933675,0.004296449621069398,0.005244616102121791,-0.0013559320431104083
3,-0.0033669998493478237,4.491310797996584e-05,-0.002822870396918198,0.0007279631760076788,-0.002767352541100193,0.0008983222036536009,0.0005996473082476306
4,-0.0007203203695901328,-0.004724097277851336,-0.004104925784412461,-0.00794970800675765,-0.005126046325482914,-0.0097022067506716,-0.004405725955892781
5,0.003786529884257206,0.007752098301519128,0.004751156068121765,0.009053574033110107,0.005008749546329794,0.008907304736634841,0.0012222196620725878
6,0.00011290491544653503,0.0004992336415767518,-0.00020795451934517428,0.0008221372219345269,-0.00013679216190527754,0.0006468089555038276,-0.00024969707735181257
7,-0.002846980956854095,-0.0015209372857672154,-0.0008407500669892765,0.00011209021705194111,-0.0023716637848408273,-0.0002818481954912355,0.0004753171720132676
8,-0.005507492384283191,-0.007386234404318737,-0.005647349996366041,-0.009127569627925103,-0.005153543694129431,-0.009104472595178742,0.0003539486901537603
9,0.0008214764337833025,0.005187197182907832,-0.0021957715576445824,0.0034782735183022384,-0.00020452946728305443,0.004510412807431835,-0.001026005901066357
