metric,direction,compatible_record_count,method_success_paired_count,finite_metric_paired_count,finite_metric_paired_fraction,matching_mean,population_mean,matching_median,population_median,mean_matching_minus_population,median_matching_minus_population,mean_directional_improvement,median_directional_improvement,matching_wins,ties,matching_losses,bootstrap_replicates,bootstrap_seed,mean_matching_minus_population_ci95_low,mean_matching_minus_population_ci95_high,median_matching_minus_population_ci95_low,median_matching_minus_population_ci95_high,mean_directional_improvement_ci95_low,mean_directional_improvement_ci95_high,median_directional_improvement_ci95_low,median_directional_improvement_ci95_high,raw_delta_definition,win_definition,inference_unit
matching_projector_attenuation_db,higher,43,43,43,1.0,310.44372592215916,29.622220183391015,309.9319892758849,29.074870992257726,280.8215057387681,280.82020939484136,280.8215057387681,280.82020939484136,43,0,0,20000,20260802,278.474466216842,283.08211966674475,277.3514006086423,283.98182021200967,278.474466216842,283.08211966674475,277.3514006086423,283.98182021200967,matching_minus_population,positive_directional_improvement,release_scoped_study_participant_stem
population_projector_attenuation_db,higher,43,43,43,1.0,30.87032418968814,310.48966460016385,30.551205762461194,310.6772478479429,-279.6193404104757,-279.54634070052464,-279.6193404104757,-279.54634070052464,0,0,43,20000,20260802,-281.9968271313271,-277.2056098863312,-283.1688243703234,-276.3430147617812,-281.9968271313271,-277.2056098863312,-283.1688243703234,-276.3430147617812,matching_minus_population,positive_directional_improvement,release_scoped_study_participant_stem
nonartifact_observation_preservation,higher,43,43,43,1.0,0.2736512577226211,0.27232699338605143,0.27667120110861476,0.27528303238952445,0.0013242643365696171,0.002729384661793288,0.0013242643365696171,0.002729384661793288,22,0,21,20000,20260802,-0.005682144065394272,0.0080774784156889,-0.0038842017673119678,0.008119259174984461,-0.005682144065394272,0.0080774784156889,-0.0038842017673119678,0.008119259174984461,matching_minus_population,positive_directional_improvement,release_scoped_study_participant_stem
eog_coherence_reduction,higher,43,43,43,1.0,0.4059041755226758,0.3268566329862904,0.40142363745890025,0.31253014732777595,0.07904754253638534,0.06983190007445073,0.07904754253638534,0.06983190007445073,41,0,2,20000,20260802,0.0571985791138961,0.10099815894454499,0.04705063774478013,0.08236972582865554,0.0571985791138961,0.10099815894454499,0.04705063774478013,0.08236972582865554,matching_minus_population,positive_directional_improvement,release_scoped_study_participant_stem
reference_free_psd_distortion,lower,43,43,43,1.0,0.6646797923901352,0.6684893581814213,0.6439016872090603,0.6298786827889581,-0.003809565791286152,-0.0056372461512144145,0.003809565791286152,0.0056372461512144145,24,0,19,20000,20260802,-0.014733571816179139,0.007498187706893455,-0.011693914627292745,0.006892443702528617,-0.007498187706893458,0.014733571816179123,-0.006892443702528617,0.011693914627292745,matching_minus_population,positive_directional_improvement,release_scoped_study_participant_stem
reference_free_covariance_distortion,lower,43,43,43,1.0,0.908018486506774,0.9119548724565787,0.9043740352016242,0.9119218568836772,-0.003936385949804714,-0.00212594004149258,0.003936385949804714,0.00212594004149258,23,0,20,20000,20260802,-0.010558240684851979,0.002730998665926132,-0.008215575228318617,0.002349590286264469,-0.002730998665926135,0.010558240684851977,-0.002349590286264469,0.008215575228318617,matching_minus_population,positive_directional_improvement,release_scoped_study_participant_stem
heldout_eog_prediction_remaining_ratio,lower,43,43,43,1.0,0.6113351095688218,0.6254013309879394,0.5515879682693804,0.5676974996954826,-0.014066221419117673,-0.012717330401888938,0.014066221419117673,0.012717330401888938,31,0,12,20000,20260802,-0.021330784111095773,-0.006442395091249357,-0.021507042368013818,-0.0055053613623011755,0.0064423950912493476,0.021330784111095773,0.0055053613623011755,0.021507042368013818,matching_minus_population,positive_directional_improvement,release_scoped_study_participant_stem
condition_erp_observation_relative_preservation,higher,43,43,41,0.9534883720930233,0.0562553837806805,0.06099649396086298,0.04971370161866373,0.05258785572253599,-0.004741110180182477,-0.00434323282995952,-0.004741110180182477,-0.00434323282995952,5,0,36,20000,20260802,-0.007960299289600186,-0.0006720820411838899,-0.006210335382811016,-0.0024868020067184693,-0.007960299289600186,-0.0006720820411838899,-0.006210335382811016,-0.0024868020067184693,matching_minus_population,positive_directional_improvement,release_scoped_study_participant_stem
observation_change_ratio,lower,43,43,43,1.0,0.8927296074905186,0.8895336367095389,0.8979458783598925,0.898426098543697,0.0031959707809797915,0.002105826542359579,-0.0031959707809797915,-0.002105826542359579,17,0,26,20000,20260802,-0.0007210346452999014,0.006656299469757745,-0.00048022018380455833,0.003993059299456259,-0.0066562994697577475,0.0007210346452999007,-0.003993059299456259,0.00048022018380455833,matching_minus_population,positive_directional_improvement,release_scoped_study_participant_stem
