study,participant_stem,recording_key,gamma,status,split_half_stability,heldout_contamination_capture_loss,capture_weight,weighted_capture_component,support_score,support_score_formula,population_endpoint,structural_zero_stability,structural_zero_explanation
study01,study01_p01,study01/study01_p01,0.0,success,0.0,0.017312372928793167,0.5,0.008656186464396583,0.008656186464396583,split_half_stability + capture_weight * heldout_contamination_capture_loss,True,True,"gamma=0 sets the full and both split-half shrinkage projectors to the same population projector, so its stability component is structurally zero; this is an endpoint property, not evidence that participant calibration is stable"
study01,study01_p01,study01/study01_p01,0.25,success,0.02349438442979395,0.009803577601920544,0.5,0.004901788800960272,0.02839617323075422,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p01,study01/study01_p01,0.5,success,0.047384543074147654,0.004351319988751231,0.5,0.0021756599943756156,0.04956020306852327,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p01,study01/study01_p01,0.75,success,0.07113389713948307,0.0010775955960092318,0.5,0.0005387977980046159,0.07167269493748768,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p01,study01/study01_p01,1.0,success,0.09421452084328973,8.59094084170968e-32,0.5,4.29547042085484e-32,0.09421452084328973,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p02,study01/study01_p02,0.0,success,0.0,0.0302589093111351,0.5,0.01512945465556755,0.01512945465556755,split_half_stability + capture_weight * heldout_contamination_capture_loss,True,True,"gamma=0 sets the full and both split-half shrinkage projectors to the same population projector, so its stability component is structurally zero; this is an endpoint property, not evidence that participant calibration is stable"
study01,study01_p02,study01/study01_p02,0.25,success,0.013153803419957776,0.01723008361069792,0.5,0.00861504180534896,0.021768845225306734,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p02,study01/study01_p02,0.5,success,0.026455172646155104,0.007639123206870207,0.5,0.0038195616034351035,0.030274734249590207,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p02,study01/study01_p02,0.75,success,0.03971479828820228,0.0018768733062622836,0.5,0.0009384366531311418,0.04065323494133342,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p02,study01/study01_p02,1.0,success,0.052745331314821245,1.6624758926117399e-31,0.5,8.312379463058699e-32,0.052745331314821245,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p03,study01/study01_p03,0.0,success,0.0,0.011479113275991194,0.5,0.005739556637995597,0.005739556637995597,split_half_stability + capture_weight * heldout_contamination_capture_loss,True,True,"gamma=0 sets the full and both split-half shrinkage projectors to the same population projector, so its stability component is structurally zero; this is an endpoint property, not evidence that participant calibration is stable"
study01,study01_p03,study01/study01_p03,0.25,success,0.019561005499161007,0.00649202715843341,0.5,0.003246013579216705,0.022807019078377712,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p03,study01/study01_p03,0.5,success,0.03938821731782866,0.0028822247093813393,0.5,0.0014411123546906697,0.04082932967251933,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p03,study01/study01_p03,0.75,success,0.05914443025400035,0.0007150760227494906,0.5,0.0003575380113747453,0.0595019682653751,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p03,study01/study01_p03,1.0,success,0.07849558386647822,1.0922742454158314e-31,0.5,5.461371227079157e-32,0.07849558386647822,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p04,study01/study01_p04,0.0,success,0.0,0.016333308193386225,0.5,0.008166654096693112,0.008166654096693112,split_half_stability + capture_weight * heldout_contamination_capture_loss,True,True,"gamma=0 sets the full and both split-half shrinkage projectors to the same population projector, so its stability component is structurally zero; this is an endpoint property, not evidence that participant calibration is stable"
study01,study01_p04,study01/study01_p04,0.25,success,0.03706938006011932,0.009306754271785843,0.5,0.004653377135892921,0.04172275719601224,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p04,study01/study01_p04,0.5,success,0.07706909284465353,0.004125640761283451,0.5,0.0020628203806417255,0.07913191322529525,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p04,study01/study01_p04,0.75,success,0.11680519520900137,0.0010124167867246868,0.5,0.0005062083933623434,0.11731140360236371,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p04,study01/study01_p04,1.0,success,0.15310974333195265,2.957965609016816e-31,0.5,1.478982804508408e-31,0.15310974333195265,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p05,study01/study01_p05,0.0,success,0.0,0.010013428903534068,0.5,0.005006714451767034,0.005006714451767034,split_half_stability + capture_weight * heldout_contamination_capture_loss,True,True,"gamma=0 sets the full and both split-half shrinkage projectors to the same population projector, so its stability component is structurally zero; this is an endpoint property, not evidence that participant calibration is stable"
study01,study01_p05,study01/study01_p05,0.25,success,0.020337981409123705,0.0056567680089528284,0.5,0.0028283840044764142,0.02316636541360012,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p05,study01/study01_p05,0.5,success,0.04111560741955562,0.0025119618291906424,0.5,0.0012559809145953212,0.04237158833415094,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p05,study01/study01_p05,0.75,success,0.06177645546866523,0.0006242023025134307,0.5,0.00031210115125671534,0.06208855661992195,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study01,study01_p05,study01/study01_p05,1.0,success,0.08177248856712359,1.4003895166986688e-31,0.5,7.001947583493344e-32,0.08177248856712359,split_half_stability + capture_weight * heldout_contamination_capture_loss,False,False,
study03,study03_p03,study03/study03_p03,0.0,success,0.0,0.017565821280611786,0.5,0.008782910640305893,0.008782910640305893,split_half_stability + capture_weight * heldout_contamination_capture_loss,True,True,"gamma=0 sets the full and both split-half shrinkage projectors to the same population projector, so its stability component is structurally zero; this is an endpoint property, not evidence that participant calibration is stable"
