method_id,metric,direction,registered_record_count,success_count,fallback_count,blocked_count,ineligible_count,failed_count,performance_available,finite_performance_count,mean,median,mean_ci95_low,mean_ci95_high,bootstrap_replicates,bootstrap_seed,performance_policy,coverage_policy
wrong_Qy,matching_projector_attenuation_db,higher,44,43,0,1,0,0,True,43,30.920688512422874,30.176064092656055,29.279068191321887,32.58279797893525,20000,20260802,success_nonfallback_finite_only,all_registered_recording_keys
wrong_Qy,population_projector_attenuation_db,higher,44,43,0,1,0,0,True,43,34.604415073929275,37.195146848581814,32.32520657672256,36.84728091412299,20000,20260802,success_nonfallback_finite_only,all_registered_recording_keys
wrong_Qy,nonartifact_observation_preservation,higher,44,43,0,1,0,0,True,43,0.2740685652246832,0.28847254690380086,0.2542306123544351,0.2932280227367402,20000,20260802,success_nonfallback_finite_only,all_registered_recording_keys
wrong_Qy,eog_coherence_reduction,higher,44,43,0,1,0,0,True,43,0.3250874812559923,0.32147356545084926,0.3027956229199762,0.3479735418977861,20000,20260802,success_nonfallback_finite_only,all_registered_recording_keys
wrong_Qy,reference_free_psd_distortion,lower,44,43,0,1,0,0,True,43,0.6589538804858284,0.6151746122984102,0.6324393850131687,0.6870265104537394,20000,20260802,success_nonfallback_finite_only,all_registered_recording_keys
wrong_Qy,reference_free_covariance_distortion,lower,44,43,0,1,0,0,True,43,0.9077026418067762,0.9073953975527845,0.8929992686161721,0.9216435271976937,20000,20260802,success_nonfallback_finite_only,all_registered_recording_keys
wrong_Qy,heldout_eog_prediction_remaining_ratio,lower,44,43,0,1,0,0,True,43,0.6231765549877066,0.5725724728739977,0.560257539153668,0.6898101054852978,20000,20260802,success_nonfallback_finite_only,all_registered_recording_keys
wrong_Qy,condition_erp_observation_relative_preservation,higher,44,43,0,1,0,0,True,41,0.06100913873027179,0.051628936948816206,0.05112293543321625,0.0727633122664648,20000,20260802,success_nonfallback_finite_only,all_registered_recording_keys
wrong_Qy,observation_change_ratio,lower,44,43,0,1,0,0,True,43,0.8887328127381501,0.900271302442637,0.875141742542156,0.9011827143308566,20000,20260802,success_nonfallback_finite_only,all_registered_recording_keys
shuffled_Qy,matching_projector_attenuation_db,higher,44,0,43,0,1,0,False,0,,,,,,,success_nonfallback_finite_only,all_registered_recording_keys
shuffled_Qy,population_projector_attenuation_db,higher,44,0,43,0,1,0,False,0,,,,,,,success_nonfallback_finite_only,all_registered_recording_keys
shuffled_Qy,nonartifact_observation_preservation,higher,44,0,43,0,1,0,False,0,,,,,,,success_nonfallback_finite_only,all_registered_recording_keys
shuffled_Qy,eog_coherence_reduction,higher,44,0,43,0,1,0,False,0,,,,,,,success_nonfallback_finite_only,all_registered_recording_keys
shuffled_Qy,reference_free_psd_distortion,lower,44,0,43,0,1,0,False,0,,,,,,,success_nonfallback_finite_only,all_registered_recording_keys
shuffled_Qy,reference_free_covariance_distortion,lower,44,0,43,0,1,0,False,0,,,,,,,success_nonfallback_finite_only,all_registered_recording_keys
shuffled_Qy,heldout_eog_prediction_remaining_ratio,lower,44,0,43,0,1,0,False,0,,,,,,,success_nonfallback_finite_only,all_registered_recording_keys
shuffled_Qy,condition_erp_observation_relative_preservation,higher,44,0,43,0,1,0,False,0,,,,,,,success_nonfallback_finite_only,all_registered_recording_keys
shuffled_Qy,observation_change_ratio,lower,44,0,43,0,1,0,False,0,,,,,,,success_nonfallback_finite_only,all_registered_recording_keys
