study,participant_stem,recording_key,metric,direction,matching_status,population_status,method_pair_success,finite_pair,matching_value,population_value,matching_minus_population,directional_improvement_positive_is_matching_better,pair_status
study02,study02_p02,study02/study02_p02,matching_projector_attenuation_db,higher,success,success,True,True,311.9768651505844,36.37715031489707,275.59971483568734,275.59971483568734,success_finite
study02,study02_p03,study02/study02_p03,matching_projector_attenuation_db,higher,success,success,True,True,312.14030990277655,27.1293774139276,285.01093248884894,285.01093248884894,success_finite
study02,study02_p06,study02/study02_p06,matching_projector_attenuation_db,higher,success,success,True,True,308.7709300310917,31.616777839359116,277.1541521917326,277.1541521917326,success_finite
study02,study02_p07,study02/study02_p07,matching_projector_attenuation_db,higher,success,success,True,True,303.96057605674935,30.737587645569405,273.2229884111799,273.2229884111799,success_finite
study02,study02_p08,study02/study02_p08,matching_projector_attenuation_db,higher,success,success,True,True,314.1066991024689,29.074870992257726,285.03182811021117,285.03182811021117,success_finite
study02,study02_p09,study02/study02_p09,matching_projector_attenuation_db,higher,success,success,True,True,308.1675297001626,24.689589325284015,283.4779403748786,283.4779403748786,success_finite
study02,study02_p10,study02/study02_p10,matching_projector_attenuation_db,higher,success,success,True,True,309.2816153773948,25.29979516538515,283.98182021200967,283.98182021200967,success_finite
study02,study02_p11,study02/study02_p11,matching_projector_attenuation_db,higher,success,success,True,True,304.46637099393627,22.421623373868922,282.04474762006737,282.04474762006737,success_finite
study02,study02_p12,study02/study02_p12,matching_projector_attenuation_db,higher,success,success,True,True,316.0247877489865,30.440296478739043,285.58449127024744,285.58449127024744,success_finite
study02,study02_p13,study02/study02_p13,matching_projector_attenuation_db,higher,success,success,True,True,306.8418325523696,32.94496011981571,273.8968724325539,273.8968724325539,success_finite
study02,study02_p14,study02/study02_p14,matching_projector_attenuation_db,higher,success,success,True,True,311.90515423720274,21.544131852511626,290.3610223846911,290.3610223846911,success_finite
study02,study02_p15,study02/study02_p15,matching_projector_attenuation_db,higher,success,success,True,True,306.3337147710718,34.83848602778843,271.4952287432834,271.4952287432834,success_finite
study02,study02_p16,study02/study02_p16,matching_projector_attenuation_db,higher,success,success,True,True,309.9319892758849,36.917026616996885,273.014962658888,273.014962658888,success_finite
study02,study02_p17,study02/study02_p17,matching_projector_attenuation_db,higher,success,success,True,True,311.20701867433775,30.827200277448753,280.379818396889,280.379818396889,success_finite
study02,study02_p18,study02/study02_p18,matching_projector_attenuation_db,higher,success,success,True,True,305.0739212928493,28.017530407806447,277.0563908850429,277.0563908850429,success_finite
study04,study04_p03,study04/study04_p03,matching_projector_attenuation_db,higher,success,success,True,True,318.6577025806698,24.08351048945011,294.5741920912197,294.5741920912197,success_finite
study04,study04_p08,study04/study04_p08,matching_projector_attenuation_db,higher,success,success,True,True,305.98966036344495,21.14823219680977,284.8414281666352,284.8414281666352,success_finite
study04,study04_p24,study04/study04_p24,matching_projector_attenuation_db,higher,success,success,True,True,315.4601884964398,21.73493812670745,293.72525036973235,293.72525036973235,success_finite
study04,study04_p28,study04/study04_p28,matching_projector_attenuation_db,higher,success,success,True,True,311.89835171557064,25.305100183575952,286.59325153199467,286.59325153199467,success_finite
study04,study04_p29,study04/study04_p29,matching_projector_attenuation_db,higher,success,success,True,True,308.7719534630752,25.23681750341734,283.53513595965785,283.53513595965785,success_finite
study04,study04_p30,study04/study04_p30,matching_projector_attenuation_db,higher,success,success,True,True,305.67035633315265,17.723530994968016,287.9468253381846,287.9468253381846,success_finite
study04,study04_p31,study04/study04_p31,matching_projector_attenuation_db,higher,success,success,True,True,308.0251806883465,26.278116788096536,281.74706390024994,281.74706390024994,success_finite
study04,study04_p32,study04/study04_p32,matching_projector_attenuation_db,higher,success,success,True,True,316.34167647213656,23.567080109594993,292.77459636254156,292.77459636254156,success_finite
study04,study04_p33,study04/study04_p33,matching_projector_attenuation_db,higher,success,success,True,True,308.8613733669032,29.54174818847654,279.31962517842663,279.31962517842663,success_finite
study04,study04_p34,study04/study04_p34,matching_projector_attenuation_db,higher,success,success,True,True,306.10787844371987,28.376034470184436,277.73184397353543,277.73184397353543,success_finite
study04,study04_p35,study04/study04_p35,matching_projector_attenuation_db,higher,success,success,True,True,314.4869244631824,22.593032980373454,291.89389148280895,291.89389148280895,success_finite
study04,study04_p36,study04/study04_p36,matching_projector_attenuation_db,higher,success,success,True,True,314.5748403542089,22.982845146385152,291.59199520782374,291.59199520782374,success_finite
study04,study04_p37,study04/study04_p37,matching_projector_attenuation_db,higher,success,success,True,True,314.03840603722256,23.828292069773052,290.2101139674495,290.2101139674495,success_finite
study04,study04_p38,study04/study04_p38,matching_projector_attenuation_db,higher,success,success,True,True,312.46772721704167,24.450717942744244,288.01700927429744,288.01700927429744,success_finite
study04,study04_p39,study04/study04_p39,matching_projector_attenuation_db,higher,success,success,True,True,309.37020527615243,26.810716196527803,282.55948907962465,282.55948907962465,success_finite
study05,study05_p06,study05/study05_p06,matching_projector_attenuation_db,higher,success,success,True,True,310.7308915535925,41.51310369803121,269.2177878555613,269.2177878555613,success_finite
study05,study05_p10,study05/study05_p10,matching_projector_attenuation_db,higher,success,success,True,True,314.7253372923088,44.70831383422368,270.0170234580851,270.0170234580851,success_finite
study05,study05_p24,study05/study05_p24,matching_projector_attenuation_db,higher,success,success,True,True,316.1409582113412,29.373134206580964,286.7678240047602,286.7678240047602,success_finite
study05,study05_p40,study05/study05_p40,matching_projector_attenuation_db,higher,success,success,True,True,307.07945799583536,39.8320650049863,267.24739299084905,267.24739299084905,success_finite
study05,study05_p41,study05/study05_p41,matching_projector_attenuation_db,higher,success,success,True,True,315.6152756436796,38.26387503503727,277.3514006086423,277.3514006086423,success_finite
study05,study05_p43,study05/study05_p43,matching_projector_attenuation_db,higher,success,success,True,True,307.31297645712334,31.55490562583352,275.75807083128984,275.75807083128984,success_finite
study05,study05_p44,study05/study05_p44,matching_projector_attenuation_db,higher,success,success,True,True,312.9076005789734,35.903204088607545,277.0043964903659,277.0043964903659,success_finite
