study,metric,direction,compatible_record_count,finite_metric_paired_count,mean_matching_minus_population,median_matching_minus_population,mean_directional_improvement,median_directional_improvement,matching_wins,ties,matching_losses,bootstrap_replicates,bootstrap_seed,mean_matching_minus_population_ci95_low,mean_matching_minus_population_ci95_high,median_matching_minus_population_ci95_low,median_matching_minus_population_ci95_high,mean_directional_improvement_ci95_low,mean_directional_improvement_ci95_high,raw_delta_definition,win_definition
study02,matching_projector_attenuation_db,higher,15,15,279.82086073441405,280.379818396889,279.82086073441405,280.379818396889,15,0,0,20000,20260802,277.0500438975936,282.60261475853156,275.59971483568734,283.98182021200967,277.0500438975936,282.60261475853156,matching_minus_population,positive_directional_improvement
study04,matching_projector_attenuation_db,higher,15,15,287.1374474589455,287.9468253381846,287.1374474589455,287.9468253381846,15,0,0,20000,20260802,284.4870799997893,289.6976105008485,282.55948907962465,291.89389148280895,284.4870799997893,289.6976105008485,matching_minus_population,positive_directional_improvement
study05,matching_projector_attenuation_db,higher,13,13,274.6884710666641,275.75807083128984,274.6884710666641,275.75807083128984,13,0,0,20000,20260802,270.8268810854714,278.2626923946638,270.0170234580851,278.47094587470644,270.8268810854714,278.2626923946638,matching_minus_population,positive_directional_improvement
study02,population_projector_attenuation_db,higher,15,15,-278.81902491219245,-280.1379861770583,-278.81902491219245,-280.1379861770583,0,0,15,20000,20260802,-281.8676896041899,-275.5878964345353,-284.8247447221941,-274.2857848454078,-281.8676896041899,-275.5878964345353,matching_minus_population,positive_directional_improvement
study04,population_projector_attenuation_db,higher,15,15,-285.36103633663254,-283.535072284573,-285.36103633663254,-283.535072284573,0,0,15,20000,20260802,-288.72887897833374,-282.14489039304914,-287.20388873091366,-282.7309635822572,-288.72887897833374,-282.14489039304914,matching_minus_population,positive_directional_improvement
study05,population_projector_attenuation_db,higher,13,13,-273.9177476090833,-275.9112605994407,-273.9177476090833,-275.9112605994407,0,0,13,20000,20260802,-277.82813901938425,-269.96757576077033,-279.04722324744324,-270.2025523632491,-277.82813901938425,-269.96757576077033,matching_minus_population,positive_directional_improvement
study02,nonartifact_observation_preservation,higher,15,15,-0.004186180115750138,-0.0038842017673119678,-0.004186180115750138,-0.0038842017673119678,7,0,8,20000,20260802,-0.019655424225264336,0.010600257282864891,-0.03493159051718153,0.025184843864450746,-0.019655424225264336,0.010600257282864891,matching_minus_population,positive_directional_improvement
study04,nonartifact_observation_preservation,higher,15,15,0.008820195835385054,0.01365868417610494,0.008820195835385054,0.01365868417610494,10,0,5,20000,20260802,-0.00274590665226972,0.019668769631495806,-0.0024982155727617528,0.021601797592245453,-0.00274590665226972,0.019668769631495806,matching_minus_population,positive_directional_improvement
study05,nonartifact_observation_preservation,higher,13,13,-0.0009666822555407859,-0.003334478233733007,-0.0009666822555407859,-0.003334478233733007,5,0,8,20000,20260802,-0.003852003780257547,0.0019586208716076423,-0.005660396164480885,0.0038889687655924154,-0.003852003780257547,0.0019586208716076423,matching_minus_population,positive_directional_improvement
study02,eog_coherence_reduction,higher,15,15,0.08350770159919864,0.06444055406370403,0.08350770159919864,0.06444055406370403,14,0,1,20000,20260802,0.05159611746514425,0.12167927199794439,0.04566007943802464,0.08252955033373777,0.05159611746514425,0.12167927199794439,matching_minus_population,positive_directional_improvement
study04,eog_coherence_reduction,higher,15,15,0.09505162103948626,0.09414057443928037,0.09505162103948626,0.09414057443928037,14,0,1,20000,20260802,0.04628879428255409,0.13884908243338895,0.04927679620110259,0.13600245712263817,0.04628879428255409,0.13884908243338895,matching_minus_population,positive_directional_improvement
study05,eog_coherence_reduction,higher,13,13,0.05543496072956129,0.041415537077371334,0.05543496072956129,0.041415537077371334,13,0,0,20000,20260802,0.037687303703870426,0.07611413187997951,0.033838741198647715,0.07675520279404385,0.037687303703870426,0.07611413187997951,matching_minus_population,positive_directional_improvement
study02,reference_free_psd_distortion,lower,15,15,0.006206390984874462,-0.0026514994557562677,-0.006206390984874462,0.0026514994557562677,8,0,7,20000,20260802,-0.017605099810702348,0.031087757907770585,-0.0383714517206174,0.057606308651082294,-0.03108775790777064,0.017605099810702306,matching_minus_population,positive_directional_improvement
study04,reference_free_psd_distortion,lower,15,15,-0.01859511002503055,-0.016607574244111523,0.01859511002503055,0.016607574244111523,11,0,4,20000,20260802,-0.0357178573553285,-0.0009425474608153659,-0.029962396886997977,0.001668776921345816,0.0009425474608153649,0.035717857355328494,matching_minus_population,positive_directional_improvement
study05,reference_free_psd_distortion,lower,13,13,0.0016938043520797496,0.006022837139472936,-0.0016938043520797496,-0.006022837139472936,5,0,8,20000,20260802,-0.004946571224469114,0.008001225747990169,-0.007031516617752587,0.011506946968998233,-0.00800122574799017,0.0049465712244691085,matching_minus_population,positive_directional_improvement
study02,reference_free_covariance_distortion,lower,15,15,0.0038285763893591766,0.0006740393202655515,-0.0038285763893591766,-0.0006740393202655515,6,0,9,20000,20260802,-0.0098564727299945,0.017909257483487973,-0.02827323602125209,0.031172500965185868,-0.01790925748348801,0.009856472729994499,matching_minus_population,positive_directional_improvement
study04,reference_free_covariance_distortion,lower,15,15,-0.01539915691622933,-0.017148414809418422,0.01539915691622933,0.017148414809418422,12,0,3,20000,20260802,-0.02648213268279438,-0.005163703205350668,-0.019972039450938173,-0.008215575228318617,0.005163703205350666,0.026482132682794354,matching_minus_population,positive_directional_improvement
study05,reference_free_covariance_distortion,lower,13,13,0.0003303163124191988,0.0011642178247828205,-0.0003303163124191988,-0.0011642178247828205,5,0,8,20000,20260802,-0.0017496691755642191,0.0023262836733666725,-0.00212594004149258,0.003027709022400793,-0.0023262836733666725,0.0017496691755642163,matching_minus_population,positive_directional_improvement
study02,heldout_eog_prediction_remaining_ratio,lower,15,15,-0.009044395236995765,-0.012717330401888938,0.009044395236995765,0.012717330401888938,11,0,4,20000,20260802,-0.022879804857708626,0.006700962063892226,-0.033405202411487755,0.004199802395811858,-0.006700962063892245,0.022879804857708623,matching_minus_population,positive_directional_improvement
study04,heldout_eog_prediction_remaining_ratio,lower,15,15,-0.030269400521280496,-0.028500850620876983,0.030269400521280496,0.028500850620876983,14,0,1,20000,20260802,-0.04069180773836328,-0.019645004107572493,-0.039344219253191426,-0.020893064095615643,0.019645004107572476,0.04069180773836327,matching_minus_population,positive_directional_improvement
study05,heldout_eog_prediction_remaining_ratio,lower,13,13,-0.0011646603575320008,0.00030773206301271117,0.0011646603575320008,-0.00030773206301271117,6,0,7,20000,20260802,-0.004590987458857268,0.002203190829388944,-0.0055053613623011755,0.0028454381553988384,-0.0022031908293889497,0.004590987458857262,matching_minus_population,positive_directional_improvement
study02,condition_erp_observation_relative_preservation,higher,15,15,-0.007023812571571875,-0.005847632464396235,-0.007023812571571875,-0.005847632464396235,0,0,15,20000,20260802,-0.011040480769895122,-0.004130983765998704,-0.00724468728030192,-0.0025066972626011097,-0.011040480769895122,-0.004130983765998704,matching_minus_population,positive_directional_improvement
study04,condition_erp_observation_relative_preservation,higher,15,15,-0.004626148798824769,-0.008409655093331914,-0.004626148798824769,-0.008409655093331914,2,0,13,20000,20260802,-0.011836584360469698,0.0057424945773969635,-0.012942341896507226,-0.0025705167945566654,-0.011836584360469698,0.0057424945773969635,matching_minus_population,positive_directional_improvement
