kind,restoration_validation_mse,step,training_loss
diffusion,0.3712650328874588,500,0.0758342295885086
diffusion,0.2857077453285456,1000,0.046329837292432785
diffusion,0.24490985367447138,1500,0.06048501282930374
diffusion,0.22356100510805846,2000,0.03879735991358757
diffusion,0.2098331365734339,2500,0.020774733275175095
diffusion,0.20298690227791666,3000,0.03131146728992462
diffusion,0.19942477867007255,3500,0.026508046314120293
diffusion,0.20324328886345028,4000,0.03702284395694733
diffusion,0.20323386639356614,4500,0.0319267101585865
diffusion,0.20268506687134505,5000,0.02059507742524147
diffusion,0.2030204669572413,5500,0.028839971870183945
diffusion,0.20681352084502577,6000,0.02909967303276062
diffusion,0.2073409899137914,6500,0.02615472860634327
diffusion,0.20769258262589574,7000,0.04133541136980057
diffusion,0.20604721438139678,7500,0.02534984052181244
