array_task_index,fold_id,model_kind,seed,source_task_index,unified_fold_index
0,study01_fold01,deterministic,20260811,0,0
1,study01_fold01,deterministic,20260812,2,0
2,study01_fold01,deterministic,20260813,4,0
3,study01_fold02,deterministic,20260811,6,1
4,study01_fold02,deterministic,20260812,8,1
5,study01_fold02,deterministic,20260813,10,1
6,study01_fold03,deterministic,20260811,12,2
7,study01_fold03,deterministic,20260812,14,2
8,study01_fold03,deterministic,20260813,16,2
9,study01_fold04,deterministic,20260811,18,3
10,study01_fold04,deterministic,20260812,20,3
11,study01_fold04,deterministic,20260813,22,3
12,study01_fold05,deterministic,20260811,24,4
13,study01_fold05,deterministic,20260812,26,4
14,study01_fold05,deterministic,20260813,28,4
15,study03_fold01,deterministic,20260811,30,5
16,study03_fold01,deterministic,20260812,32,5
17,study03_fold01,deterministic,20260813,34,5
18,study03_fold02,deterministic,20260811,36,6
19,study03_fold02,deterministic,20260812,38,6
20,study03_fold02,deterministic,20260813,40,6
21,study03_fold03,deterministic,20260811,42,7
22,study03_fold03,deterministic,20260812,44,7
23,study03_fold03,deterministic,20260813,46,7
24,study03_fold04,deterministic,20260811,48,8
25,study03_fold04,deterministic,20260812,50,8
26,study03_fold04,deterministic,20260813,52,8
27,study03_fold05,deterministic,20260811,54,9
28,study03_fold05,deterministic,20260812,56,9
29,study03_fold05,deterministic,20260813,58,9
30,study02_fold01,deterministic,20260811,60,10
31,study02_fold01,deterministic,20260812,62,10
32,study02_fold01,deterministic,20260813,64,10
33,study02_fold02,deterministic,20260811,66,11
34,study02_fold02,deterministic,20260812,68,11
35,study02_fold02,deterministic,20260813,70,11
36,study02_fold03,deterministic,20260811,72,12
37,study02_fold03,deterministic,20260812,74,12
38,study02_fold03,deterministic,20260813,76,12
39,study02_fold04,deterministic,20260811,78,13
40,study02_fold04,deterministic,20260812,80,13
41,study02_fold04,deterministic,20260813,82,13
42,study02_fold05,deterministic,20260811,84,14
43,study02_fold05,deterministic,20260812,86,14
44,study02_fold05,deterministic,20260813,88,14
45,study04_fold01,deterministic,20260811,90,15
46,study04_fold01,deterministic,20260812,92,15
47,study04_fold01,deterministic,20260813,94,15
48,study04_fold02,deterministic,20260811,96,16
49,study04_fold02,deterministic,20260812,98,16
50,study04_fold02,deterministic,20260813,100,16
51,study04_fold03,deterministic,20260811,102,17
52,study04_fold03,deterministic,20260812,104,17
53,study04_fold03,deterministic,20260813,106,17
54,study04_fold04,deterministic,20260811,108,18
55,study04_fold04,deterministic,20260812,110,18
56,study04_fold04,deterministic,20260813,112,18
57,study04_fold05,deterministic,20260811,114,19
58,study04_fold05,deterministic,20260812,116,19
59,study04_fold05,deterministic,20260813,118,19
60,study05_fold01,deterministic,20260811,120,20
61,study05_fold01,deterministic,20260812,122,20
62,study05_fold01,deterministic,20260813,124,20
63,study05_fold02,deterministic,20260811,126,21
64,study05_fold02,deterministic,20260812,128,21
65,study05_fold02,deterministic,20260813,130,21
66,study05_fold03,deterministic,20260811,132,22
67,study05_fold03,deterministic,20260812,134,22
68,study05_fold03,deterministic,20260813,136,22
69,study05_fold04,deterministic,20260811,138,23
70,study05_fold04,deterministic,20260812,140,23
71,study05_fold04,deterministic,20260813,142,23
72,study05_fold05,deterministic,20260811,144,24
73,study05_fold05,deterministic,20260812,146,24
74,study05_fold05,deterministic,20260813,148,24
