base_latent_loss,gradient_norm,physical_identity_loss,step,total_loss
0.011237869039177895,0.6334546208381653,0.008664570748806,1,0.019902439787983894
0.010302264243364334,0.32017242908477783,0.0007804744527675211,100,0.011082738637924194
0.011240771040320396,0.15848009288311005,0.0007092534215189517,200,0.011950024403631687
0.010530245490372181,0.23243531584739685,0.00046047999057918787,300,0.010990725830197334
0.012456297874450684,0.35600951313972473,0.00031479913741350174,400,0.012771097011864185
0.009515692479908466,0.40205714106559753,0.0005355098401196301,500,0.010051202028989792
0.008259475231170654,0.13279345631599426,0.00020449429575819522,600,0.008463969454169273
0.009125284850597382,0.1752474457025528,0.00018397756502963603,700,0.009309262037277222
0.009341333992779255,0.22698961198329926,0.0002751177526079118,800,0.00961645133793354
0.022906970232725143,1.1379454135894775,0.00073979765875265,900,0.023646768182516098
0.008975799195468426,0.24116568267345428,0.00014415336772799492,1000,0.009119952097535133
0.009524278342723846,0.25790300965309143,0.00015140464529395103,1100,0.009675683453679085
0.007530734408646822,0.15278184413909912,0.00018598700989969075,1200,0.007716721389442682
0.006956291384994984,0.13278813660144806,0.000111431407276541,1300,0.007067722734063864
0.00880779605358839,0.4381554126739502,0.00012503348989412189,1400,0.008932829834520817
0.006014700047671795,0.12172578275203705,0.0001493622112320736,1500,0.006164062302559614
0.011790725402534008,0.358782559633255,0.0001271893415832892,1600,0.01191791519522667
0.007214899640530348,0.32114583253860474,0.00011962505959672853,1700,0.007334524765610695
0.007948390208184719,0.23982281982898712,0.0001222881255671382,1800,0.008070678450167179
0.008356006816029549,0.20258405804634094,0.0001022889482555911,1900,0.008458295837044716
0.008872045204043388,0.2242431938648224,0.00013290022616274655,2000,0.009004945866763592
0.007989456877112389,0.2943294644355774,0.00011471790639916435,2100,0.0081041743978858
0.007105471100658178,0.15629832446575165,7.915977039374411e-05,2200,0.00718463072553277
0.009297027252614498,0.5444108843803406,0.00010029630357166752,2300,0.009397323243319988
0.005944937467575073,0.10689418017864227,6.599231710424647e-05,2400,0.006010929588228464
0.005396716762334108,0.16672660410404205,5.7081251725321636e-05,2500,0.005453797988593578
0.00665321946144104,0.11322200298309326,5.9435045841382816e-05,2600,0.006712654605507851
0.00528337899595499,0.10934321582317352,4.5050412154523656e-05,2700,0.005328429397195578
0.011861029081046581,0.6779261231422424,9.829139889916405e-05,2800,0.011959320865571499
0.007988094352185726,0.3287660479545593,8.084691944532096e-05,2900,0.008068941533565521
0.0057437606155872345,0.13034555315971375,0.00010799168376252055,3000,0.005851752124726772
