development_epsilon_mse_diagnostic_only,epoch,step,train_epsilon_mse
0.17750992669778712,49,250,0.22878198623657225
0.11228262238642749,99,500,0.14421356916427613
0.0782403034322402,149,750,0.09847987443208694
0.058446098776424635,199,1000,0.08288230076432228
0.04702652574462049,249,1250,0.06648944169282914
0.040485633208471185,299,1500,0.07263317480683326
0.03571035143207101,349,1750,0.04156777486205101
0.030876166461145178,399,2000,0.036967455968260766
0.027858808746232706,449,2250,0.03764669969677925
0.02576699496849495,499,2500,0.031173986569046973
0.022340631331591046,549,2750,0.04306575059890747
0.020737947950906613,599,3000,0.034802961722016336
0.02146875551518272,649,3250,0.02769266813993454
0.019148293115636882,699,3500,0.038071836531162265
0.01699208128539955,749,3750,0.028785595670342445
0.016281993347494042,799,4000,0.024342171475291254
0.015319067765684688,849,4250,0.018017650581896305
0.01733938347109977,899,4500,0.023230117559432984
0.01499149901792407,949,4750,0.02118547111749649
0.01444455688161885,999,5000,0.0281758489087224
0.013214669217739035,1049,5250,0.019195851124823093
0.012711843722225988,1099,5500,0.016952433437108994
0.012455204063478638,1149,5750,0.02584476750344038
0.012750939301708165,1199,6000,0.01227516271173954
