epoch,step,train_loss,validation_loss,best
49,250,0.021218455955386163,0.0450526078176849,False
99,500,0.006209825817495585,0.04269616985145737,False
149,750,0.004235320724546909,0.04102856764460311,False
199,1000,0.003299409057945013,0.04319044224479619,False
249,1250,0.0018501869169995188,0.04211285491200054,False
299,1500,0.0020978020271286368,0.04054653754129129,False
349,1750,0.0015990158542990684,0.041093088029062044,False
399,2000,0.0010965999914333223,0.04094165990896085,False
449,2250,0.0017091975314542651,0.04120332166990813,False
499,2500,0.001202439342159778,0.04064211753361365,False
549,2750,0.0007676024921238423,0.04038233233287054,False
599,3000,0.0007904680911451578,0.038996140417807246,True
649,3250,0.0007683653850108386,0.039514296742923116,False
699,3500,0.0014157918049022555,0.04007859769112924,False
749,3750,0.000591142289340496,0.040134570068296266,False
799,4000,0.0009430302074179053,0.039931884145035464,False
849,4250,0.0007770727155730128,0.03928262214450275,False
899,4500,0.0021037711296230553,0.04071840052218998,False
949,4750,0.00037143912632018326,0.038811887340510595,True
999,5000,0.003114848304539919,0.05987571136039846,False
1049,5250,0.0005860581062734127,0.03966892894138308,False
1099,5500,0.0004084654327016324,0.03908621432150111,False
1149,5750,0.0003910862898919731,0.039273212718613004,False
1199,6000,0.000358560832682997,0.03914476459955468,False
