assignment_owner_ids,assignment_owner_indices,replicate,unused_owner_id,unused_owner_index
sub-06;sub-24;sub-15;sub-07;sub-12;sub-18;sub-21;sub-02;sub-09;sub-05;sub-19;sub-11;sub-17;sub-23;sub-14,3;15;9;4;7;11;13;0;5;2;12;6;10;14;8,0,sub-03,1
sub-24;sub-14;sub-07;sub-09;sub-03;sub-19;sub-06;sub-11;sub-21;sub-23;sub-05;sub-17;sub-18;sub-02;sub-12,15;8;4;5;1;12;3;6;13;14;2;10;11;0;7,1,sub-15,9
sub-07;sub-21;sub-18;sub-05;sub-11;sub-03;sub-14;sub-24;sub-23;sub-02;sub-12;sub-06;sub-15;sub-17;sub-19,4;13;11;2;6;1;8;15;14;0;7;3;9;10;12,2,sub-09,5
sub-21;sub-11;sub-09;sub-02;sub-03;sub-24;sub-17;sub-18;sub-06;sub-23;sub-14;sub-15;sub-12;sub-05;sub-19,13;6;5;0;1;15;10;11;3;14;8;9;7;2;12,3,sub-07,4
sub-12;sub-19;sub-03;sub-11;sub-18;sub-05;sub-17;sub-07;sub-23;sub-06;sub-14;sub-21;sub-15;sub-24;sub-09,7;12;1;6;11;2;10;4;14;3;8;13;9;15;5,4,sub-02,0
sub-03;sub-07;sub-24;sub-12;sub-18;sub-19;sub-05;sub-02;sub-15;sub-23;sub-06;sub-11;sub-14;sub-09;sub-17,1;4;15;7;11;12;2;0;9;14;3;6;8;5;10,5,sub-21,13
sub-09;sub-21;sub-06;sub-17;sub-12;sub-23;sub-03;sub-07;sub-02;sub-19;sub-14;sub-24;sub-11;sub-05;sub-18,5;13;3;10;7;14;1;4;0;12;8;15;6;2;11,6,sub-15,9
sub-18;sub-17;sub-21;sub-15;sub-03;sub-14;sub-05;sub-09;sub-19;sub-23;sub-06;sub-11;sub-12;sub-02;sub-24,11;10;13;9;1;8;2;5;12;14;3;6;7;0;15,7,sub-07,4
sub-14;sub-17;sub-18;sub-12;sub-19;sub-07;sub-15;sub-11;sub-02;sub-06;sub-03;sub-09;sub-24;sub-23;sub-05,8;10;11;7;12;4;9;6;0;3;1;5;15;14;2,8,sub-21,13
sub-18;sub-11;sub-02;sub-21;sub-06;sub-17;sub-12;sub-15;sub-03;sub-07;sub-19;sub-23;sub-09;sub-24;sub-05,11;6;0;13;3;10;7;9;1;4;12;14;5;15;2,9,sub-14,8
sub-19;sub-24;sub-15;sub-11;sub-09;sub-12;sub-23;sub-02;sub-07;sub-14;sub-05;sub-06;sub-21;sub-17;sub-03,12;15;9;6;5;7;14;0;4;8;2;3;13;10;1,10,sub-18,11
sub-21;sub-12;sub-14;sub-23;sub-09;sub-17;sub-03;sub-05;sub-19;sub-18;sub-11;sub-02;sub-15;sub-24;sub-06,13;7;8;14;5;10;1;2;12;11;6;0;9;15;3,11,sub-07,4
sub-05;sub-07;sub-18;sub-14;sub-19;sub-06;sub-23;sub-21;sub-12;sub-17;sub-11;sub-03;sub-02;sub-15;sub-24,2;4;11;8;12;3;14;13;7;10;6;1;0;9;15,12,sub-09,5
sub-12;sub-23;sub-19;sub-14;sub-11;sub-24;sub-09;sub-07;sub-17;sub-03;sub-21;sub-06;sub-02;sub-05;sub-18,7;14;12;8;6;15;5;4;10;1;13;3;0;2;11,13,sub-15,9
sub-07;sub-14;sub-02;sub-17;sub-24;sub-18;sub-19;sub-09;sub-06;sub-21;sub-03;sub-11;sub-23;sub-12;sub-05,4;8;0;10;15;11;12;5;3;13;1;6;14;7;2,14,sub-15,9
sub-17;sub-09;sub-18;sub-05;sub-03;sub-07;sub-15;sub-14;sub-24;sub-23;sub-11;sub-19;sub-21;sub-02;sub-06,10;5;11;2;1;4;9;8;15;14;6;12;13;0;3,15,sub-12,7
sub-06;sub-05;sub-12;sub-15;sub-03;sub-07;sub-14;sub-09;sub-21;sub-18;sub-19;sub-24;sub-23;sub-17;sub-02,3;2;7;9;1;4;8;5;13;11;12;15;14;10;0,16,sub-11,6
sub-06;sub-23;sub-14;sub-11;sub-17;sub-12;sub-18;sub-03;sub-09;sub-02;sub-21;sub-05;sub-15;sub-19;sub-07,3;14;8;6;10;7;11;1;5;0;13;2;9;12;4,17,sub-24,15
sub-17;sub-02;sub-14;sub-05;sub-15;sub-23;sub-06;sub-19;sub-24;sub-21;sub-07;sub-12;sub-09;sub-03;sub-11,10;0;8;2;9;14;3;12;15;13;4;7;5;1;6,18,sub-18,11
sub-18;sub-12;sub-09;sub-11;sub-24;sub-17;sub-06;sub-19;sub-05;sub-23;sub-14;sub-03;sub-15;sub-02;sub-21,11;7;5;6;15;10;3;12;2;14;8;1;9;0;13,19,sub-07,4
