absolute_path,accepted_superseded_status,canonical_content_digest,config,dtype,mtime_ns,producing_job,row_count,scientific_role,size_bytes,source_branch,source_commit,used_by_V20
/home/infres/yinwang/denoiseNet_counterfactual_operator_v19/results/cgdr/counterfactual_operator_headroom_v19/v19_preregistration.yaml,accepted_input_historical_decision_superseded,sha256:f74cae35235f8ff84d989c4272c0a94965ca50d3797594fbd02c71c51c6eee82,counterfactual_operator_headroom_v19.yaml,yaml,1786399132690932364,tracked_manifest,1,frozen manifest,2434,v19,5ab1918ceebf3b9622ceb2806a274edd01205e8b,yes
/home/infres/yinwang/denoiseNet_counterfactual_operator_v19/results/cgdr/counterfactual_operator_headroom_v19/split_manifest.csv,accepted_input_historical_decision_superseded,sha256:d239afa75a65ffb458fe13cf5e4c0748c75aba7a634607c5241e8a7cd4caf4ab,counterfactual_operator_headroom_v19.yaml,csv,1786399132690932364,tracked_manifest,24,frozen manifest,516,v19,5ab1918ceebf3b9622ceb2806a274edd01205e8b,yes
/home/infres/yinwang/denoiseNet_counterfactual_operator_v19/results/cgdr/counterfactual_operator_headroom_v19/operator_context_manifest.csv,accepted_input_historical_decision_superseded,sha256:a51a62f25eadfbfa4f24193510465bfade278aac107688713145be3fea0df803,counterfactual_operator_headroom_v19.yaml,csv,1786399137165970430,tracked_manifest,96,frozen manifest,21886,v19,5ab1918ceebf3b9622ceb2806a274edd01205e8b,yes
/home/infres/yinwang/denoiseNet_counterfactual_operator_v19/results/cgdr/counterfactual_operator_headroom_v19/participant_effects.csv,accepted_input_historical_decision_superseded,sha256:7ac4fcd3b3b188a0c77d865a29819429118a061eafd6eeb8f1336d5d4c840cdc,counterfactual_operator_headroom_v19.yaml,csv,1786399318267511108,tracked_manifest,16,frozen manifest,3916,v19,5ab1918ceebf3b9622ceb2806a274edd01205e8b,yes
/home/infres/yinwang/denoiseNet_counterfactual_operator_v19/results/cgdr/counterfactual_operator_headroom_v19/null_controls.csv,accepted_input_historical_decision_superseded,sha256:f793888fd6cf727f9b62c01e8f74261ec04b060ef00eef60ebc2ec12648a7b68,counterfactual_operator_headroom_v19.yaml,csv,1786399318268511117,tracked_manifest,30,frozen manifest,2326,v19,5ab1918ceebf3b9622ceb2806a274edd01205e8b,yes
/home/infres/yinwang/denoiseNet_counterfactual_operator_v19/results/cgdr/counterfactual_operator_headroom_v19/route_decision.json,accepted_input_historical_decision_superseded,sha256:b466ed4286d51b38de478695e2e7aced9e375ad4a0a4cd24905b1f3e8dd0e54a,counterfactual_operator_headroom_v19.yaml,json,1786399389218114807,tracked_manifest,1,frozen manifest,3556,v19,5ab1918ceebf3b9622ceb2806a274edd01205e8b,yes
/home/infres/yinwang/denoiseNet_counterfactual_operator_v19/results/cgdr/counterfactual_operator_headroom_v19/metric_schema.json,accepted_input_historical_decision_superseded,sha256:c9f12e6210e7beaeaee547697c98265360795e602015d6bd8ca4e15cf271aa77,counterfactual_operator_headroom_v19.yaml,json,1786399132692932381,tracked_manifest,1,frozen manifest,380,v19,5ab1918ceebf3b9622ceb2806a274edd01205e8b,yes
/home/infres/yinwang/denoiseNet_counterfactual_operator_v19_provenance/results/cgdr/counterfactual_operator_v19_null_floor_audit/frozen_artifact_snapshot.json,accepted_input_historical_decision_superseded,sha256:9f987f0731c509f769e110764843f3130207ae70f388f112a130b028e2ebb696,counterfactual_operator_headroom_v19.yaml,json,1786404241101953380,tracked_manifest,1,frozen manifest,84285,v19_audit,166706f535c01fca997cc89e0018afef2d8fe414,yes
/home/infres/yinwang/denoiseNet_counterfactual_operator_v19_provenance/results/cgdr/counterfactual_operator_v19_null_floor_audit/audit_decision.json,accepted_input_historical_decision_superseded,sha256:12e59c7b250e1b9a604aed49d36934baf1adf67d170b2ae400cfaf64ac11bab9,counterfactual_operator_headroom_v19.yaml,json,1786404389251191116,tracked_manifest,1,frozen manifest,1939,v19_audit,166706f535c01fca997cc89e0018afef2d8fe414,yes
/home/infres/yinwang/denoiseNet_counterfactual_operator_v19/results/cgdr/counterfactual_operator_headroom_v19/o0_natural/sub-02.csv,accepted_input_historical_decision_superseded,sha256:9f4e905c9c81fb55cd2afee4753fd0e33dd4f1e98cf895123844baa7b7c00818,counterfactual_operator_headroom_v19.yaml,csv,1786399252647952821,934248,14023,natural derived rows,1345864,v19,5ab1918ceebf3b9622ceb2806a274edd01205e8b,yes
/home/infres/yinwang/denoiseNet_counterfactual_operator_v19/results/cgdr/counterfactual_operator_headroom_v19/o0_natural/sub-03.csv,accepted_input_historical_decision_superseded,sha256:6353aacf1e4af441d8bcf81e7ab42f81fbaeb368e2a79dd3367dfa76c7dc0b61,counterfactual_operator_headroom_v19.yaml,csv,1786399251868946194,934248,14356,natural derived rows,1377299,v19,5ab1918ceebf3b9622ceb2806a274edd01205e8b,yes
