control,exact_one_sided_signflip_p,mean,median,passed,positive_count
TIME_SHIFT,6.103515625e-05,0.2752045826344089,0.2669699920509434,True,14
CHANNEL_PERM,3.0517578125e-05,0.23825116109722605,0.25261091184505535,True,15
