fallback_effect,natural_query_evaluable,participant,policy_denominator,policy_only,primary_exchangeable
,1,sub-02,16,0,1
,1,sub-03,16,0,1
,1,sub-05,16,0,1
,1,sub-06,16,0,1
,1,sub-07,16,0,1
,1,sub-09,16,0,1
,1,sub-11,16,0,1
,1,sub-12,16,0,1
,1,sub-14,16,0,1
,1,sub-15,16,0,1
,1,sub-17,16,0,1
,1,sub-18,16,0,1
,1,sub-19,16,0,1
,1,sub-21,16,0,1
,1,sub-23,16,0,1
0.0,0,sub-24,16,1,0
