recipient,risk,self_match,source_method,support_owner
sub-02,0.8082409190255253,1,MATCH,sub-02
sub-02,0.8820998930929438,0,WRONG,sub-03
sub-02,0.9475913853931618,0,WRONG,sub-05
sub-02,0.8606849312287408,0,WRONG,sub-06
sub-02,0.8781924209708747,0,WRONG,sub-07
sub-02,1.0464578998624439,0,WRONG,sub-09
sub-02,0.9211006465861932,0,WRONG,sub-11
sub-02,1.0306535042589096,0,WRONG,sub-12
sub-02,0.8679582558829066,0,WRONG,sub-14
sub-02,0.8073193855100933,0,WRONG,sub-15
sub-02,0.9932937380744555,0,WRONG,sub-17
sub-02,0.8533744419396345,0,WRONG,sub-18
sub-02,0.864699974771427,0,WRONG,sub-19
sub-02,0.9418743549456474,0,WRONG,sub-21
sub-02,0.859323861244127,0,WRONG,sub-23
sub-02,0.8767390206026114,0,WRONG,sub-24
sub-03,0.8857580425796735,0,WRONG,sub-02
sub-03,0.7349533325634781,1,MATCH,sub-03
sub-03,0.7968802831791711,0,WRONG,sub-05
sub-03,0.7535713094895116,0,WRONG,sub-06
sub-03,0.7912205624538063,0,WRONG,sub-07
sub-03,1.0457421250279333,0,WRONG,sub-09
sub-03,0.8212135352519665,0,WRONG,sub-11
sub-03,0.8720370785393576,0,WRONG,sub-12
sub-03,0.7637793169623206,0,WRONG,sub-14
sub-03,0.7892830015075826,0,WRONG,sub-15
sub-03,0.8789174334040621,0,WRONG,sub-17
sub-03,0.7764811348055467,0,WRONG,sub-18
sub-03,0.7975824909513601,0,WRONG,sub-19
sub-03,0.8870830351608165,0,WRONG,sub-21
sub-03,0.8347714315667851,0,WRONG,sub-23
sub-03,0.7563553163446404,0,WRONG,sub-24
sub-05,0.8664329229420671,0,WRONG,sub-02
sub-05,0.5501948281669897,0,WRONG,sub-03
sub-05,0.4600527345486283,1,MATCH,sub-05
sub-05,0.557031415499961,0,WRONG,sub-06
sub-05,0.6095881715460751,0,WRONG,sub-07
sub-05,0.958549977961302,0,WRONG,sub-09
sub-05,0.6582542809670636,0,WRONG,sub-11
sub-05,0.6644412190411914,0,WRONG,sub-12
sub-05,0.5276510885811797,0,WRONG,sub-14
sub-05,0.6050147552049472,0,WRONG,sub-15
sub-05,0.7887997466153311,0,WRONG,sub-17
sub-05,0.5854067962570448,0,WRONG,sub-18
sub-05,0.6231067720339691,0,WRONG,sub-19
sub-05,0.7014737378252189,0,WRONG,sub-21
sub-05,0.8274472317027917,0,WRONG,sub-23
sub-05,0.538282843021598,0,WRONG,sub-24
sub-06,0.9834895738826512,0,WRONG,sub-02
sub-06,0.5591860609342846,0,WRONG,sub-03
sub-06,0.6710153864637289,0,WRONG,sub-05
sub-06,0.4683910187016559,1,MATCH,sub-06
sub-06,0.6237318421265423,0,WRONG,sub-07
sub-06,1.1050018240425943,0,WRONG,sub-09
sub-06,0.7809106064768954,0,WRONG,sub-11
sub-06,0.8532361857971684,0,WRONG,sub-12
sub-06,0.5913785546622923,0,WRONG,sub-14
sub-06,0.6085097790376555,0,WRONG,sub-15
sub-06,0.727321940421233,0,WRONG,sub-17
sub-06,0.6508198246523451,0,WRONG,sub-18
sub-06,0.6853424902751191,0,WRONG,sub-19
sub-06,0.722351859769564,0,WRONG,sub-21
sub-06,0.6432646253507592,0,WRONG,sub-23
sub-06,0.5448422852412617,0,WRONG,sub-24
sub-07,1.0337974433349353,0,WRONG,sub-02
sub-07,0.9017402486949084,0,WRONG,sub-03
sub-07,0.967810323961251,0,WRONG,sub-05
sub-07,0.828496642611064,0,WRONG,sub-06
sub-07,0.7949453021335331,1,MATCH,sub-07
