N_P_gain,N_W_gain,participant
0.0560775925567184,0.0622898969247464,sub-02
0.06710007167262932,0.06300253402485911,sub-03
0.12436189556311761,0.11416226620663439,sub-05
0.16344029049639652,0.0758875858136232,sub-06
0.12098792683872028,0.13125898616675924,sub-07
0.019391058750388712,0.01273220666582553,sub-09
0.038140652389048735,0.023372094856080383,sub-11
0.10561608332875749,0.07231374766947107,sub-12
0.03957757942614759,0.10559266724277616,sub-14
0.06515728451042135,0.0900494492546744,sub-15
0.12077528527073134,0.08989389283067484,sub-17
0.05830692900150947,0.06815030599888316,sub-18
0.03779437587602552,0.049515917905312734,sub-19
0.10342416561403367,0.05769374241822123,sub-21
0.416994316668728,0.5461872650106347,sub-23
