N_P,N_W,participant,policy_denominator,primary_exchangeable
0.05796399470416713,0.10051666193208597,sub-02,16,1
0.0993618685446982,0.09509174058482417,sub-03,16,1
0.27769600629115854,0.21072565127582044,sub-05,16,1
0.36403314957302924,0.2483025039072838,sub-06,16,1
0.1526141449967907,0.18552632605204056,sub-07,16,1
0.09171988415973109,0.055941017028429574,sub-09,16,1
0.03902624336471905,0.027203705039027692,sub-11,16,1
0.17640418871611185,0.1630386414744438,sub-12,16,1
0.1270729764254056,0.19107037957614792,sub-14,16,1
0.15377800037456602,0.16303375494055683,sub-15,16,1
0.1498103815892271,0.12728949940878065,sub-17,16,1
0.07108934367837616,0.11254765957252033,sub-18,16,1
0.060951547289085806,0.08690462032226032,sub-19,16,1
0.16764772205956546,0.1197374757889631,sub-21,16,1
0.692870692790126,0.7254980705408334,sub-23,16,1
0.0,0.0,sub-24,16,0
