H_P,H_W,QUERY_ORACLE_max_error,participant
0.5948002373698991,0.6611840565032772,1.305009058441638e-15,sub-02
0.9918204620229183,0.8671283273762893,1.9076467947010134e-16,sub-03
1.2300511148510607,1.0524698713990657,1.6005367738489174e-16,sub-05
1.015123679523997,0.9519763615201909,1.4686906484370358e-16,sub-06
0.6496904429663776,0.6187295120947974,1.7707033401006114e-16,sub-07
0.3530663201206288,0.3819892141633403,5.611684948701872e-16,sub-09
0.6782968998860797,0.5525519884473888,1.842522543776598e-16,sub-11
1.3487540917546688,1.2224835691979612,1.9032987533842665e-16,sub-12
0.8495299435518047,0.7078434713444102,1.6516923605590032e-16,sub-14
0.7197542871045828,0.7398021670718862,4.730618783282115e-16,sub-15
0.20004682822127728,0.04178396532203266,2.414888610308957e-16,sub-17
0.6579096431235805,0.7079833426473665,1.9411262802099947e-16,sub-18
0.4347181945148355,0.45357929994674384,1.9919392502696597e-16,sub-19
0.8071639012209492,0.6849549335205726,1.3237330009353528e-16,sub-21
0.9983050639408181,0.9490092448699922,1.943012130165626e-16,sub-23
