MATCH,N_P,N_W,POP,WRONG,participant,task
0.6310307778214748,0.09959625838008002,0.1825712788309095,0.7306270362015548,0.8136020566523843,sub-02,ERP
0.6912032205898672,0.019792634421756272,0.07656286384999089,0.7109958550116234,0.767766084439858,sub-03,ERP
0.4063421388259409,0.1136468076351615,0.17029842119846167,0.5199889464611024,0.5766405600244026,sub-05,ERP
0.5109792407695782,0.04962047186689733,0.13802392533866226,0.5605997126364756,0.6490031661082405,sub-06,ERP
0.8512611593329819,0.08402152817334763,0.2066394933285457,0.9352826875063295,1.0579006526615276,sub-07,ERP
0.9922220719834666,0.00028119437974150063,0.0017358557440605438,0.9925032663632081,0.9939579277275271,sub-09,ERP
0.8116216844359981,0.02297734867902579,0.05563335652917001,0.8345990331150239,0.8672550409651681,sub-11,ERP
0.5594162909938603,0.0999119499582567,0.15197263525116833,0.659328240952117,0.7113889262450286,sub-12,ERP
0.7557291220029813,-0.0012524129543294293,0.11140095302874786,0.7544767090486518,0.8671300750317291,sub-14,ERP
0.6179708731859371,0.0785414945883589,0.15266543138659738,0.696512367774296,0.7706363045725345,sub-15,ERP
0.5520291633897809,0.06120829522992066,0.13721636792010805,0.6132374586197016,0.689245531309889,sub-17,ERP
0.5714189515033695,0.03563542423576416,0.13626929371774565,0.6070543757391337,0.7076882452211152,sub-18,ERP
0.660291417556087,0.03686577669139257,0.11349006243533521,0.6971571942474796,0.7737814799914222,sub-19,ERP
0.7828777585522868,-0.0049772366546330105,0.027681015695663613,0.7779005218976538,0.8105587742479504,sub-21,ERP
0.7619434167203996,0.5675202305125782,0.7151467236500895,1.3294636472329777,1.477090140370489,sub-23,ERP
0.985451060229576,0.016331731028254137,0.018462045033262542,1.00178279125783,1.0039131052628385,sub-02,SSVEP
0.7787034445370891,0.17893110266764012,0.11362061731965756,0.9576345472047292,0.8923240618567466,sub-03,SSVEP
0.5137633302713156,0.44174520494715563,0.25115288135317926,0.9555085352184712,0.7649162116244949,sub-05,SSVEP
0.4258027966337335,0.6784458272791614,0.3585810824759051,1.1042486239128948,0.7843838791096386,sub-06,SSVEP
0.7386294449340842,0.2212067618202339,0.1644131587755353,0.9598362067543181,0.9030426037096195,sub-07,SSVEP
1.0650627023297916,0.18315857393972057,0.11014617831279883,1.2482212762695122,1.1752088806425904,sub-09,SSVEP
0.9816045016503726,0.05507513805041231,-0.0012259464511142903,1.036679639700785,0.9803785551992583,sub-11,SSVEP
0.6049376469795805,0.2528964274739671,0.17410464769771938,0.8578340744535476,0.7790422946772999,sub-12,SSVEP
0.5103512631119171,0.2553983658051405,0.270739806123548,0.7657496289170577,0.7810910692354651,sub-14,SSVEP
0.7420610192604628,0.22901450616077312,0.17340207849451628,0.9710755254212359,0.915463097754979,sub-15,SSVEP
0.6688080141354482,0.23841246794853344,0.11736263089745336,0.9072204820839816,0.7861706450329016,sub-17,SSVEP
0.7905506521963493,0.10654326312098816,0.08882602542729501,0.8970939153173375,0.8793766776236444,sub-18,SSVEP
0.8539377930682083,0.08503731788677893,0.06031917820918509,0.9389751109549872,0.9142569712773934,sub-19,SSVEP
0.442965574792385,0.3402726807737639,0.21179393588226253,0.7832382555661489,0.6547595106746475,sub-21,SSVEP
0.8440223980599404,0.8182211550676739,0.7358494174315768,1.6622435531276143,1.5798718154915172,sub-23,SSVEP
