participant,session,support_seconds,eligible_120
1,01T,215.556,1
1,02T,15.592,0
1,03T,212.396,1
1,04E,212.396,1
1,05E,212.396,1
2,01T,224.996,1
2,02T,215.556,1
2,03T,212.396,1
2,04E,212.396,1
2,05E,212.396,1
3,01T,206.396,1
3,02T,215.556,1
3,03T,212.396,1
3,04E,212.396,1
3,05E,212.396,1
4,01T,243.268,1
4,02T,215.556,1
4,03T,212.396,1
4,04E,212.396,1
4,05E,212.396,1
5,01T,215.556,1
5,02T,215.556,1
5,03T,212.396,1
5,04E,2.992,0
5,05E,212.396,1
6,01T,215.556,1
6,02T,215.556,1
6,03T,212.396,1
6,04E,212.396,1
6,05E,212.396,1
7,01T,215.556,1
7,02T,243.268,1
7,03T,212.396,1
7,04E,212.396,1
7,05E,212.396,1
8,01T,215.556,1
8,02T,215.556,1
8,03T,212.396,1
8,04E,212.396,1
8,05E,212.396,1
9,01T,215.556,1
9,02T,215.556,1
9,03T,212.396,1
9,04E,212.396,1
9,05E,212.396,1
