participant,method,eog_attenuation,preservation,mi_band_distortion,covariance,mi_kappa,erd_preservation
1,DET-POP8,0.01909004334775673,0.6932702486713728,0.062397344523682306,0.15394352448576945,0.5111111111111112,0.9637753075946831
2,DET-POP8,0.09722610547193014,0.8217026210493512,0.0819424106294098,0.13364103014664624,0.15740740740740738,0.9358668010234718
3,DET-POP8,0.12273339492856443,0.8141777747207217,0.0846425299928436,0.14401729481010123,-0.006481481481481483,0.9274234684127273
4,DET-POP8,0.1118297351524792,0.7898507846726311,0.07512119951315575,0.12839065464163002,0.7649148176538944,0.9358464771074781
5,DET-POP8,0.1088363496311407,0.7818523678514693,0.10269444973050433,0.15176020767627507,0.5518911605187673,0.9096044462834576
6,DET-POP8,0.10243995463886738,0.8350256217850579,0.059116911960130566,0.15542769699365408,0.35555555555555557,0.9531469962219236
7,DET-POP8,0.10840745700388249,0.701375898387697,0.09377993285557597,0.18684251537036986,0.23333333333333328,0.9246598178617391
8,DET-POP8,0.10682456889484547,0.816272195842531,0.0826056783918952,0.11092311008667484,0.3990740740740741,0.9315279928800427
9,DET-POP8,0.046037203014918336,0.6946142945024703,0.07631753936105469,0.12866420898659045,0.4046296296296297,0.9426592260194836
1,DET-RAW-MATCH,0.058707932343483676,0.7564533849557241,0.05319271597022881,0.1605730702699322,0.5152777777777777,0.9576064132149601
2,DET-RAW-MATCH,0.11133380339955318,0.7923359688785341,0.08725375361957544,0.13630321445278723,0.1324074074074074,0.9313549036299441
3,DET-RAW-MATCH,0.1169661819996045,0.8110936747656928,0.0812497468062247,0.14479596250291776,-0.007407407407407418,0.9198370915191734
4,DET-RAW-MATCH,0.11444928648977265,0.7969191819429398,0.070641386940059,0.1251363437257644,0.7626714343278579,0.9380061196725998
5,DET-RAW-MATCH,0.12079646352359551,0.7585625201463699,0.11339758667928167,0.15593627919253708,0.5395709901862487,0.9037258318125869
6,DET-RAW-MATCH,0.12106986268416103,0.8145884142981635,0.06789216495447277,0.16661213507385197,0.36018518518518516,0.9433349559351062
7,DET-RAW-MATCH,0.11682617418135016,0.7447982662253909,0.08146729602171981,0.2053633264661526,0.20555555555555557,0.9290949352202935
8,DET-RAW-MATCH,0.10726508156890945,0.7996790094508065,0.08742948316904918,0.1125268162290591,0.36574074074074076,0.9274593915630415
9,DET-RAW-MATCH,0.08344380495815457,0.7438069946236081,0.0718684871357785,0.14292482164765655,0.3907407407407407,0.9381392744420292
1,DET-SHRINK-MATCH,0.05870813632822671,0.7564505413174629,0.053195188053690314,0.1605723778698501,0.5152777777777777,0.957604287942071
