seed,participant,protocol,eligible,selected_lambda,candidate_lambda,mean_loss,block_losses,blocks,reason
20260808,1,same_01,1,1.0,0.0,0.7398502826690674,0.9102066159;0.6404392123;0.7190929055;0.6896623969,4,
20260808,1,same_01,1,1.0,0.25,0.6952790915966034,0.8558956385;0.6142359972;0.6552636623;0.6557210684,4,
20260808,1,same_01,1,1.0,0.5,0.6634381860494614,0.8154686689;0.5956450701;0.6103192568;0.6323197484,4,
20260808,1,same_01,1,1.0,0.75,0.6443275064229965,0.7889255881;0.5846662521;0.5842597485;0.619458437,4,
20260808,1,same_01,1,1.0,1.0,0.6379470974206924,0.7762665153;0.581299603;0.5770850778;0.6171371937,4,
20260808,1,same_02,0,0,,,,,recipient_support_lt_120
20260808,1,same_03,1,1.0,0.0,0.5703205317258835,0.6181160808;0.5724840164;0.5279857516;0.5626962781,4,
20260808,1,same_03,1,1.0,0.25,0.5383989736437798,0.5764001012;0.547616601;0.4770331681;0.5525460243,4,
20260808,1,same_03,1,1.0,0.5,0.5159207805991173,0.5450755954;0.5319243073;0.4410470426;0.5456361771,4,
20260808,1,same_03,1,1.0,0.75,0.5028859749436378,0.5241425037;0.5254072547;0.4200274646;0.5419666767,4,
20260808,1,same_03,1,1.0,1.0,0.4992944449186325,0.5136008263;0.5280652642;0.4139743447;0.5415373445,4,
20260808,2,same_01,1,0.5,0.0,0.8136752769351006,0.4520540833;0.4399047196;1.033163667;1.329578638,4,
20260808,2,same_01,1,0.5,0.25,0.7987880036234856,0.4503393173;0.4394442737;0.9955793619;1.309789062,4,
20260808,2,same_01,1,0.5,0.5,0.7961753383278847,0.4517604709;0.4419229925;0.999288559;1.291729331,4,
20260808,2,same_01,1,0.5,0.75,0.805837370455265,0.4563174844;0.4473410547;1.044291615;1.275399327,4,
20260808,2,same_01,1,0.5,1.0,0.8277739733457565,0.4640103877;0.4556981623;1.130588293;1.26079905,4,
20260808,2,same_02,1,1.0,0.0,0.5738004297018051,0.3694604933;0.3712554276;0.6537451744;0.9007406235,4,
20260808,2,same_02,1,1.0,0.25,0.559211827814579,0.3647015691;0.366874665;0.6102311611;0.895039916,4,
20260808,2,same_02,1,1.0,0.5,0.54862479865551,0.3606908619;0.363063246;0.5792350769;0.8915100098,4,
20260808,2,same_02,1,1.0,0.75,0.5420392975211143,0.3574283123;0.3598211706;0.5607569218;0.8901507854,4,
20260808,2,same_02,1,1.0,1.0,0.5394553020596504,0.3549139202;0.3571484685;0.5547965169;0.8909623027,4,
20260808,2,same_03,1,0.5,0.0,0.8339424133300781,0.4005243182;0.3571096063;1.132755756;1.445379972,4,
20260808,2,same_03,1,0.5,0.25,0.808498926460743,0.3972002268;0.3579317629;1.043986797;1.434876919,4,
20260808,2,same_03,1,0.5,0.5,0.7977668270468712,0.3945416808;0.3600412905;1.011019111;1.425465226,4,
20260808,2,same_03,1,0.5,0.75,0.801746167242527,0.3925486505;0.363438189;1.033852816;1.417145014,4,
20260808,2,same_03,1,0.5,1.0,0.820436991751194,0.3912212551;0.3681223989;1.112488151;1.409916162,4,
20260808,3,same_01,1,1.0,0.0,1.2515964210033417,1.177837968;1.178457141;1.267987132;1.382103443,4,
20260808,3,same_01,1,1.0,0.25,1.2311237454414368,1.161263824;1.15560329;1.23288703;1.374740839,4,
20260808,3,same_01,1,1.0,0.5,1.216584861278534,1.149321914;1.139551163;1.208861232;1.368605137,4,
20260808,3,same_01,1,1.0,0.75,1.2079797983169556,1.142012477;1.130300641;1.195910096;1.363695979,4,
20260808,3,same_01,1,1.0,1.0,1.2053084671497345,1.139335275;1.127851605;1.194033384;1.360013604,4,
20260808,3,same_02,1,0.75,0.0,1.2185040414333344,1.191571712;1.147688985;1.284142017;1.250613451,4,
20260808,3,same_02,1,0.75,0.25,1.2075090110301971,1.184785366;1.143426538;1.251821876;1.250002265,4,
20260808,3,same_02,1,0.75,0.5,1.2008136212825775,1.179476023;1.140638947;1.232889295;1.25025022,4,
20260808,3,same_02,1,0.75,0.75,1.198418289422989,1.175643682;1.139326811;1.227344394;1.251358271,4,
20260808,3,same_02,1,0.75,1.0,1.2003225982189178,1.173288584;1.139489532;1.235186815;1.253325462,4,
20260808,3,same_03,1,0.75,0.0,1.6471079587936401,1.317103505;1.385182619;2.021959543;1.864186168,4,
20260808,3,same_03,1,0.75,0.25,1.6385651528835297,1.302309155;1.380462885;2.011715174;1.859773397,4,
20260808,3,same_03,1,0.75,0.5,1.6334721446037292,1.292440653;1.377550364;2.007430315;1.856467247,4,
20260808,3,same_03,1,0.75,0.75,1.6318283379077911,1.287497878;1.37644434;2.009104252;1.854266882,4,
20260808,3,same_03,1,0.75,1.0,1.633634090423584,1.287480593;1.377145529;2.016737461;1.853172779,4,
20260808,4,same_01,1,1.0,0.0,0.5778863579034805,0.5585009456;0.4268051982;0.5615457296;0.7646935582,4,
20260808,4,same_01,1,1.0,0.25,0.5669760257005692,0.542599678;0.4188525081;0.5439451337;0.762506783,4,
20260808,4,same_01,1,1.0,0.5,0.5596335381269455,0.529576242;0.4131621122;0.5339235067;0.7618722916,4,
20260808,4,same_01,1,1.0,0.75,0.5558589026331902,0.5194305778;0.4097338617;0.531480968;0.7627902031,4,
20260808,4,same_01,1,1.0,1.0,0.5556522160768509,0.5121628046;0.4085678458;0.5366175175;0.7652606964,4,
20260808,4,same_02,1,1.0,0.0,0.5850579813122749,0.430113107;0.4293866754;0.7206802368;0.7600519061,4,
20260808,4,same_02,1,1.0,0.25,0.5714263767004013,0.4211345613;0.421733588;0.6881173849;0.7547199726,4,
20260808,4,same_02,1,1.0,0.5,0.561961717903614,0.4141190052;0.4160508811;0.6640049219;0.7536720634,4,
20260808,4,same_02,1,1.0,0.75,0.5566640272736549,0.4090665877;0.4123385549;0.6483427882;0.7569081783,4,
20260808,4,same_02,1,1.0,1.0,0.555533304810524,0.4059772491;0.4105966687;0.6411309838;0.7644283175,4,
20260808,4,same_03,1,0.75,0.0,0.8545011132955551,0.7879046798;0.6878531575;0.8763292432;1.065917373,4,
20260808,4,same_03,1,0.75,0.25,0.849500373005867,0.7815064192;0.6814427376;0.8694651723;1.065587163,4,
20260808,4,same_03,1,0.75,0.5,0.8467957824468613,0.7760249376;0.67590487;0.8681939244;1.067059398,4,
20260808,4,same_03,1,0.75,0.75,0.8463873714208603,0.7714602351;0.6712395549;0.872515738;1.070333958,4,
20260808,4,same_03,1,0.75,1.0,0.8482751399278641,0.7678123116;0.6674467921;0.8824303746;1.075411081,4,
20260808,5,same_01,1,0.25,0.0,0.6353948265314102,0.4267472327;0.4127005637;0.7207573652;0.9813741446,4,
20260808,5,same_01,1,0.25,0.25,0.6352039277553558,0.4264434874;0.4136395752;0.7212788463;0.9794538021,4,
20260808,5,same_01,1,0.25,0.5,0.6362091079354286,0.4266115427;0.4151438773;0.724770844;0.9783101678,4,
20260808,5,same_01,1,0.25,0.75,0.6384103670716286,0.4272513986;0.4172135293;0.731233418;0.9779431224,4,
20260808,5,same_01,1,0.25,1.0,0.6418077647686005,0.428363055;0.4198485315;0.7406665087;0.9783529639,4,
20260808,5,same_02,1,1.0,0.0,0.7430075854063034,0.5428166389;0.5415842533;0.7560779452;1.131551504,4,
20260808,5,same_02,1,1.0,0.25,0.7382046282291412,0.5413419008;0.537904799;0.7491704822;1.124401331,4,
20260808,5,same_02,1,1.0,0.5,0.7349513322114944,0.5412291884;0.5353900194;0.7447551489;1.118430972,4,
20260808,5,same_02,1,1.0,0.75,0.7332476526498795,0.5424785018;0.5340397358;0.7428319454;1.113640428,4,
20260808,5,same_02,1,1.0,1.0,0.7330935746431351,0.5450897217;0.5338540077;0.7434007525;1.110029817,4,
20260808,5,same_03,1,0.75,0.0,0.6744289249181747,0.5624110699;0.7210110426;0.6678171754;0.7464764118,4,
20260808,5,same_03,1,0.75,0.25,0.6679529994726181,0.5597434044;0.7155473232;0.657707274;0.7388139963,4,
20260808,5,same_03,1,0.75,0.5,0.6639022529125214,0.5597744584;0.7116369605;0.6503199935;0.7338775992,4,
20260808,5,same_03,1,0.75,0.75,0.6622768044471741,0.5625042319;0.7092801929;0.6456554532;0.7316673398,4,
20260808,5,same_03,1,0.75,1.0,0.6630767285823822,0.5679329038;0.7084769011;0.6437137723;0.7321833372,4,
20260808,6,same_01,1,0.5,0.0,1.6055589318275452,1.496344328;1.251352191;1.816129804;1.858409405,4,
20260808,6,same_01,1,0.5,0.25,1.5865534543991089,1.489566445;1.246336937;1.757083297;1.853227139,4,
20260808,6,same_01,1,0.5,0.5,1.5774317979812622,1.484369636;1.241888762;1.734469652;1.848999143,4,
20260808,6,same_01,1,0.5,0.75,1.578193873167038,1.480753422;1.238007903;1.748288512;1.845725656,4,
20260808,6,same_01,1,0.5,1.0,1.5888397991657257,1.478717566;1.234694481;1.798540592;1.843406558,4,
20260808,6,same_02,1,0.0,0.0,2.0797690749168396,1.320640922;1.65271771;2.825996399;2.51972127,4,
20260808,6,same_02,1,0.0,0.25,2.080478399991989,1.311598063;1.642114758;2.862214327;2.505986452,4,
20260808,6,same_02,1,0.0,0.5,2.119119703769684,1.303736687;1.632548809;3.045501471;2.494691849,4,
20260808,6,same_02,1,0.0,0.75,2.195692867040634,1.297056913;1.624019504;3.375857592;2.48583746,4,
20260808,6,same_02,1,0.0,1.0,2.310198128223419,1.291558862;1.616526961;3.853283405;2.479423285,4,
20260808,6,same_03,1,0.5,0.0,2.3473172783851624,1.287649274;1.373368621;3.28444767;3.443803549,4,
20260808,6,same_03,1,0.5,0.25,2.2480227649211884,1.280047655;1.357830167;2.930990934;3.423222303,4,
20260808,6,same_03,1,0.5,0.5,2.200773596763611,1.274860382;1.346765041;2.777314186;3.404154778,4,
20260808,6,same_03,1,0.5,0.75,2.2055699825286865,1.272087336;1.340173483;2.823417425;3.386601686,4,
