method,rows,rrmse,correlation,delta_snr,paired_spectral_utility
DET-POP8,78,0.16063344507263258,0.9856778288392758,9.486255318690569,0.13808529059856367
DET-RAW-MATCH,78,0.16830241326720285,0.9840957299346288,9.220999904167957,0.12255417870787474
DET-SHRINK-MATCH,78,0.1638897676498462,0.9849475740523133,9.419589325403555,0.1281268474383232
DET-SHRINK-WRONG-1,48,0.16548024443909526,0.9856126604153305,8.665729403495789,0.10342124981495242
DET-SHRINK-WRONG-2,69,0.18298345599053562,0.9811712382817495,8.444426995688591,0.12333193653519603
DET-SHRINK-WRONG-3,69,0.18124163463927698,0.9821678173427641,8.589776864950208,0.12741390199980873
DET-SHRINK-WRONG-4,69,0.16652156185844671,0.9847047631056263,9.37468779950902,0.14440682012101877
DET-SHRINK-WRONG-5,69,0.17640768607025561,0.9824774974613346,8.354316925656969,0.12262814378608829
DET-SHRINK-WRONG-6,69,0.1916477755791899,0.9795884811158789,8.094333741975868,0.1207205840534922
DET-SHRINK-WRONG-7,69,0.16932795747466708,0.9843731323279712,9.043959230616473,0.11951877090378084
DET-SHRINK-WRONG-8,69,0.16432363485944443,0.9858437513821321,8.764236229053441,0.1219547636591006
DET-SHRINK-WRONG-9,69,0.16624771911596906,0.9850095869579003,9.194884141286215,0.12398938391951547
DIFF-POP8,78,0.15487617225601122,0.9861964447748892,9.847372027543875,0.13913747921394995
DIFF-RAW-MATCH,78,0.15262926494081816,0.9866147393291583,10.018098479662186,0.13651248038961336
DIFF-SHRINK-MATCH,78,0.15141959335559455,0.9868406339266701,10.049732021796398,0.13786329252597612
DIFF-SHRINK-WRONG-1,48,0.14854221946249405,0.9881785739358108,9.565100808938345,0.12421205430291593
DIFF-SHRINK-WRONG-2,69,0.16842681720204974,0.9836338876635127,9.17725730849349,0.1344389111019563
DIFF-SHRINK-WRONG-3,69,0.1692045898973078,0.9838956017306125,9.239792550819507,0.13456818850144095
DIFF-SHRINK-WRONG-4,69,0.16174024548651517,0.9850516081514326,9.671040161796238,0.1429821100031984
DIFF-SHRINK-WRONG-5,69,0.16130928166102673,0.9850958908731448,9.103900059409764,0.1345693362687809
DIFF-SHRINK-WRONG-6,69,0.17490638382192972,0.9824430310510615,8.92881771274235,0.13459280068459717
DIFF-SHRINK-WRONG-7,69,0.15631961304208505,0.9861140867025441,9.782400829204615,0.13096665617996367
DIFF-SHRINK-WRONG-8,69,0.1528649467273035,0.9873117057100049,9.429857226385586,0.1293910147919171
DIFF-SHRINK-WRONG-9,69,0.15572636120993158,0.9863836936624274,9.827285870261814,0.13302726390353148
LINEAR-POP8,78,0.16491790345081916,0.9822562746339736,10.007046413536255,0.1501451747205395
LINEAR-RAW-MATCH,78,0.19930675425208533,0.9719381014024072,9.441349162505222,0.12504906164338955
LINEAR-SHRINK-MATCH,78,0.13861522307762733,0.9882331295071654,11.462556458436525,0.14599409205122635
LINEAR-SHRINK-WRONG-1,48,0.16917294496670365,0.9838386440420933,9.042919516563416,0.1186912638368085
LINEAR-SHRINK-WRONG-2,69,0.27269734053508093,0.956663686111323,5.820666717446369,0.08595125822593337
LINEAR-SHRINK-WRONG-3,69,0.21807592848072882,0.9720483707199875,7.6021797268287,0.12599945529971435
LINEAR-SHRINK-WRONG-4,69,0.14605624714623328,0.9876842434003545,10.754574967467267,0.16996665072181952
LINEAR-SHRINK-WRONG-5,69,0.28517517577046936,0.94963077782325,5.808240294456482,0.0744548806839663
LINEAR-SHRINK-WRONG-6,69,0.2870024309858032,0.9502228127487641,5.951184493692025,0.08323222431151764
LINEAR-SHRINK-WRONG-7,69,0.14890376348858295,0.9876494457234375,10.311821782070657,0.14483932713451592
LINEAR-SHRINK-WRONG-8,69,0.21060118759455887,0.9706271478324983,8.012924598610919,0.11372809039185876
LINEAR-SHRINK-WRONG-9,69,0.15217719000318777,0.9872947499045309,10.152116993199224,0.1539475600356641
RAW,78,0.4946512087033345,0.895075805647086,0.0,0.0
