participant,E_P,E_W,E_D,Delta_SA
1,-0.01778504252433777,-0.006338888468841712,0.05291782567898432,0.05085738624135653
2,0.016059374643696677,0.02078515167037646,0.002786882221698761,0.0012284749084048863
3,0.016401331457826827,0.02261087272523177,0.0005703618129094442,-0.0015191129512256984
4,0.007674652669164871,0.016751792023165346,0.009491086006164556,-0.0003562089469697725
5,-0.0009705954127841495,0.006326161324977875,0.006526205274793843,0.0002427564726935616
6,0.0017664026882913408,0.0031009664655559746,0.004803190628687545,0.0004404998487896374
7,-0.005559150543477794,0.006659336336370984,0.026412869493166614,0.016404483881261627
8,0.0017783484525150754,-0.009725405524174382,0.0053450084394878845,0.0015091887778706143
9,0.004663348197937021,0.020266940092874903,0.016860689553949575,0.006323473321066975
