method,participants,rrmse,correlation,delta_snr,paired_spectral_utility
DET-POP8,9,0.16219147915641466,0.9853453699598705,9.389275163780022,0.1378943275568294
DET-RAW-MATCH,9,0.1721186974534282,0.9833308907049871,9.011650622626881,0.12019285605645474
DET-SHRINK-MATCH,9,0.1678695093702387,0.9841511775486362,9.20288387566437,0.12555890907475978
DET-SHRINK-WRONG-1,8,nan,nan,nan,nan
DET-SHRINK-WRONG-2,8,nan,nan,nan,nan
DET-SHRINK-WRONG-3,8,nan,nan,nan,nan
DET-SHRINK-WRONG-4,8,nan,nan,nan,nan
DET-SHRINK-WRONG-5,8,nan,nan,nan,nan
DET-SHRINK-WRONG-6,8,nan,nan,nan,nan
DET-SHRINK-WRONG-7,8,nan,nan,nan,nan
DET-SHRINK-WRONG-8,8,nan,nan,nan,nan
DET-SHRINK-WRONG-9,8,nan,nan,nan,nan
DIFF-POP8,9,0.15657112609457088,0.9858243715049565,9.745862635565395,0.13890274384139495
DIFF-RAW-MATCH,9,0.1550661136890635,0.9862007951273236,9.851098232799108,0.1355932116692449
DIFF-SHRINK-MATCH,9,0.15390127391358954,0.9864183171618658,9.881558928960636,0.1368939702709516
DIFF-SHRINK-WRONG-1,8,nan,nan,nan,nan
DIFF-SHRINK-WRONG-2,8,nan,nan,nan,nan
DIFF-SHRINK-WRONG-3,8,nan,nan,nan,nan
DIFF-SHRINK-WRONG-4,8,nan,nan,nan,nan
DIFF-SHRINK-WRONG-5,8,nan,nan,nan,nan
DIFF-SHRINK-WRONG-6,8,nan,nan,nan,nan
DIFF-SHRINK-WRONG-7,8,nan,nan,nan,nan
DIFF-SHRINK-WRONG-8,8,nan,nan,nan,nan
DIFF-SHRINK-WRONG-9,8,nan,nan,nan,nan
LINEAR-POP8,9,0.17002779962839903,0.9806715769902699,9.852477429641617,0.14858193488584626
LINEAR-RAW-MATCH,9,0.20041458888186348,0.9719147576948317,9.305464022689398,0.12295665998977645
LINEAR-SHRINK-MATCH,9,0.14197089219534836,0.9876062662460963,11.25181178914176,0.1431259485306563
LINEAR-SHRINK-WRONG-1,8,nan,nan,nan,nan
LINEAR-SHRINK-WRONG-2,8,nan,nan,nan,nan
LINEAR-SHRINK-WRONG-3,8,nan,nan,nan,nan
LINEAR-SHRINK-WRONG-4,8,nan,nan,nan,nan
LINEAR-SHRINK-WRONG-5,8,nan,nan,nan,nan
LINEAR-SHRINK-WRONG-6,8,nan,nan,nan,nan
LINEAR-SHRINK-WRONG-7,8,nan,nan,nan,nan
LINEAR-SHRINK-WRONG-8,8,nan,nan,nan,nan
LINEAR-SHRINK-WRONG-9,8,nan,nan,nan,nan
RAW,9,0.4913322555798071,0.8963183225497199,0.0,0.0
