fold_id,study,heldout_units,selection,outcomes_opened_for_selection
study02_layout_02_heldout_00,study02,3,first_two_fold_ids_excluding_v9,0
study02_layout_02_heldout_01,study02,2,first_two_fold_ids_excluding_v9,0
study03_layout_03_heldout_01,study03,2,first_two_fold_ids_excluding_v9,0
study03_layout_03_heldout_02,study03,2,first_two_fold_ids_excluding_v9,0
study04_layout_04_heldout_00,study04,3,first_two_fold_ids_excluding_v9,0
study04_layout_04_heldout_02,study04,2,first_two_fold_ids_excluding_v9,0
study05_layout_05_heldout_01,study05,2,first_two_fold_ids_excluding_v9,0
study05_layout_05_heldout_02,study05,2,first_two_fold_ids_excluding_v9,0
