panel,study,effect,units,mean,median,positive_count
eligible,study02,U_D,4,0.010486801465352375,0.018158634503682453,3
eligible,study02,U_P,4,-0.13426154851913452,-0.12796460092067719,0
eligible,study02,U_W,4,-0.02837910999854406,-0.01171515385309855,1
eligible,study02,U_S,4,-0.030175320804119107,-0.009068926175435383,2
eligible,study03,U_D,4,-0.0035436749458312984,-0.00043294827143351244,2
eligible,study03,U_P,4,-0.20119670530160266,-0.07877005636692047,0
eligible,study03,U_W,4,-0.04338885347048441,0.025974671045939132,2
eligible,study03,U_S,4,0.021057672798633572,0.0035362044970194493,2
eligible,study04,U_D,5,0.008761694033940634,0.013986130555470785,4
eligible,study04,U_P,5,-0.027069477240244548,-0.014277209838231405,0
eligible,study04,U_W,5,0.00311515231927236,0.0036495079596837363,4
eligible,study04,U_S,5,0.1119128942489624,0.06658336520195007,4
