fold_id,study,recording_key,eog_coherence_reduction,nonartifact_preservation,psd_distortion,covariance_distortion
study02_layout_02_heldout_00,study02,study02/study02_p02,0.01921877800729514,0.743577907482783,0.11755201717217763,0.27232800914695615
study02_layout_02_heldout_00,study02,study02/study02_p03,0.018940104423866917,0.7923632462819418,0.09948660433292389,0.1871493839153814
study02_layout_02_heldout_00,study02,study02/study02_p06,0.026674962832961075,0.7115257581075033,0.1120905801653862,0.2867230968381113
study02_layout_02_heldout_01,study02,study02/study02_p07,0.0231815965429026,0.7951588034629822,0.08711978048086166,0.22298120137947763
study02_layout_02_heldout_01,study02,study02/study02_p08,0.041704736771256044,0.8152529497941335,0.09758074829975764,0.1840610866258802
study03_layout_03_heldout_01,study03,study03/study03_p20,0.039695197675124895,0.483206570148468,0.10623324414094289,0.5165596050447859
study03_layout_03_heldout_01,study03,study03/study03_p21,0.020437589356636938,0.8269643783569336,0.12173902491728465,0.15738524447928837
study03_layout_03_heldout_02,study03,study03/study03_p22,0.03578060462071638,0.654269148906072,0.10770478844642639,0.22237966218246505
study03_layout_03_heldout_02,study03,study03/study03_p23,0.017694408607591566,0.46174075206120807,0.2476633240779241,0.4809871134995521
study04_layout_04_heldout_00,study04,study04/study04_p03,0.05334667920496294,0.6919329365094503,0.09420597304900487,0.27681932365072487
study04_layout_04_heldout_00,study04,study04/study04_p08,0.07043931303454228,0.8050858974456787,0.14212899406750998,0.2140649328494321
study04_layout_04_heldout_00,study04,study04/study04_p24,0.01853412412656624,0.7625618427991867,0.09859939912954967,0.18239499698654946
study04_layout_04_heldout_02,study04,study04/study04_p30,0.022538557831869754,0.6636982361475626,0.13401952385902405,0.38278127146461277
study04_layout_04_heldout_02,study04,study04/study04_p31,0.023707576360696,0.787003700931867,0.14250935117403665,0.1532119627069577
study05_layout_05_heldout_01,study05,study05/study05_p40,0.03251502924095625,0.7532591174046198,0.14798223972320557,0.26294309800344773
study05_layout_05_heldout_01,study05,study05/study05_p41,0.03347912248780673,0.6131215989589691,0.15104039013385773,0.4322006845654565
study05_layout_05_heldout_02,study05,study05/study05_p43,0.04201341361267727,0.7663348168134689,0.12128363301356633,0.19334505317381037
study05_layout_05_heldout_02,study05,study05/study05_p44,0.04824349946802719,0.7035237451394399,0.1478645553191503,0.3062355911845307
