fold_id,study,recording_key,personalization_eligible,adapter_active,U_D,U_P,U_W,U_S
study02_layout_02_heldout_00,study02,study02/study02_p02,1,1,-0.03118690848350525,-0.11112615466117859,0.03542504211266836,0.005472789208094279
study02_layout_02_heldout_00,study02,study02/study02_p03,1,1,0.03681684533754984,-0.14480304718017578,-0.0234303077061971,-0.023610641558965046
study02_layout_02_heldout_00,study02,study02/study02_p06,1,1,0.02739587426185608,-0.17027010520299277,-0.1255111744006475,-0.12827912966410318
study02_layout_02_heldout_01,study02,study02/study02_p08,1,1,0.00892139474550883,-0.11084688703219096,0.0,0.025715698798497517
study03_layout_03_heldout_01,study03,study03/study03_p20,1,1,-0.02903767426808675,-0.6193243662516276,-0.47770623366038006,-0.08511579036712646
study03_layout_03_heldout_01,study03,study03/study03_p21,1,1,0.015728871027628582,-0.034551074107488,0.25220147768656415,0.027202506860097248
study03_layout_03_heldout_02,study03,study03/study03_p22,1,1,-0.0021991332372029624,-0.02792234222094218,0.16213213404019675,0.16227407256762186
study03_layout_03_heldout_02,study03,study03/study03_p23,1,1,0.0013332366943359375,-0.12298903862635295,-0.11018279194831848,-0.02013009786605835
study04_layout_04_heldout_00,study04,study04/study04_p03,1,1,0.017030109961827595,-0.05034529169400533,-0.012964333097139994,-0.00035053491592407227
study04_layout_04_heldout_00,study04,study04/study04_p08,1,1,0.013986130555470785,-0.006563345591227214,0.0016561796267827351,0.06658336520195007
study04_layout_04_heldout_00,study04,study04/study04_p24,1,0,0.008279969294865927,-0.007037609815597534,0.0036495079596837363,0.008109529813130697
study04_layout_04_heldout_02,study04,study04/study04_p30,1,1,-0.04054013888041178,-0.057123929262161255,0.013601710398991903,0.13399731119473776
study04_layout_04_heldout_02,study04,study04/study04_p31,1,1,0.045052399237950645,-0.014277209838231405,0.009632696708043417,0.35122479995091754
