fold,view,beta,nested_loss,selected
3,primary,0.0,5.1465035776297245,0
3,primary,0.25,4.547996516029039,0
3,primary,0.5,4.422774765226576,1
3,primary,0.75,4.725878872805171,0
3,primary,1.0,5.4089108722077475,0
3,prestim,0.0,1.1602225684457355,0
3,prestim,0.25,1.155501738190651,1
3,prestim,0.5,1.2179333219925563,0
3,prestim,0.75,1.3381938967439864,0
3,prestim,1.0,1.5026919444402056,0
3,hf_art,0.0,1.2415833903683555,0
3,hf_art,0.25,1.2327381372451782,1
3,hf_art,0.5,1.3074546373552747,0
3,hf_art,0.75,1.4525569760137131,0
3,hf_art,1.0,1.6495767152971694,0
3,label_shuffle,0.0,1.1347580071952608,1
3,label_shuffle,0.25,1.1392058779795966,0
3,label_shuffle,0.5,1.2124429295460384,0
3,label_shuffle,0.75,1.343622346719106,0
3,label_shuffle,1.0,1.517838484711117,0
3,time_shuffle,0.0,1.342878818511963,0
3,time_shuffle,0.25,1.3260050432549584,1
3,time_shuffle,0.5,1.3909791211287181,0
3,time_shuffle,0.75,1.5272678633530934,0
3,time_shuffle,1.0,1.718991334239642,0
3,wrong_condition,0.0,5.1465035776297245,0
3,wrong_condition,0.25,4.547996516029039,0
3,wrong_condition,0.5,4.422774765226576,1
3,wrong_condition,0.75,4.725878872805171,0
3,wrong_condition,1.0,5.4089108722077475,0
3,gain_normalized,0.0,8.011791020631788,0
3,gain_normalized,0.25,7.069721904065875,0
3,gain_normalized,0.5,6.877364463276333,1
3,gain_normalized,0.75,7.351467708746591,0
3,gain_normalized,1.0,8.409266966912481,0
