alignment_common_channels,alignment_correlation,alignment_lag_seconds,alignment_polarity,alignment_status,duration_seconds,event_block_count,event_block_gap_threshold_seconds,event_count,event_gap_median_seconds,event_label_count,event_max_onset_seconds,event_onsets_within_duration,failure_reason,participant,processed_eeg_channels,processed_eeg_finite_fraction,processed_eeg_flatline_channels,processed_eeg_maximum_absolute,processed_eeg_rms_median,processed_eeg_samples,processed_imu_channels,processed_imu_finite_fraction,processed_imu_flatline_channels,processed_imu_maximum_absolute,processed_imu_rms_median,processed_imu_samples,processed_sampling_rate_hz,sealed_participant_signal_opened,session,source_eeg_channels,source_eeg_finite_fraction,source_eeg_flatline_channels,source_eeg_maximum_absolute,source_eeg_rms_median,source_eeg_samples,source_eog_channels,source_eog_finite_fraction,source_eog_flatline_channels,source_eog_maximum_absolute,source_eog_rms_median,source_eog_samples,source_sampling_rate_hz,status,task
46,0.17211939368172136,0.0,1,unreliable_common_eeg_alignment,681.97,30,628.0,300,157.0,2,67717.0,False,,sub-24,46,1.0,0,721.0050679999999,9.276471405567039,68197,27,1.0,2,1.1601352952e-05,5.888880190631891e-08,68197,100.0,False,ses-02,46,1.0,0,21120.985627,83.81168011906394,340983,4,1.0,0,1378.9991949999999,97.71898965887576,340983,500.0,success,ERP
,,,,,,,,,,,,,FileNotFoundError: /projects/EEG-foundation-model/mobile_bci/sub-24/ses-02/eeg/sub-24_ses-02_task-SSVEP_eeg.vhdr,sub-24,,,,,,,,,,,,,,False,ses-02,,,,,,,,,,,,,,failed_record_audit,SSVEP
46,0.22043748509262548,0.0,1,unreliable_common_eeg_alignment,675.81,30,628.0,300,157.0,2,67101.0,False,,sub-24,46,1.0,0,899.847354,14.281765514364789,67581,27,1.0,0,3.83996473e-05,1.4115714089062708e-06,67581,100.0,False,ses-03,46,1.0,0,21370.997837,90.92510581429188,337905,4,1.0,0,1610.399749,94.93583749253489,337905,500.0,success,ERP
,,,,,,,,,,,,,FileNotFoundError: /projects/EEG-foundation-model/mobile_bci/sub-24/ses-03/eeg/sub-24_ses-03_task-SSVEP_eeg.vhdr,sub-24,,,,,,,,,,,,,,False,ses-03,,,,,,,,,,,,,,failed_record_audit,SSVEP
46,0.2072239209499091,0.0,1,unreliable_common_eeg_alignment,685.0,30,628.0,300,157.0,2,68020.0,False,,sub-24,46,1.0,0,751.9338392999999,16.83310039116249,68500,27,1.0,0,6.453853854e-05,3.219439022928953e-06,68500,100.0,False,ses-04,46,1.0,0,24013.001047,94.80686616277694,342499,4,1.0,0,2928.3998967999996,151.17374472101943,342499,500.0,success,ERP
,,,,,,,,,,,,,FileNotFoundError: /projects/EEG-foundation-model/mobile_bci/sub-24/ses-04/eeg/sub-24_ses-04_task-SSVEP_eeg.vhdr,sub-24,,,,,,,,,,,,,,False,ses-04,,,,,,,,,,,,,,failed_record_audit,SSVEP
