fold,seconds,participant,role,session,task,effective_seconds,tau2,within,within_threshold,lambda,hard_gate,lambda_row_min,lambda_row_mean,lambda_row_max
4,120,sub-02,validation,ses-02,ERP,120,0.006495349894923328,0.0003635425662995552,0.37351534006104337,0.9862006694004128,0,0.6841802841591914,0.9660549688537519,0.9969935263926221
4,120,sub-02,validation,ses-02,SSVEP,120,0.12022286478201394,0.0012217127102437096,0.37351534006104337,0.9974659213197073,0,0.8445671268634449,0.9549225348971236,0.9999838376581757
4,120,sub-02,validation,ses-03,ERP,120,0.03459581612560256,0.004179208529800962,0.37351534006104337,0.9706850727199667,0,0.4117814468442894,0.9424531352194853,0.9968544890425018
4,120,sub-02,validation,ses-03,SSVEP,120,0.025739162501614912,61.95726167811289,0.37351534006104337,0.0,1,0.0,0.0,0.0
4,120,sub-02,validation,ses-04,ERP,120,0.044821290631646665,0.010236819359938254,0.37351534006104337,0.9459861106451098,0,0.682186868847224,0.9195544402192535,0.9972633422079807
4,120,sub-02,validation,ses-04,SSVEP,120,0.11564422873532404,0.06151090018568501,0.37351534006104337,0.8826324550766714,0,0.22134675184128963,0.7296567140138291,0.9965778177517103
4,120,sub-03,validation,ses-02,ERP,120,0.006495349894923328,0.00016737080626578614,0.37351534006104337,0.9935992857868506,0,0.9250635587415348,0.9867026125221227,0.9998144206262651
4,120,sub-03,validation,ses-02,SSVEP,120,0.12022286478201394,0.00020576269287555377,0.37351534006104337,0.9995723053812351,0,0.8579334434440693,0.989946737375105,0.999964316997893
4,120,sub-03,validation,ses-03,ERP,120,0.03459581612560256,0.0010964636761767665,0.37351534006104337,0.9921389029753995,0,0.5051753254446747,0.9740421663894869,0.9996062336964485
4,120,sub-03,validation,ses-03,SSVEP,120,0.025739162501614912,0.002192341038630346,0.37351534006104337,0.9791501466933693,0,0.7865440342909163,0.9685495829212272,0.9986467512551168
4,120,sub-03,validation,ses-04,ERP,120,0.044821290631646665,0.003021328687605216,0.37351534006104337,0.98342720181008,0,0.7308497637491981,0.9797022123939957,0.9985159330158078
4,120,sub-03,validation,ses-04,SSVEP,120,0.11564422873532404,0.003186038409589263,0.37351534006104337,0.9931595280675124,0,0.5234828285807457,0.9768099987540535,0.9998388881382664
4,120,sub-05,validation,ses-02,ERP,120,0.006495349894923328,0.00016359798992667638,0.37351534006104337,0.9937426657053212,0,0.8161737183382596,0.9817296710955759,0.9994080672018942
4,120,sub-05,validation,ses-02,SSVEP,120,0.12022286478201394,0.00019021973729933033,0.37351534006104337,0.999604599913786,0,0.9453894848712733,0.993023429876917,0.9999984370221211
4,120,sub-05,validation,ses-03,ERP,120,0.03459581612560256,0.0010816494310002447,0.37351534006104337,0.992244289975924,0,0.7264360015221165,0.9803952632726969,0.9995296375797323
4,120,sub-05,validation,ses-03,SSVEP,120,0.025739162501614912,0.0031813732116021593,0.37351534006104337,0.9700260743968635,0,0.8360147928247905,0.9672006322506583,0.9982597247115561
4,120,sub-05,validation,ses-04,ERP,120,0.044821290631646665,0.003933170341242674,0.37351534006104337,0.9785328777984242,0,0.7210732420957353,0.9703681240841587,0.9996279795030912
4,120,sub-05,validation,ses-04,SSVEP,120,0.11564422873532404,0.00457672604071788,0.37351534006104337,0.9902029532915615,0,0.8797986660100839,0.9675818993731966,0.9994940872711655
4,120,sub-06,train,ses-02,ERP,120,0.006495349894923328,0.0006758909962131135,0.37351534006104337,0.9746451727984687,0,0.7258553957132017,0.9512812157427883,0.998110006852998
4,120,sub-06,train,ses-02,SSVEP,120,0.12022286478201394,0.0002711070019216945,0.37351534006104337,0.9994365584087261,0,0.936190693009627,0.9876697477845527,0.9999733629402929
4,120,sub-06,train,ses-03,ERP,120,0.03459581612560256,0.0006075591682917813,0.37351534006104337,0.9956287821580854,0,0.6906175018123554,0.9868051704687053,0.9994265525190001
4,120,sub-06,train,ses-03,SSVEP,120,0.025739162501614912,0.0007287519166265807,0.37351534006104337,0.9929715089770577,0,0.9519371651729891,0.9895952331681866,0.9996950510792696
4,120,sub-06,train,ses-04,ERP,120,0.044821290631646665,0.0026737902239309065,0.37351534006104337,0.9853055308160796,0,0.6015020410901248,0.9807050439889262,0.9996565064432271
4,120,sub-06,train,ses-04,SSVEP,120,0.11564422873532404,0.003916829300446105,0.37351534006104337,0.9916036831173102,0,0.8501382778883328,0.9704090370605168,0.9994923736269388
4,120,sub-07,train,ses-02,ERP,120,0.006495349894923328,0.0005174744003859616,0.37351534006104337,0.9804718343588873,0,0.4987621017204658,0.9510227132453954,0.9983460255138922
4,120,sub-07,train,ses-02,SSVEP,120,0.12022286478201394,0.0020222008997581105,0.37351534006104337,0.9958125001068686,0,0.47626104253457946,0.9128473537485288,0.9999213987228198
4,120,sub-07,train,ses-03,ERP,120,0.03459581612560256,0.0013600929919490362,0.37351534006104337,0.9902672082857038,0,0.8394476550267407,0.9808023027260852,0.9991194861339567
4,120,sub-07,train,ses-03,SSVEP,120,0.025739162501614912,0.006787995386352173,0.37351534006104337,0.9381473659871447,0,0.297400339115717,0.9395152177065266,0.9991051359257171
4,120,sub-07,train,ses-04,ERP,120,0.044821290631646665,0.015758600399861447,0.37351534006104337,0.9192047971008226,0,0.5494824641327033,0.9439840340626932,0.9950314338648472
4,120,sub-07,train,ses-04,SSVEP,120,0.11564422873532404,0.006394064935988491,0.37351534006104337,0.9863657556430003,0,0.6887378724874648,0.9655821030035534,0.9994550649714825
4,120,sub-09,train,ses-02,ERP,120,0.006495349894923328,0.0009870424621873436,0.37351534006104337,0.9634000933144556,0,0.5168359714456104,0.9206826606277415,0.9976339186811292
4,120,sub-09,train,ses-02,SSVEP,120,0.12022286478201394,2.0070121869099826,0.37351534006104337,0.0,1,0.0,0.0,0.0
4,120,sub-09,train,ses-03,ERP,120,0.03459581612560256,0.21928024387440606,0.37351534006104337,0.3869090954524122,0,0.09097583512971474,0.9013230811469093,0.9973176354780325
4,120,sub-09,train,ses-03,SSVEP,120,0.025739162501614912,0.0064945989878785896,0.37351534006104337,0.9406621756484976,0,0.8221477973385464,0.9275994527215027,0.996486882541472
4,120,sub-09,train,ses-04,ERP,120,0.044821290631646665,0.0017373844328697193,0.37351534006104337,0.9904023865421646,0,0.7184066912744137,0.9887822918396303,0.9993326542917561
4,120,sub-09,train,ses-04,SSVEP,120,0.11564422873532404,0.36947317974075355,0.37351534006104337,0.5559483952923052,0,0.4348109644231465,0.9071053921404,0.988247965307617
4,120,sub-11,train,ses-02,ERP,120,0.006495349894923328,0.0009014620556325162,0.37351534006104337,0.966467035099867,0,0.5363075849175052,0.913566570929764,0.9982924314528708
4,120,sub-11,train,ses-02,SSVEP,120,0.12022286478201394,0.4304407817250376,0.37351534006104337,0.0,1,0.0,0.0,0.0
4,120,sub-11,train,ses-03,ERP,120,0.03459581612560256,0.0034071124126839954,0.37351534006104337,0.9759707782233754,0,0.8144630265754415,0.9604078082579675,0.999834063339969
4,120,sub-11,train,ses-03,SSVEP,120,0.025739162501614912,0.14844160080111962,0.37351534006104337,0.40953606349975313,0,0.06536071781815765,0.49928768338150653,0.9899391980707977
4,120,sub-11,train,ses-04,ERP,120,0.044821290631646665,0.021760949499343533,0.37351534006104337,0.8917614010036817,0,0.6465782228339745,0.8900139084880226,0.9944876836166451
4,120,sub-11,train,ses-04,SSVEP,120,0.11564422873532404,0.012509140185916786,0.37351534006104337,0.9736697382486479,0,0.571767586782545,0.9222891889726068,0.9992453135544782
4,120,sub-12,train,ses-02,ERP,120,0.006495349894923328,0.004088968152556252,0.37351534006104337,0.8640200150206027,0,0.18472598884326938,0.7719030521848202,0.98201953831762
4,120,sub-12,train,ses-02,SSVEP,120,0.12022286478201394,0.0038533815690660472,0.37351534006104337,0.9920507012235047,0,0.30990189342446806,0.8863955599536674,0.9997982986037227
4,120,sub-12,train,ses-03,ERP,120,0.03459581612560256,0.004078217980517448,0.37351534006104337,0.9713731886722001,0,0.4593085158897901,0.9533769047551119,0.9967402309998473
4,120,sub-12,train,ses-03,SSVEP,120,0.025739162501614912,0.005188173767192208,0.37351534006104337,0.9520256856856034,0,0.7169681102274297,0.9410343762498024,0.9942661172696496
4,120,sub-12,train,ses-04,ERP,120,0.044821290631646665,0.00668376334388192,0.37351534006104337,0.9640597841139475,0,0.6480846834919859,0.950557351989811,0.9946583604210641
