commit,event_reads,fold,output_frozen,path,query_eog_reads,query_operator_reads,sealed_reads,seed,sha256
fdeed425a0f22f00e67c21741ffc167d4e2f06ee,0,0,True,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/predictions/natural/fold_0_seed_20260824.npz,0,0,0,20260824,8085f6d4f56e39b5c535a3fc558a0d2c4f219e3580113775437600058bd4b31d
fdeed425a0f22f00e67c21741ffc167d4e2f06ee,0,0,True,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/predictions/natural/fold_0_seed_20260825.npz,0,0,0,20260825,39c2b6a57e8df52da03504bed05daeee56b57b4fedd92dd1c4cfbad083a9779b
fdeed425a0f22f00e67c21741ffc167d4e2f06ee,0,0,True,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/predictions/natural/fold_0_seed_20260826.npz,0,0,0,20260826,d2f2e68f314c4af7f9bc65ac042bc1be94e8a260411504e000dcebc7d2b6b995
fdeed425a0f22f00e67c21741ffc167d4e2f06ee,0,1,True,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/predictions/natural/fold_1_seed_20260824.npz,0,0,0,20260824,6af3079333b1deaca287c08deb2ffbb5a2428d6f3bf8dec37d31ddbc2849e371
fdeed425a0f22f00e67c21741ffc167d4e2f06ee,0,1,True,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/predictions/natural/fold_1_seed_20260825.npz,0,0,0,20260825,e1f807b7dd8fdfba187cb71451083afa2ca0e0bc712935542cf27960243de843
fdeed425a0f22f00e67c21741ffc167d4e2f06ee,0,1,True,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/predictions/natural/fold_1_seed_20260826.npz,0,0,0,20260826,0123629c583e7f4b2d9e8c9baedd8e371e7eb43f02b391daffd6c6de3010ef33
fdeed425a0f22f00e67c21741ffc167d4e2f06ee,0,2,True,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/predictions/natural/fold_2_seed_20260824.npz,0,0,0,20260824,21238a751a2317951beba866256d2780a928841e473dd69b9876af7d2e34b54b
fdeed425a0f22f00e67c21741ffc167d4e2f06ee,0,2,True,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/predictions/natural/fold_2_seed_20260825.npz,0,0,0,20260825,ac4d0bfe542ff2ab650b52966dde9e0cf8862a15187cfbba462e358b9228c489
fdeed425a0f22f00e67c21741ffc167d4e2f06ee,0,2,True,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/predictions/natural/fold_2_seed_20260826.npz,0,0,0,20260826,7985fc2e2a1d51ec1eb2b5ead19002581c6ff5494484a3d072a2eacd4532066c
fdeed425a0f22f00e67c21741ffc167d4e2f06ee,0,3,True,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/predictions/natural/fold_3_seed_20260824.npz,0,0,0,20260824,0fb6378ced7626e8f30811889c03202051d84a97f8f8897454c7a5fb1f254d56
fdeed425a0f22f00e67c21741ffc167d4e2f06ee,0,3,True,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/predictions/natural/fold_3_seed_20260825.npz,0,0,0,20260825,8e22279f1c78785ba5a0e0c39d7b17f96e3fb1327bbdf1816851b734682c5010
fdeed425a0f22f00e67c21741ffc167d4e2f06ee,0,3,True,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/predictions/natural/fold_3_seed_20260826.npz,0,0,0,20260826,724b2160bc550473edce58271bb5393753cbd110197e6bca9ca05ab9af34c799
fdeed425a0f22f00e67c21741ffc167d4e2f06ee,0,4,True,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/predictions/natural/fold_4_seed_20260824.npz,0,0,0,20260824,5e63e336169d34fce5744f4b916af5d827abbae669409911c38ba3c278b71faa
fdeed425a0f22f00e67c21741ffc167d4e2f06ee,0,4,True,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/predictions/natural/fold_4_seed_20260825.npz,0,0,0,20260825,5dd26da7710e2ce595a0b363c495c9e069c4573c11c85f54daf78049d80bfbd2
fdeed425a0f22f00e67c21741ffc167d4e2f06ee,0,4,True,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/predictions/natural/fold_4_seed_20260826.npz,0,0,0,20260826,95fcae5fc3e40b17a186a293fc3d2a68514b289dc63f4153ba2ad1866eacad3e
