panel,contrast,metric,participant_mean_utility,participant_median_utility,positive_count,participants,bootstrap_low,bootstrap_high
paired,MATCH-POP,rrmse_temporal,-0.09213317031977722,0.002112490353566976,8,15,-0.27622328913196653,0.0020448731668695794
paired,MATCH-POP,rrmse_spectral,-0.04537325777518485,-0.00044523774351112877,6,15,-0.13059191340629253,0.0004485391936372082
paired,MATCH-POP,correlation,-0.005007272950575511,0.0019149347280080775,8,15,-0.017801609331440562,0.003663975776481986
paired,MATCH-POP,snr_improvement,-0.20190888257150352,0.005973246552152034,8,15,-0.6228087854044647,0.02338370274845097
paired,MATCH-POP,artifact_rrmse,-0.1431391581253018,0.009840915308277687,9,15,-0.4605570598936242,0.028074730647224183
paired,MATCH-POP,artifact_correlation,-0.0035897475969911535,-0.0005314625949046636,7,15,-0.010909356271482146,0.00044776966186895714
paired,MATCH-WRONG,rrmse_temporal,0.16785190878694944,-0.0013249984646208635,6,15,-0.15175374237063166,0.5206670177899144
paired,MATCH-WRONG,rrmse_spectral,0.09349367646875445,-0.0007944007123272812,6,15,-0.06369227412251217,0.2735081481691202
paired,MATCH-WRONG,correlation,0.009370104755622758,0.0011785431523566037,9,15,-0.010241298308402456,0.029187806753826158
paired,MATCH-WRONG,snr_improvement,0.3660625334147045,-0.008657064600662068,7,15,-0.3676743774784626,1.1500653461058488
paired,MATCH-WRONG,artifact_rrmse,1.043300824103457,0.016220465641131554,10,15,-0.13231903110859278,2.502431754004094
paired,MATCH-WRONG,artifact_correlation,0.003728291995724656,0.00041874729043839265,12,15,-0.006947630967237601,0.015043459822748352
paired,MATCH-SHUFFLED,rrmse_temporal,-0.028565442172705957,-0.000498560005731008,6,15,-0.2735962320705379,0.18865117932031528
paired,MATCH-SHUFFLED,rrmse_spectral,-0.016275390126661245,-0.0007774014089065862,6,15,-0.12554881509996396,0.07882777541963606
paired,MATCH-SHUFFLED,correlation,0.001984736548174441,0.0020971982793390187,9,15,-0.015054634271411299,0.018472700878743004
paired,MATCH-SHUFFLED,snr_improvement,-0.05817969458574703,-0.0032285736287356315,6,15,-0.6106080543475775,0.4337480039653149
paired,MATCH-SHUFFLED,artifact_rrmse,0.11208668345288851,0.013338885998184224,10,15,-0.4419787762539775,0.7689971777304734
paired,MATCH-SHUFFLED,artifact_correlation,-0.0016010077289081086,-2.444446625049501e-05,7,15,-0.010364622484350536,0.00537018382372964
paired,MATCH-POP_MEAN,rrmse_temporal,-0.0941415858962469,-0.002299443487719266,4,15,-0.2778127744664142,-0.0005371410828783398
paired,MATCH-POP_MEAN,rrmse_spectral,-0.0459515260324577,-0.0029309240780470702,3,15,-0.13066399909351864,-0.0010789944550249223
paired,MATCH-POP_MEAN,correlation,-0.007165819885846492,-0.0027837268330185294,5,15,-0.019721968582380414,0.0007478570500731897
paired,MATCH-POP_MEAN,snr_improvement,-0.2207507329413217,-0.011580575938996418,4,15,-0.6379408775394855,-0.0005433154418576705
paired,MATCH-POP_MEAN,artifact_rrmse,-0.15403074126136904,-0.008894727573174777,7,15,-0.46789605176926075,0.011693578041257327
paired,MATCH-POP_MEAN,artifact_correlation,-0.0033500269001604187,2.050871393424747e-05,9,15,-0.010732753037706204,0.0006190470741300954
paired,MATCH-ADAPTER_DISABLED,rrmse_temporal,-0.09213317031977722,0.002112490353566976,8,15,-0.27622328913196653,0.0020448731668695794
paired,MATCH-ADAPTER_DISABLED,rrmse_spectral,-0.04537325777518485,-0.00044523774351112877,6,15,-0.13059191340629253,0.0004485391936372082
paired,MATCH-ADAPTER_DISABLED,correlation,-0.005007272950575511,0.0019149347280080775,8,15,-0.017801609331440562,0.003663975776481986
paired,MATCH-ADAPTER_DISABLED,snr_improvement,-0.20190888257150352,0.005973246552152034,8,15,-0.6228087854044647,0.02338370274845097
paired,MATCH-ADAPTER_DISABLED,artifact_rrmse,-0.1431391581253018,0.009840915308277687,9,15,-0.4605570598936242,0.028074730647224183
paired,MATCH-ADAPTER_DISABLED,artifact_correlation,-0.0035897475969911535,-0.0005314625949046636,7,15,-0.010909356271482146,0.00044776966186895714
natural,MATCH-POP,artifact_attenuation_db,-0.02620413657954505,-0.005516877622030236,7,15,-0.07094929870686717,0.007087441797553116
